,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11680,,2025-11-01,1988,신규,25.11~27.11,청담동,"30,000",현대아파트,220,84.78,,,23,8
1,11680,,2025-11-01,1982,갱신,26.02~28.02,압구정동,"170,000",신현대12차,0,155.52,"170,000",,434,10
2,11680,,2025-11-01,2019,갱신,25.11~27.11,개포동,"135,000",디에이치아너힐즈,0,84.3558,"135,000",,1281,24
3,11680,,2025-11-01,1992,신규,26.02~28.02,수서동,"70,000",삼익,0,60,,,708,4
4,11680,,2025-11-01,2021,신규,25.12~27.12,개포동,"50,000",개포더샵트리에,440,105.8244,,,651-1,16
5,11680,,2025-11-01,1979,갱신,26.01~28.01,대치동,"40,000",은마,150,84.43,"40,000",110,316,9
6,11680,,2025-11-01,1979,신규,26.02~28.02,대치동,"60,000",은마,0,76.79,,,316,14
7,11680,사용,2025-11-01,2003,갱신,25.11~27.11,도곡동,"220,000",타워팰리스2,120,164.99,"220,000",80,467-17,14
8,11680,,2025-11-01,2006,신규,26.02~28.02,삼성동,"130,000",래미안삼성1차(103-22),0,114.17,,,103-22,6
9,11680,,2025-11-01,2021,신규,26.01~28.01,삼성동,"145,000",래미안라클래시,0,71.95,,,189,22
10,11680,,2025-11-01,2002,신규,25.11~27.11,역삼동,"34,000",트레벨,0,33.48,,,766-8,3
11,11680,,2025-11-01,1994,신규,26.01~28.01,일원동,"135,000",샘터마을,0,134.438,,,718,13
12,11680,,2025-11-01,1983,신규,26.02~28.02,대치동,"150,000",개포우성1,150,189.98,,,503,1
13,11680,사용,2025-11-01,2016,갱신,25.12~27.12,역삼동,"126,000",역삼자이,0,84.993,"120,000",,711-3,9
14,11680,,2025-11-01,2015,신규,25.12~27.12,대치동,"160,000",래미안대치팰리스,200,94.49,,,1027,29
15,11680,사용,2025-11-01,2018,갱신,26.01~28.01,일원동,"126,000",래미안 개포 루체하임,0,71.65,"120,000",,741,7
16,11680,,2025-11-01,2023,신규,25.12~27.12,개포동,"30,000",개포자이프레지던스,380,59.9751,,,1284,7
17,11680,,2025-11-01,1983,신규,26.01~28.01,개포동,"20,000",개포주공7단지,50,53.46,,,185,10
18,11680,,2025-11-01,2019,신규,25.12~27.12,개포동,"220,000",디에이치아너힐즈,0,106.9877,,,1281,9
