,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11620,,2025-11-01,2019,신규,26.01~28.01,봉천동,"73,000",e편한세상서울대입구2단지,0,84.92,,,1730-1,7
1,11620,,2025-11-01,1998,신규,25.12~27.12,봉천동,"3,000",무학,110,59.38,,,1531-39,8
2,11620,,2025-11-01,1998,신규,26.01~28.01,봉천동,"45,000",갑을,80,80.7,,,1700,9
3,11620,사용,2025-11-01,2022,갱신,25.11~27.11,신림동,"61,900",힐스테이트뉴포레,0,59.9882,"59,000",,1746,12
4,11620,,2025-11-01,1985,신규,25.12~27.12,봉천동,"5,000",일두(1021),80,57.66,,,1021,1
5,11620,,2025-11-01,1996,신규,25.12~27.12,봉천동,"62,000",보라매삼성,0,84.84,,,1698-1,14
6,11620,,2025-11-01,2003,갱신,25.12~27.12,봉천동,"7,000",관악드림(삼성),145,60,"3,000",120,1712,3
7,11620,,2025-11-01,2000,신규,26.01~28.01,신림동,"37,000",삼성산주공(주공3단지),0,83.21,,,1714,14
8,11620,,2025-11-01,2020,신규,25.11~27.11,봉천동,"1,000",e편한세상서울대입구2차,78,116.72,,,1733,3
9,11620,,2025-11-01,2003,갱신,25.12~26.01,봉천동,"39,000",관악드림(동아),0,59.85,"39,000",,1712,22
10,11620,사용,2025-11-01,2000,갱신,26.01~28.01,봉천동,"44,600",봉천동아,0,59.76,"42,500",,1703,17
11,11620,,2025-11-01,2022,신규,25.11~26.10,신림동,"1,000",로사이신림,125,18.09,,,1423-3,9
12,11620,,2025-11-01,1984,신규,25.11~27.11,신림동,"1,000",건영1,90,41.04,,,746-43,2
13,11620,사용,2025-11-01,2008,갱신,25.12~28.01,신림동,"45,000",관악산휴먼시아2단지,0,84.97,"45,000",,1735,4
14,11620,사용,2025-11-01,2008,갱신,25.12~27.12,신림동,"36,750",관악산휴먼시아2단지,0,59.99,"35,000",,1735,2
15,11620,,2025-11-01,2014,신규,25.11~26.11,신림동,"1,000",푸리마타운,60,12.95,,,1639-51,11
16,11620,,2025-11-01,2006,신규,26.01~28.01,봉천동,"55,000",서울대입구아이원(1560-61),0,59.96,,,1560-61,12
17,11620,,2025-11-01,2020,신규,26.03~28.03,봉천동,"66,000",e편한세상서울대입구2차,0,59.85,,,1733,12
18,11620,사용,2025-11-01,2004,갱신,26.01~28.01,봉천동,"45,000",관악푸르지오,0,59.58,"43,000",,1717,13
19,11620,사용,2025-11-01,2003,갱신,25.11~27.11,봉천동,"44,000",관악드림(동아),0,60,"42,000",,1712,20
20,11620,,2025-11-01,2000,신규,25.12~27.12,봉천동,"20,000",봉천동아,200,114.69,,,1703,13
21,11620,,2025-11-01,2019,갱신,25.11~27.11,봉천동,"71,000",e편한세상서울대입구1단지,0,84.97,"67,000",,1730,9
22,11620,,2025-11-01,2022,신규,25.12~26.05,신림동,"12,000",힐스테이트뉴포레,220,59.9882,,,1746,22
