,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11545,,2025-11-01,2019,신규,25.12~27.12,독산동,"5,000",명도힐스티지,90,29.63,,,962-32,14
1,11545,,2025-11-01,2002,신규,26.01~28.01,독산동,"31,500",금천현대,0,59.82,,,711-2,18
2,11545,사용,2025-11-01,2016,갱신,25.11~27.11,독산동,"73,500",금천롯데캐슬골드파크1차,0,84.8114,"70,000",,1147,8
3,11545,,2025-11-01,2002,신규,26.01~28.01,독산동,"35,000",금천현대,0,59.82,,,711-2,13
4,11545,,2025-11-01,2004,신규,26.01~28.01,시흥동,"38,000",관악산벽산타운5,0,84.97,,,1013,15
5,11545,,2025-11-01,1980,신규,25.11~27.11,시흥동,"1,000",무지개,40,53.75,,,109-1,9
6,11545,,2025-11-01,2004,신규,25.11~27.11,시흥동,"3,000",관악산벽산타운5,110,59.34,,,1013,1
7,11545,,2025-11-01,2017,갱신,25.11~27.11,가산동,"11,100",가산피어니빌,0,14.0429,"11,000",,143-20,4
8,11545,,2025-11-01,2004,신규,25.11~27.11,시흥동,"3,000",관악산벽산타운5,100,59.34,,,1013,1
9,11545,,2025-11-01,1982,신규,26.01~28.01,시흥동,"2,000",남서울건영아파트,65,53.39,,,992-2,6
10,11545,,2025-11-01,2011,신규,26.01~28.01,독산동,"43,500",독산동한양수자인,0,68.307,,,1144,14
11,11545,,2025-11-01,1981,신규,25.12~27.12,시흥동,"24,500",럭키남서울아파트,0,49.75,,,1002-1,9
12,11545,,2025-11-01,2004,신규,25.11~27.11,시흥동,"3,000",관악산벽산타운5,110,59.34,,,1013,1
13,11545,,2025-11-01,2016,신규,26.01~28.01,독산동,"65,000",금천롯데캐슬골드파크1차,0,72.5195,,,1147,21
14,11545,,2025-11-02,2018,신규,25.11~26.11,가산동,"3,500",가산지웰에스테이트2차,39,14.12,,,143-6,8
15,11545,,2025-11-02,2018,신규,25.11~27.11,시흥동,"33,500",메르시대신아파트,0,61.5,,,961-4,6
16,11545,,2025-11-02,2020,신규,26.01~28.01,독산동,"5,000",독산오르페움타워,100,37.806,,,989,3
17,11545,,2025-11-03,1991,신규,25.11~27.11,독산동,"25,000",한신아파트,90,129.66,,,1093-4,6
18,11545,,2025-11-03,1980,신규,25.11~26.11,시흥동,500,무지개,40,53.75,,,109-1,4
19,11545,,2025-11-03,1998,신규,25.12~27.12,가산동,"36,000",두산,0,59.84,,,769,3
20,11545,,2025-11-03,2013,갱신,25.11~27.11,가산동,"9,100",가산양우내안에애플,0,12.04,"12,500",,141-2,10
21,11545,,2025-11-03,2014,신규,25.11~26.11,가산동,"1,000",비즈트위트바이올렛5차,55,12.19,,,140-36,11
22,11545,,2025-11-03,1991,신규,25.11~27.11,독산동,"55,000",한신아파트,0,129.66,,,1093-4,5
23,11545,사용,2025-11-03,1999,갱신,25.11~27.11,시흥동,"15,000",삼익,80,84.96,"15,000",80,5-13,13
24,11545,,2025-11-03,2014,갱신,25.11~27.11,독산동,"11,500",골드캐슬(1031-22),0,16.78,"11,000",,1031-22,11
25,11545,,2025-11-03,2014,신규,25.11~27.11,독산동,"11,500",골드캐슬(1031-22),0,16.37,,,1031-22,6
