,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11350,,2025-11-01,1986,신규,25.11~27.11,월계동,"1,000",삼호3,110,59.22,,,13,11
1,11350,,2025-11-01,2001,갱신,25.12~27.12,공릉동,"46,000",풍림아파트A,0,84.99,"45,000",,725,20
2,11350,사용,2025-11-01,1986,갱신,25.12~27.12,월계동,"18,480",미륭,0,51.48,"17,600",,13,11
3,11350,사용,2025-11-01,1991,갱신,26.02~27.02,중계동,"17,010",중계무지개,0,39.82,"16,200",,512,1
4,11350,,2025-11-01,1992,신규,26.01~28.01,중계동,"15,000",주공5,110,58.46,,,359-1,14
5,11350,사용,2025-11-01,1992,갱신,25.12~27.12,중계동,"16,800",주공2,0,44.52,"16,000",,369,12
6,11350,,2025-11-01,1986,신규,25.12~27.11,월계동,"5,000",미성,90,50.14,,,13,2
7,11350,,2025-11-01,1988,신규,25.12~27.12,상계동,"28,000",상계주공10(저층),0,54.54,,,666,1
8,11350,,2025-11-01,1993,갱신,25.12~27.12,중계동,"74,000",대림벽산(363),30,114.39,"74,000",,363,9
9,11350,,2025-11-01,1998,신규,25.12~27.12,상계동,"5,000",은빛1단지,100,59.95,,,1255,4
10,11350,사용,2025-11-01,1988,갱신,26.01~28.01,상계동,"22,050",상계주공10(고층),0,49.94,"21,000",,666,15
11,11350,사용,2025-11-01,1994,갱신,25.11~27.11,공릉동,"19,500",시영2단지(라이프)아파트,0,39.6,"19,000",,707,4
12,11350,,2025-11-01,1998,신규,26.01~28.01,상계동,"26,000",은빛1단지,0,49.77,,,1255,2
13,11350,,2025-11-01,1998,신규,26.01~28.01,중계동,"25,000",양지마을(대림)1,140,84.9,,,587,3
14,11350,,2025-11-01,1997,신규,26.01~28.01,상계동,"51,000",코오롱,0,84.9,,,1281,2
15,11350,,2025-11-01,1988,신규,26.01~28.01,하계동,"20,000",벽산,40,57.71,,,271-3,13
16,11350,사용,2025-11-01,1992,갱신,25.12~27.12,중계동,"49,000",주공5,9,76.51,"49,000",,359-1,15
17,11350,,2025-11-01,2000,,,공릉동,"60,000",공릉해링턴플레이스,0,99.917,,,106,5
18,11350,,2025-11-01,1986,,,월계동,"29,000",삼호3,0,59.22,,,13,10
19,11350,,2025-11-01,2014,신규,25.11~26.11,상계동,"1,000",소담빌,55,14.65,,,330-29,7
20,11350,,2025-11-01,1986,신규,25.12~27.12,월계동,"22,000",미륭,0,51.48,,,13,10
21,11350,,2025-11-01,1992,신규,25.12~27.12,중계동,"1,000",주공2,75,44.52,,,369,1
22,11350,사용,2025-11-01,1988,갱신,25.12~27.11,상계동,"5,000",상계주공9(고층),53,49.94,"5,000",50,670,8
23,11350,,2025-11-01,1988,신규,26.02~28.02,상계동,"53,000",한양,0,107.92,,,757,8
24,11350,,2025-11-01,1989,갱신,25.11~27.11,하계동,"3,000",장미(시영6),95,59.22,"3,000",90,273,1
25,11350,,2025-11-01,1992,신규,25.11~27.11,월계동,"2,000",주공2,75,44.52,,,556,8
26,11350,,2025-11-01,1993,신규,26.01~28.01,중계동,"12,000",주공7,38,44.1,,,363-1,15
27,11350,,2025-11-01,1998,신규,25.12~27.12,상계동,"26,000",은빛1단지,0,49.77,,,1255,8
28,11350,,2025-11-01,1986,신규,25.12~27.12,월계동,"2,000",미륭,100,51.48,,,13,14
29,11350,사용,2025-11-01,2009,갱신,25.11~27.11,상계동,"53,550",노원IPARK,0,137.63,"51,000",,1318,7
30,11350,사용,2025-11-01,1988,갱신,25.12~27.12,하계동,"42,000",현대,0,71.68,"40,000",,270,3
31,11350,,2025-11-01,1992,신규,25.12~27.12,중계동,"1,000",주공2,75,44.52,,,369,1
32,11350,,2025-11-01,1993,신규,26.02~28.02,중계동,"20,000",롯데우성,220,101.88,,,361-1,9
33,11350,사용,2025-11-01,1999,갱신,25.11~27.11,공릉동,"27,000",대동아파트,0,84.97,"27,000",,604-11,14
34,11350,,2025-11-01,2000,신규,26.01~28.01,공릉동,"35,000",현대성우아파트,0,59.98,,,741,4
35,11350,,2025-11-01,1993,신규,26.02~28.02,중계동,"30,000",청구(366),160,115.47,,,366,7
36,11350,사용,2025-11-01,1999,갱신,25.12~27.12,공릉동,"27,800",태강아파트(아이파크),0,49.6,"26,500",,81,8
37,11350,사용,2025-11-01,1986,갱신,25.11~27.11,월계동,"17,300",미성,0,50.14,"16,500",,13,7
38,11350,,2025-11-01,1989,신규,26.01~28.01,하계동,"5,000",청솔(시영7),85,49.85,,,274,10
39,11350,,2025-11-01,1989,신규,26.01~28.01,중계동,"28,000",경남,0,50.97,,,505,2
40,11350,,2025-11-01,1993,신규,25.11~26.02,중계동,500,주공7,100,44.1,,,363-1,1
41,11350,,2025-11-01,1998,신규,25.12~27.12,상계동,"5,000",상계2차중앙하이츠,155,84.6,,,1282,21
42,11350,,2025-11-01,1992,,,중계동,"15,000",주공5,110,58.46,,,359-1,14
43,11350,사용,2025-11-01,1986,갱신,25.11~27.11,월계동,"3,000",삼호3,100,59.22,"3,000",95,13,13
44,11350,,2025-11-01,1999,신규,25.12~27.12,공릉동,"3,000",비선아파트,105,48.93,,,109,5
45,11350,,2025-11-01,1987,갱신,25.11~27.11,상계동,"30,000",상계주공2(고층),0,68.86,"23,000",,740,11
46,11350,,2025-11-01,1999,신규,26.01~28.01,상계동,"30,000",동아불암,0,59.4,,,1285,5
47,11350,,2025-11-01,2014,신규,25.11~26.11,상계동,500,소담빌,60,14.65,,,330-29,8
48,11350,,2025-11-01,1986,신규,25.12~27.12,월계동,"10,000",미륭,40,51.48,,,13,10
49,11350,사용,2025-11-01,1993,갱신,25.12~27.12,중계동,"88,700",동진신안,0,134.74,"84,500",,364,12
50,11350,,2025-11-01,1993,,,중계동,"20,000",롯데우성,220,101.88,,,361-1,9
51,11350,,2025-11-01,1992,신규,25.12~27.12,중계동,"5,000",주공2,70,44.52,,,369,11
52,11350,,2025-11-01,2001,,,공릉동,"46,000",풍림아파트A,0,84.99,,,725,20
53,11350,,2025-11-01,2000,갱신,26.01~28.01,공릉동,"60,000",공릉해링턴플레이스,0,99.917,"54,000",,106,5
54,11350,,2025-11-01,1998,갱신,25.11~27.11,월계동,"25,000",청백4,0,59.4,"21,000",,781,12
55,11350,,2025-11-01,1997,신규,25.12~27.12,중계동,"56,000",금호타운(583),0,84.98,,,583,13
56,11350,,2025-11-01,2000,신규,25.12~27.12,상계동,"65,000",수락산벨리체,0,134.94,,,1265,8
57,11350,사용,2025-11-01,1995,갱신,26.01~28.01,중계동,"30,000",건영3,140,84.9,"30,000",130,360-15,7
58,11350,,2025-11-01,1988,갱신,25.12~27.12,상계동,"19,800",상계주공10(저층),0,47.34,"16,800",,666,3
59,11350,,2025-11-01,1993,갱신,25.11~27.11,중계동,"15,435",주공7,0,44.1,"14,700",,363-1,9
60,11350,,2025-11-01,1988,,,상계동,"17,850",상계주공10(저층),0,47.34,,,666,5
61,11350,사용,2025-11-01,1988,갱신,25.11~27.10,상계동,"22,000",상계주공12(고층),0,49.94,"21,000",,647,7
62,11350,,2025-11-01,1989,신규,25.12~27.12,하계동,"28,000",청솔(시영7),0,49.5,,,274,4
