,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11320,,2025-11-01,2001,갱신,25.11~27.11,창동,"40,000",성원상떼빌,0,84.99,"32,000",,743-15,11
1,11320,,2025-11-01,1998,신규,25.11~27.11,도봉동,"2,000",현대성우,90,59.04,,,642,7
2,11320,,2025-11-01,1992,갱신,25.12~27.12,창동,"37,550",삼성래미안,0,84.75,"35,800",,45,3
3,11320,,2025-11-01,1988,신규,26.01~28.01,쌍문동,"1,500",기용,55,44.37,,,153,1
4,11320,사용,2025-11-01,1986,갱신,25.12~27.11,방학동,"13,000",신동아아파트1,18,53.16,"13,000",15,271-1,1
5,11320,사용,2025-11-01,1991,갱신,25.11~27.11,쌍문동,"40,000",금호2,0,84.46,"40,000",,산69-1,14
6,11320,사용,2025-11-01,1990,갱신,26.01~28.01,창동,"19,900",창동주공1단지,0,41.3,"19,000",,305,12
7,11320,,2025-11-01,1989,신규,25.11~27.11,창동,"15,000",주공17단지,0,36.16,,,38,1
8,11320,,2025-11-01,2004,신규,26.01~28.01,창동,"63,000",북한산아이파크5차,0,119.1731,,,825,16
9,11320,사용,2025-11-01,1997,갱신,25.11~27.11,창동,"39,900",동아청솔,0,84.97,"38,000",,808,14
10,11320,사용,2025-11-01,1988,갱신,25.12~27.11,쌍문동,"18,900",삼익세라믹,0,40.11,"18,000",,56,13
11,11320,사용,2025-11-01,1990,갱신,25.11~27.11,창동,"8,000",창동주공3단지(해등마을),95,61.52,"10,000",80,347,14
12,11320,사용,2025-11-01,2000,갱신,25.12~28.06,창동,"37,800",현대조합,0,84.21,"36,000",,813,17
13,11320,사용,2025-11-01,1996,갱신,25.11~27.11,도봉동,"23,000",서원,10,59.51,"23,000",15,641,12
14,11320,,2025-11-01,1991,신규,25.11~27.11,창동,"3,000",창동주공4단지,85,41.3,,,373,13
15,11320,사용,2025-11-01,1997,갱신,25.11~27.11,창동,"15,000",쌍용,102,84.76,"15,000",95,807,14
16,11320,,2025-11-01,1988,신규,26.01~28.01,쌍문동,"1,500",기용,55,44.37,,,153,1
17,11320,사용,2025-11-01,1996,갱신,25.12~27.11,쌍문동,"34,650",청구,0,84.63,"33,000",,195,15
18,11320,사용,2025-11-01,1990,갱신,25.11~27.11,창동,"24,600",창동주공1단지,0,49.94,"23,500",,305,4
19,11320,,2025-11-01,2004,신규,26.01~28.01,창동,"53,500",북한산아이파크5차,0,84.4516,,,825,10
20,11320,,2025-11-01,1991,신규,26.02~28.02,창동,"3,000",창동주공4단지,80,49.94,,,373,5
21,11320,,2025-11-01,1996,신규,25.12~27.12,창동,"50,000",동아그린,0,84.94,,,805,6
22,11320,,2025-11-01,1997,신규,26.01~28.01,창동,"10,000",동아청솔,150,84.97,,,808,24
23,11320,,2025-11-01,1988,신규,26.01~28.01,창동,"42,000",동아,0,89.45,,,26,6
24,11320,,2025-11-01,2002,신규,25.12~27.12,방학동,"48,000",방학동삼성래미안2,0,84.937,,,715-12,3
25,11320,,2025-11-01,1990,갱신,25.11~27.11,창동,"25,200",창동주공3단지(해등마을),0,58.01,"24,000",,347,9
26,11320,,2025-11-02,1997,갱신,25.11~27.11,창동,"46,000",동아청솔,0,84.97,"43,800",,808,13
27,11320,,2025-11-02,1989,갱신,25.11~27.11,창동,"15,500",주공17단지,0,36.16,"15,000",,38,11
28,11320,,2025-11-02,1988,신규,25.12~27.12,창동,"3,000",상아2차아파트,100,58.59,,,300,1
29,11320,,2025-11-03,2001,신규,25.12~27.04,창동,"54,000",창동2차현대,0,84.504,,,815,11
30,11320,,2025-11-03,1989,신규,25.11~27.11,창동,"1,000",주공17단지,70,36.16,,,38,1
31,11320,,2025-11-03,1999,신규,26.01~28.01,창동,"35,000",창동현대타운,0,66.42,,,812,5
32,11320,,2025-11-03,1998,신규,25.12~27.12,창동,"1,000",신창,90,49.14,,,810,9
33,11320,,2025-11-03,1989,신규,25.11~27.11,창동,"3,000",주공17단지,65,41.3,,,38,5
34,11320,,2025-11-03,1991,신규,25.12~27.12,방학동,"26,500",벽산아파트1,0,63.38,,,275,9
35,11320,,2025-11-03,1990,신규,25.12~27.12,창동,"2,000",창동주공2단지,68,41.3,,,316,8
36,11320,,2025-11-03,1990,신규,25.12~27.12,창동,"5,000",창동주공3단지(해등마을),90,49.94,,,347,5
