,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11230,,2025-11-01,2020,신규,25.12~28.06,이문동,"27,000",이문스카이뷰,10,25.99,,,291-35,17
1,11230,사용,2025-11-01,2023,갱신,26.02~28.02,용두동,"71,400",청량리역한양수자인그라시엘,0,84.97,"68,000",,798,20
2,11230,,2025-11-01,2019,신규,25.12~27.12,답십리동,"48,300",답십리파크자이,0,59.85,,,1014,3
3,11230,,2025-11-01,2023,신규,25.12~27.12,용두동,"81,000",청량리역한양수자인그라시엘,0,84.96,,,798,38
4,11230,사용,2025-11-01,1994,갱신,25.12~27.12,용두동,"45,000",신동아,8,84.63,"45,000",,779,6
5,11230,,2025-11-01,2000,신규,26.01~28.01,전농동,"45,000",전농SK,0,59.34,,,10,11
6,11230,,2025-11-01,2002,신규,25.12~27.12,이문동,"41,000",중앙하이츠빌,0,59.4,,,84,3
7,11230,,2025-11-01,2007,신규,25.12~27.12,장안동,"50,000",래미안장안2차,0,64.85,,,329-3,23
8,11230,,2025-11-01,2019,신규,25.12~27.12,답십리동,"48,300",답십리파크자이,0,59.85,,,1014,3
9,11230,,2025-11-01,1989,신규,26.02~28.02,회기동,"40,000",신현대,0,60.48,,,65,3
10,11230,,2025-11-01,2011,신규,26.01~28.01,장안동,"55,000",장안위더스빌,0,84.85,,,580,3
11,11230,,2025-11-01,1989,신규,26.02~28.02,회기동,"40,000",신현대,0,60.48,,,65,3
12,11230,사용,2025-11-01,1989,갱신,25.12~27.12,회기동,"43,500",신현대,0,84.96,"41,500",,65,13
13,11230,,2025-11-01,2004,신규,26.02~28.02,이문동,"20,000",래미안이문2차,110,59.79,,,311,19
14,11230,,2025-11-01,2021,신규,26.01~28.01,용두동,"30,000",이편한세상청계센트럴포레,160,59.96,,,795,9
15,11230,,2025-11-01,2014,신규,25.12~27.12,답십리동,"66,000",래미안위브,0,59.99,,,1003,10
16,11230,,2025-11-01,2009,신규,25.12~27.12,용두동,"27,000",롯데캐슬피렌체,0,30.4,,,790,5
17,11230,사용,2025-11-01,2011,갱신,26.02~28.02,답십리동,"44,500",래미안엘파인아파트,0,59.95,"42,500",,1000,2
18,11230,,2025-11-01,2021,신규,25.12~27.12,용두동,"70,000",이편한세상청계센트럴포레,0,59.96,,,795,14
19,11230,,2025-11-01,2000,신규,25.12~27.12,전농동,"43,000",전농SK,0,59.34,,,10,6
20,11230,,2025-11-01,2013,신규,25.12~27.12,회기동,"1,000",베라체캠퍼스,110,24.319,,,346-18,9
21,11230,,2025-11-01,2009,신규,26.01~28.01,용두동,"27,000",롯데캐슬피렌체,0,30.4,,,790,5
22,11230,,2025-11-01,2014,신규,26.01~28.01,전농동,"67,000",래미안크레시티,0,59.99,,,690,7
23,11230,,2025-11-01,2007,신규,26.01~28.01,장안동,"60,000",래미안장안2차,0,81.05,,,329-3,11
24,11230,,2025-11-01,2020,신규,25.11~27.11,용두동,"3,000",동대문베네스트,80,18.36,,,100-5,17
25,11230,,2025-11-01,2019,신규,25.11~27.11,답십리동,"12,000",보광타워,20,16.13,,,530-4,8
26,11230,사용,2025-11-01,1997,갱신,25.12~27.12,전농동,"47,250",동아,0,83.01,"45,000",,645-2,10
27,11230,사용,2025-11-01,1987,갱신,25.12~27.12,청량리동,"29,400",현대,0,66.91,"28,000",,234-2,4
28,11230,사용,2025-11-01,2023,갱신,25.11~27.11,전농동,"70,350",청량리역롯데캐슬 SKY-L65,0,84.971,"67,000",,620-47,59
29,11230,,2025-11-01,2025,신규,25.11~27.10,용두동,"23,000",힐스테이트청량리메트로블,130,48.8335,,,26-14,10
30,11230,,2025-11-01,2019,신규,26.02~28.02,답십리동,"65,000",답십리파크자이,0,59.91,,,1014,19
31,11230,,2025-11-01,2011,,,장안동,"55,000",장안위더스빌,0,84.85,,,580,3
32,11230,,2025-11-01,1978,신규,25.12~27.12,청량리동,"30,500",미주,0,86.78,,,235-1,8
33,11230,,2025-11-01,2019,신규,26.01~28.01,답십리동,"10,000",래미안미드카운티,270,84.99,,,1013,14
34,11230,,2025-11-01,2021,신규,25.12~27.12,휘경동,"25,000",휘경해모로프레스티지,100,59.77,,,375,10
