,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11440,사용,2025-11-01,2014,갱신,25.12~27.12,상수동,"139,000",래미안밤섬리베뉴Ⅱ,0,147.53,"139,000",,398,16
1,11440,,2025-11-01,2001,신규,26.01~28.01,염리동,"25,000",염리삼성래미안,210,84.96,,,520,12
2,11440,,2025-11-01,2020,신규,26.01~28.01,대흥동,"115,000",마포그랑자이,0,84.98,,,806,14
3,11440,,2025-11-01,2009,신규,26.01~28.01,상암동,"44,000",DMC상암센트럴파크2단지,0,51.98,,,1618,7
4,11440,,2025-11-01,2014,갱신,25.12~27.12,아현동,"85,000",마포래미안푸르지오2단지,0,84.5978,"79,380",,777,4
5,11440,,2025-11-01,2014,신규,26.01~28.01,아현동,"81,000",마포래미안푸르지오4단지,0,59.9656,,,777,25
6,11440,,2025-11-01,2013,신규,25.12~27.12,신공덕동,"40,000",공덕아이파크,125,59.98,,,174,9
7,11440,사용,2025-11-01,2022,갱신,25.12~27.12,아현동,"79,000",더클래시,14,59.97,"79,000",,804,6
8,11440,,2025-11-01,2003,갱신,26.02~28.02,용강동,"61,400",마포용강삼성래미안,6,59.98,"58,500",6,380,9
9,11440,사용,2025-11-01,2014,갱신,26.01~28.01,아현동,"74,500",마포래미안푸르지오4단지,0,59.9656,"71,000",,777,2
10,11440,,2025-11-01,2016,신규,26.01~28.01,용강동,"60,000",이편한세상마포리버파크,140,59.98,,,508,11
11,11440,,2025-11-01,2014,신규,26.01~28.01,아현동,"100,000",마포래미안푸르지오4단지,0,84.5978,,,777,22
12,11440,,2025-11-01,2000,신규,26.01~28.01,신공덕동,"80,000",신공덕래미안2차,0,84.73,,,159,9
13,11440,사용,2025-11-01,2005,갱신,25.12~27.12,창전동,"42,000",창전동현대홈타운,105,84.978,"40,000",100,440,11
14,11440,사용,2025-11-01,2000,갱신,25.11~27.11,중동,"35,700",현대,30,59.54,"34,000",30,40-12,11
15,11440,,2025-11-01,2004,신규,26.01~28.01,서교동,"20,000",기정MAY(247-112),120,84.78,,,247-112,6
16,11440,사용,2025-11-01,1986,갱신,25.11~27.11,성산동,"26,700",성산시영(선경),0,50.54,"25,500",,446,8
17,11440,,2025-11-01,1997,신규,26.01~28.01,토정동,"42,000",한강삼성,0,59.76,,,138,8
18,11440,,2025-11-01,2015,신규,26.02~28.02,용강동,"105,000",래미안마포리버웰,100,114.66,,,502,15
19,11440,사용,2025-11-01,2020,갱신,26.03~28.03,대흥동,"50,000",마포그랑자이,219,84.98,"50,000",200,806,21
20,11440,사용,2025-11-01,2005,갱신,25.11~27.11,신공덕동,"20,000",대우메트로디오빌,54,34.39,"20,000",47,167,19
21,11440,,2025-11-01,2015,갱신,25.11~27.10,용강동,"110,000",래미안마포리버웰,0,84.98,"105,000",,502,1
22,11440,,2025-11-01,2014,신규,25.11~27.11,아현동,"10,000",마포래미안푸르지오1단지,250,59.9236,,,777,8
23,11440,,2025-11-01,2014,신규,26.01~28.01,아현동,"80,000",마포래미안푸르지오2단지,0,59.9656,,,777,5
