,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11650,,2025-11-01,2012,신규,26.01~28.01,우면동,"90,000",서초힐스,0,74.97,,,773,3
1,11650,사용,2025-11-01,2023,갱신,25.11~27.11,반포동,"141,700",래미안원베일리,0,74.92,"135,000",,1,22
2,11650,,2025-11-01,2006,신규,25.12~27.12,방배동,"90,000",방배아이파크,160,157.56,,,3277,5
3,11650,,2025-11-01,2010,신규,26.01~28.01,서초동,"110,000",롯데캐슬메디치,0,124.18,,,1656-4,13
4,11650,,2025-11-01,2001,신규,26.01~28.01,양재동,"67,000",서초,0,83.52,,,322,3
5,11650,,2025-11-01,1989,신규,25.12~27.12,잠원동,"30,000",한강,200,84.53,,,49-8,1
6,11650,,2025-11-01,1989,신규,25.11~27.11,반포동,"1,000",반포미도2차아파트,120,71.49,,,60-5,8
7,11650,,2025-11-01,2014,갱신,25.11~26.11,서초동,"1,000",urbanplace,95,20.998,"1,000",85,1337-3,5
8,11650,,2025-11-01,1987,갱신,25.12~26.12,반포동,"73,500",반포미도,0,84.96,"70,000",,60-4,1
9,11650,사용,2025-11-01,1975,갱신,25.12~27.12,방배동,"68,250",삼호1동~3동,0,116.13,"65,000",,770-1,8
10,11650,,2025-11-01,2006,신규,26.01~28.01,서초동,"30,000",롯데캐슬클래식,350,84.98,,,1312-3,8
11,11650,사용,2025-11-01,2022,갱신,25.12~27.12,반포동,"73,000",더샵반포리버파크,20,49.7576,"70,000",20,114-1,6
12,11650,사용,2025-11-01,2023,갱신,25.12~27.12,반포동,"136,500",래미안원베일리,0,59.96,"130,000",,1,33
13,11650,사용,2025-11-01,1987,갱신,26.01~28.01,반포동,"10,000",반포미도,253,84.96,"10,000",240,60-4,13
14,11650,,2025-11-01,2009,신규,26.02~28.02,반포동,"280,000",반포자이,0,165.446,,,20-43,8
15,11650,,2025-11-01,2006,갱신,25.12~27.12,방배동,"105,000",롯데캐슬헤론,100,124.27,"90,000",100,754-1,12
16,11650,사용,2025-11-01,2021,갱신,25.11~27.11,서초동,"120,000",서초그랑자이,0,59.98,"117,000",,1757,16
17,11650,,2025-11-01,2017,신규,25.12~27.12,서초동,"148,000",서초푸르지오써밋,0,84.95,,,1311-10,6
18,11650,,2025-11-01,2016,신규,26.02~28.02,잠원동,"150,000",래미안신반포팰리스,130,104.08,,,158,28
19,11650,사용,2025-11-01,2018,갱신,25.12~27.12,반포동,"170,000",반포래미안아이파크,0,99.92,"162,000",,1341,14
20,11650,,2025-11-01,2005,신규,25.12~27.12,서초동,"10,000",신원아침도시(1420),290,84.34,,,1420-18,7
21,11650,사용,2025-11-01,1978,갱신,25.11~27.11,잠원동,"52,500",신반포2,0,79.42,"50,000",,73,7
22,11650,,2025-11-01,2014,신규,26.01~28.01,신원동,"100,000",서초포레스타5단지,30,101.35,,,579,5
23,11650,사용,2025-11-01,1988,갱신,26.02~27.12,서초동,"86,100",삼풍아파트,0,79.47,"82,000",,1685,6
24,11650,,2025-11-01,1989,신규,26.02~28.02,잠원동,"100,000",한강,0,84.53,,,49-8,12
25,11650,,2025-11-01,2006,신규,26.01~28.01,방배동,"125,000",쌍용예가클래식,0,155.4471,,,776-3,5
26,11650,사용,2025-11-01,2023,갱신,25.12~27.12,반포동,"136,500",래미안원베일리,0,59.96,"130,000",,1,21
27,11650,,2025-11-01,1993,신규,25.12~27.12,서초동,"55,000",유원서초,160,84.82,,,1687,16
28,11650,사용,2025-11-01,2023,갱신,25.12~27.12,반포동,"294,000",래미안원베일리,0,116.92,"280,000",,1,6
29,11650,사용,2025-11-01,1989,갱신,25.12~27.12,반포동,"57,750",반포미도2차아파트,0,71.49,"55,000",,60-5,2
30,11650,,2025-11-01,1982,갱신,25.11~26.11,잠원동,"53,000",신반포19,0,80.25,"50,000",,61-2,10
31,11650,,2025-11-01,1984,갱신,26.01~28.01,잠원동,"75,000",신반포25,0,84.49,"75,000",,61-1,6
32,11650,,2025-11-01,2023,신규,25.12~27.12,잠원동,"190,000",신반포르엘,0,107.97,,,165,20
33,11650,,2025-11-01,2017,신규,25.11~27.11,서초동,"20,000",서초푸르지오써밋,440,74.96,,,1311-10,27
34,11650,사용,2025-11-01,1975,갱신,25.11~27.11,방배동,"75,600",삼호1동~3동,0,116.13,"72,000",,770-1,2
35,11650,사용,2025-11-01,2018,갱신,25.11~27.11,서초동,"70,000",래미안서초에스티지S,265,84.8,"70,000",240,1754,16
36,11650,사용,2025-11-01,2023,갱신,25.11~27.11,반포동,"89,250",래미안원베일리,74,59.96,"85,000",70,1,10
37,11650,사용,2025-11-01,2009,갱신,25.12~27.12,반포동,"147,000",반포자이,0,84.943,"140,000",,20-43,11
