,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11200,,2025-11-01,1996,신규,25.12~27.12,마장동,"52,000",삼성,0,59.76,,,817,12
1,11200,,2025-11-01,2015,신규,25.11~27.11,하왕십리동,"75,000",텐즈힐(1단지),0,59.88,,,1066,10
2,11200,,2025-11-01,2004,신규,25.12~27.12,하왕십리동,"78,000",왕십리풍림아이원,0,114.928,,,1061,15
3,11200,사용,2025-11-01,2009,갱신,26.01~28.01,행당동,"78,700",행당두산위브,0,84.99,"75,000",,375,12
4,11200,사용,2025-11-01,2023,갱신,25.11~26.11,금호동4가,"55,000",서울숲르씨엘,10,59.5075,"55,000",,1555,5
5,11200,,2025-11-01,2006,갱신,25.12~26.02,금호동1가,"5,000",신금호두산위브,263,84.12,"5,000",250,1818,7
6,11200,,2025-11-01,2012,신규,26.01~28.01,금호동2가,"82,000",금호자이1차,0,84.98,,,1215,1
7,11200,,2025-11-01,1990,신규,25.12~27.12,응봉동,"45,000",금호현대,0,59.91,,,98,5
8,11200,사용,2025-11-01,2019,갱신,25.12~27.12,금호동1가,"78,000",이편한세상금호파크힐스,0,59.983,"75,000",,1823,14
9,11200,,2025-11-01,2012,신규,25.12~27.12,금호동4가,"10,000",서울숲2차푸르지오,295,59.862,,,235,10
10,11200,,2025-11-01,2003,갱신,25.11~27.11,응봉동,"5,000",서울숲리버그린동아아파트,250,84.83,"5,000",235,276,17
11,11200,,2025-11-01,1986,신규,25.12~27.12,마장동,"37,000",세림,0,72.84,,,784,8
12,11200,,2025-11-01,2012,신규,26.01~28.01,옥수동,"70,000",래미안 옥수 리버젠,50,59.25,,,561,4
13,11200,,2025-11-01,1996,신규,26.01~28.01,하왕십리동,"60,000",벽산,60,114.46,,,258,13
14,11200,,2025-11-01,2012,신규,26.02~28.02,옥수동,"100,000",래미안 옥수 리버젠,380,113.52,,,561,15
15,11200,,2025-11-01,2005,신규,26.02~28.02,금호동3가,"70,000",금호1차푸르지오,0,84.92,,,917,8
16,11200,,2025-11-01,2000,신규,25.12~27.12,행당동,"5,000",대림e-편한세상,240,84.87,,,347,14
17,11200,,2025-11-01,2003,신규,25.12~27.12,금호동4가,"75,000",롯데,0,84.99,,,1250,13
18,11200,,2025-11-01,2016,신규,25.11~27.11,하왕십리동,"75,000",센트라스,80,84.96,,,1070,12
19,11200,,2025-11-01,1989,갱신,26.02~28.02,사근동,"40,950",중앙하이츠,0,71.85,"39,000",,199,1
20,11200,,2025-11-01,1983,신규,25.11~27.11,성수동1가,"4,000",동아,130,53.14,,,656-320,6
21,11200,,2025-11-01,2017,갱신,26.01~28.01,하왕십리동,"54,000",왕십리자이,120,84.99,"50,000",120,1071,9
22,11200,,2025-11-01,1996,신규,25.12~27.12,하왕십리동,"10,000",무학현대,170,84.495,,,992,2
23,11200,,2025-11-01,2001,신규,26.02~28.02,금호동4가,"10,000",대우,250,84.71,,,800,17
24,11200,,2025-11-01,1995,신규,25.11~27.11,행당동,"10,000",신동아,145,59.97,,,344,8
25,11200,사용,2025-11-01,2016,갱신,25.11~27.12,옥수동,"60,000",옥수파크힐스101동~116동,150,84.3,"60,000",150,528,16
26,11200,,2025-11-01,2017,신규,26.01~28.01,하왕십리동,"10,000",왕십리자이,240,59.99,,,1071,15
