,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11710,,2025-11-01,2007,신규,26.01~27.03,잠실동,"60,000",트리지움,138,84.83,,,35,22
1,11710,,2025-11-01,2012,신규,26.01~28.01,송파동,"25,000",래미안송파파인탑,240,64.66,,,243,22
2,11710,,2025-11-01,2004,신규,25.11~27.11,가락동,"2,000",한화오벨리스크,75,25.32,,,78-1,21
3,11710,사용,2025-11-01,1988,갱신,25.12~27.12,방이동,"78,000",올림픽선수기자촌1단지,0,100.82,"75,000",,89,11
4,11710,,2025-11-01,2007,신규,26.01~28.01,잠실동,"60,000",트리지움,220,84.83,,,35,17
5,11710,,2025-11-01,1989,신규,25.11~27.11,문정동,"3,000",문정시영,110,39.69,,,145,13
6,11710,사용,2025-11-01,2008,갱신,25.12~27.12,잠실동,"50,000",잠실엘스,240,84.8,"50,000",240,19,22
7,11710,,2025-11-01,1985,갱신,26.01~28.01,오금동,"63,000",우창,24,109.72,"60,000",,164,11
8,11710,사용,2025-11-01,2008,갱신,25.12~27.12,잠실동,"30,000",잠실엘스,320,84.8,"30,000",300,19,14
9,11710,,2025-11-01,2018,신규,25.11~27.11,가락동,"10,000",헬리오시티,450,84.95,,,913,9
10,11710,,2025-11-01,2018,신규,25.11~27.11,가락동,"50,000",헬리오시티,200,59.96,,,913,13
11,11710,사용,2025-11-01,2021,갱신,26.01~28.01,거여동,"65,000",송파시그니처롯데캐슬,0,59.98,"62,000",,697,17
12,11710,,2025-11-01,1997,신규,25.12~27.12,가락동,"66,150",가락(1차)쌍용아파트,0,84.69,,,140,9
13,11710,사용,2025-11-01,1988,갱신,25.12~27.12,오금동,"5,250",상아2차아파트,115,45.77,"5,000",110,165,5
14,11710,,2025-11-01,2013,갱신,26.02~28.02,장지동,"74,000",위례24단지(꿈에그린),0,59.63,"66,000",,901,4
15,11710,,2025-11-01,2004,신규,26.01~28.01,가락동,"75,000",송파동부쎈트레빌,80,84.98,,,478,2
16,11710,사용,2025-11-01,2016,갱신,25.11~27.11,문정동,"84,000",파크하비오,0,84.9648,"80,000",,618,5
17,11710,사용,2025-11-01,2011,갱신,25.11~27.11,마천동,"15,000",송파파크데일2단지,139,84.86,"15,000",130,607,2
18,11710,,2025-11-01,2019,갱신,26.01~28.01,풍납동,"95,000",잠실올림픽공원아이파크,0,84.99,"76,650",,514,1
19,11710,,2025-11-01,2007,갱신,25.11~27.10,장지동,"15,857",송파파인타운10단지,0,59.95,"15,786",,856,8
20,11710,,2025-11-01,2008,신규,26.02~28.02,잠실동,"125,000",리센츠,0,84.99,,,22,10
21,11710,,2025-11-01,1978,신규,25.12~27.12,잠실동,"50,000",주공아파트 5단지,0,81.75,,,27,7
22,11710,,2025-11-01,1988,신규,26.01~28.01,방이동,"80,000",올림픽선수기자촌2단지,120,126.18,,,89,5
23,11710,,2025-11-01,2001,신규,25.12~27.12,가락동,"40,000",동부센트레빌,170,115.93,,,95,23
24,11710,,2025-11-01,2016,갱신,26.01~28.01,장지동,"53,500",송파와이즈더샵,160,97.0896,"53,500",105,895,12
25,11710,사용,2025-11-01,1985,갱신,26.01~28.01,송파동,"65,100",미성맨션,0,116.94,"62,000",,161,12
26,11710,,2025-11-01,2007,신규,25.12~27.12,잠실동,"118,000",트리지움,0,84.83,,,35,18
