,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11560,,2025-11-01,1996,신규,25.12~27.12,양평동1가,"67,000",한신공영,0,84.91,,,14-1,9
1,11560,,2025-11-01,2020,신규,25.12~26.12,영등포동1가,"2,000",여의도더리브스타일,80,14.8376,,,94-2,10
2,11560,,2025-11-01,2002,신규,26.01~28.01,영등포동,"60,000",영등포푸르지오,0,84.84,,,647,7
3,11560,사용,2025-11-01,2020,갱신,25.11~27.11,신길동,"80,000",힐스테이트클래시안,0,84.86,"78,000",,4969,23
4,11560,,2025-11-01,2023,신규,25.11~27.10,여의도동,"180,000",브라이튼여의도,0,132.5963,,,525,37
5,11560,,2025-11-01,2015,신규,26.01~28.01,신길동,"75,000",래미안영등포프레비뉴,0,84.98,,,4945,2
6,11560,,2025-11-01,2020,신규,26.01~28.01,대림동,"70,000",e편한세상영등포아델포레,0,84.9571,,,1127,9
7,11560,,2025-11-01,2020,신규,26.02~27.02,당산동5가,"115,000",당산센트럴아이파크,0,84.98,,,43,25
8,11560,,2025-11-01,1988,신규,26.01~28.01,문래동3가,"55,000",문래공원한신,0,79.46,,,77-2,8
9,11560,,2025-11-01,1982,신규,25.12~27.12,양평동1가,"12,000",신동아,90,50.81,,,20,7
10,11560,,2025-11-01,2025,신규,25.11~26.11,당산동3가,"2,000",리마크빌당산,166,26.96,,,567,2
11,11560,사용,2025-11-01,2020,갱신,25.12~27.12,대림동,"59,850",e편한세상영등포아델포레,0,59.9792,"57,000",,1127,17
12,11560,,2025-11-01,1992,신규,26.01~28.01,대림동,"45,000",현대2,0,84.74,,,785,19
13,11560,,2025-11-01,2000,신규,26.02~28.02,양평동3가,"58,000",양평현대6차,0,59.98,,,101,18
14,11560,,2025-11-01,1986,신규,26.01~28.01,신길동,"40,000",우성2,0,84.47,,,4518,15
15,11560,,2025-11-01,1992,신규,26.01~28.01,대림동,"42,000",현대1,0,84.75,,,785-1,12
16,11560,,2025-11-01,1986,신규,25.12~27.12,신길동,"10,000",우성1,110,64.4,,,365,8
17,11560,,2025-11-01,1984,신규,25.12~27.12,양평동4가,"12,000",약산,25,39.99,,,160-2,5
18,11560,사용,2025-11-01,2000,갱신,25.12~27.12,양평동3가,"52,500",양평현대6차,0,59.98,"50,000",,101,15
