,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11380,,2025-11-01,1996,신규,25.11~27.11,신사동,"8,000",신성수정,120,84.8,,,358,1
1,11380,,2025-11-01,2021,신규,26.01~28.01,수색동,"58,000",DMC롯데캐슬더퍼스트,0,59.96,,,417,4
2,11380,,2025-11-01,2004,신규,26.01~28.01,불광동,"58,000",북한산현대홈타운,0,84.9956,,,633,15
3,11380,,2025-11-01,2011,갱신,25.11~27.10,응암동,"41,200",백련산힐스테이트2차,0,59.95,"35,700",,760,13
4,11380,,2025-11-01,2004,갱신,25.11~27.11,신사동,"33,600",대주파크빌,0,59.99,"32,000",,368,3
5,11380,,2025-11-01,2009,신규,26.01~28.01,진관동,"58,000",마고정3단지센트레빌(301~309동)BL2-11,0,84.17,,,106,3
6,11380,사용,2025-11-01,2022,갱신,25.11~27.11,응암동,"55,000",e편한세상백련산,0,84.31,"54,000",,771,13
7,11380,,2025-11-01,2013,신규,25.11~27.10,대조동,"1,000",대덕타워,63,14.66,,,185-71,8
8,11380,,2025-11-01,2004,갱신,25.12~26.12,불광동,"43,000",북한산현대홈타운,0,59.9765,"38,000",,633,9
9,11380,,2025-11-01,2020,신규,25.12~27.12,응암동,"50,000",백련산에스케이뷰아이파크,0,59.8545,,,767,21
10,11380,,2025-11-01,2018,갱신,25.12~27.12,갈현동,"10,000",유호루하스,10,17.098,"11,500",,548,5
11,11380,,2025-11-01,1988,갱신,26.01~27.01,불광동,"35,000",라이프미성,0,66.7,"30,000",,248,10
12,11380,,2025-11-01,2023,신규,26.01~28.01,수색동,"70,000",DMCSKVIEW,0,59.9865,,,418,15
13,11380,,2025-11-01,2018,갱신,25.12~27.12,응암동,"40,700",백련산힐스테이트4차,0,59.98,"37,800",,764,17
14,11380,사용,2025-11-01,2023,갱신,26.02~28.02,수색동,"99,200",DMCSKVIEW,0,112.8737,"94,500",,418,5
15,11380,,2025-11-01,2019,신규,25.11~27.11,불광동,"5,000",베로니스,65,23.71,,,486-17,11
