,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11140,사용,2025-11-01,2018,갱신,25.12~27.12,만리동2가,"82,950",서울역한라비발디센트럴,0,84.9774,"79,000",,288,5
1,11140,,2025-11-01,2021,신규,25.12~27.12,신당동,"20,000",약수역더시티,5,18.86,,,857,4
2,11140,,2025-11-01,2018,갱신,25.11~26.11,흥인동,"19,000",위더스하임,23,16.18,"18,000",23,142-1,9
3,11140,사용,2025-11-01,1999,갱신,26.01~28.01,신당동,"73,500",삼성,0,114.91,"70,000",,843,15
4,11140,사용,2025-11-01,2017,갱신,25.12~27.12,만리동2가,"84,000",서울역센트럴자이,0,84.972,"80,000",,273,2
5,11140,,2025-11-01,1993,갱신,25.12~26.12,신당동,"23,000",현대,64,83.97,"23,000",57,840,5
6,11140,,2025-11-01,2001,갱신,26.01~28.01,중림동,"63,900",삼성사이버빌리지,0,84.93,"60,900",,200,5
7,11140,,2025-11-01,1993,갱신,25.12~27.12,신당동,"45,000",현대,0,66.6,"17,000",65,840,9
8,11140,,2025-11-01,2023,신규,25.12~27.12,입정동,"69,000",힐스테이트세운센트럴1단지,0,49.558,,,277,16
9,11140,사용,2025-11-01,2002,갱신,26.01~28.01,신당동,"52,500",남산타운,0,59.94,"50,000",,844,5
10,11140,,2025-11-01,2018,신규,25.12~26.12,충무로5가,"1,000",충무로헤센스마트,100,19.76,,,90,2
11,11140,,2025-11-01,2020,신규,25.12~27.12,정동,"28,000",삼정아트테라스정동,10,17.7034,,,37,6
12,11140,사용,2025-11-03,1993,갱신,25.11~27.11,신당동,"55,500",현대,0,122.275,"53,000",,840,2
13,11140,,2025-11-03,2002,신규,25.12~27.12,신당동,"54,000",남산타운,0,59.94,,,844,1
14,11140,,2025-11-03,2017,신규,25.12~27.12,만리동2가,"35,000",서울역센트럴자이,250,84.972,,,273,10
15,11140,사용,2025-11-03,2002,갱신,25.12~27.12,신당동,"3,000",남산타운,139,59.94,"3,000",132,844,10
16,11140,사용,2025-11-03,2002,갱신,25.11~27.11,신당동,"10,000",남산타운,212,84.88,"10,000",200,844,13
17,11140,,2025-11-03,2002,신규,25.12~27.12,신당동,"52,000",남산타운,0,84.88,,,844,1
18,11140,,2025-11-03,2002,신규,25.12~27.12,신당동,"38,000",남산타운,100,84.88,,,844,13
19,11140,,2025-11-03,2017,신규,25.12~27.12,만리동2가,"82,000",서울역센트럴자이,0,84.972,,,273,5
20,11140,,2025-11-04,2013,갱신,25.11~27.11,황학동,"1,000",청계우성아트윈,55,16.1,"3,000",35,1729,6
21,11140,,2025-11-04,2016,갱신,25.12~26.12,흥인동,"1,000",동대문솔하임,97,17.67,"1,000",110,8,18
22,11140,,2025-11-04,2023,신규,25.12~27.12,광희동1가,"11,240",광희동1가166외7필지청년주택신축,40,18.48,,,166,20
