,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11260,,2025-11-01,1996,신규,25.12~27.12,신내동,"4,000",신내9진흥,100,49.82,,,657,11
1,11260,,2025-11-01,1995,갱신,25.11~27.11,신내동,"39,000",화성.두산아파트,0,66.96,"34,000",,656,10
2,11260,사용,2025-11-01,2010,갱신,25.12~27.12,신내동,"39,900",데시앙,0,59.99,"38,000",,317,9
3,11260,,2025-11-01,1997,신규,26.01~28.01,중화동,"10,000",한신아파트상가동유치원동(103~109),145,84.03,,,450,20
4,11260,,2025-11-01,2019,신규,26.01~28.01,면목동,"63,000",한양수자인사가정파크,0,84.989,,,1543,1
5,11260,,2025-11-01,1990,,,면목동,"20,000",용마한신,67,59.22,,,1077-1,13
6,11260,,2025-11-01,2020,,,면목동,"65,000",사가정센트럴아이파크,0,59.92,,,1545,26
7,11260,,2025-11-01,1997,신규,25.11~27.11,신내동,"5,000",동성3,110,59.4,,,618,1
8,11260,,2025-11-01,2000,신규,25.11~27.11,면목동,"39,000",두산5,0,60,,,1522-1,18
9,11260,사용,2025-11-01,2013,갱신,25.12~27.12,신내동,"40,000",신내 데시앙포레,0,84.65,"40,000",,817,7
10,11260,,2025-11-01,2018,신규,26.01~28.01,상봉동,"1,000",상봉어반뷰,67,18.45,,,113,16
11,11260,사용,2025-11-01,1996,갱신,25.11~27.11,신내동,"22,050",신내6대주,0,39.84,"21,000",,650,3
12,11260,,2025-11-01,1998,신규,26.01~28.01,면목동,"48,000",신우,0,84.66,,,1518,12
13,11260,,2025-11-01,2007,신규,25.11~27.11,중화동,"34,650",미영리치타운,30,84.71,,,207-14,5
14,11260,,2025-11-01,2013,신규,25.12~27.12,면목동,500,신영,50,14.43,,,538,8
15,11260,,2025-11-01,2021,신규,25.11~27.11,망우동,"52,000",신내역금강펜테리움센트럴파크,0,79.707,,,610,7
16,11260,,2025-11-01,2022,신규,25.12~27.12,망우동,"20,000",중랑숲시티프라디움,115,55.95,,,620,6
17,11260,,2025-11-02,2010,신규,25.12~27.12,묵동,"68,000",묵동자이(1단지),0,111.32,,,164-4,21
18,11260,,2025-11-02,1987,신규,25.11~27.11,면목동,"1,000",면목한신,90,44.5,,,193-1,4
19,11260,사용,2025-11-02,2000,갱신,25.11~27.11,면목동,"42,000",두산5,0,59.97,"40,000",,1522-1,10
20,11260,,2025-11-03,2003,신규,26.01~28.01,상봉동,"48,000",한일써너스빌,0,84.642,,,81-5,4
21,11260,,2025-11-03,1996,신규,25.11~27.11,신내동,"10,000",건영2차,65,57.3,,,785,3
22,11260,,2025-11-03,1996,신규,26.01~28.01,상봉동,"45,000",건영2차아파트,0,84.96,,,63,12
23,11260,,2025-11-03,1995,신규,25.11~27.11,신내동,"26,000",진로아파트,0,134.37,,,654,12
24,11260,,2025-11-03,1995,신규,26.01~27.01,신내동,"30,000",진로아파트,70,101.86,,,654,11
25,11260,,2025-11-03,2004,갱신,25.11~27.11,면목동,"35,000",온세솔내움,0,69.6946,"35,000",,1524,5
26,11260,,2025-11-03,2000,신규,25.12~27.12,묵동,"45,000",신안2,0,84.924,,,382,5
27,11260,,2025-11-03,2019,신규,25.11~28.03,상봉동,100,솔렌시아5,45,21.28,,,84-11,9
28,11260,,2025-11-03,2025,신규,25.12~27.12,상봉동,"16,200",와이센트럴시티상봉,60,36.61,,,504,16
29,11260,,2025-11-03,2020,신규,25.12~27.12,면목동,"15,000",사가정센트럴아이파크,200,84.956,,,1545,18
30,11260,,2025-11-03,2020,,,면목동,"15,000",사가정센트럴아이파크,200,84.956,,,1545,18
31,11260,,2025-11-03,2025,신규,25.12~27.12,상봉동,"5,800",와이센트럴시티상봉,52,20.06,,,504,22
32,11260,,2025-11-03,2021,신규,25.11~28.03,상봉동,100,상봉힐스테이,28,14.47,,,106,4
33,11260,,2025-11-03,2013,신규,26.01~28.01,신내동,"25,000",신내 데시앙포레,100,84.91,,,817,8
34,11260,,2025-11-03,2025,신규,25.12~27.12,상봉동,"9,400",와이센트럴시티상봉,82,34.52,,,504,4
35,11260,,2025-11-03,2004,신규,26.01~28.01,묵동,"47,000",브라운스톤태릉,0,84.7094,,,387,19
36,11260,,2025-11-03,1994,신규,25.11~27.11,면목동,"43,000",현대,0,72.63,,,1502,6
37,11260,,2025-11-04,1987,신규,26.01~28.01,면목동,"25,000",면목한신,0,44.5,,,193-1,4
38,11260,,2025-11-04,2012,신규,26.01~28.01,망우동,"55,000",중랑숲리가,0,110.886,,,583,4
39,11260,,2025-11-04,2004,갱신,25.11~27.10,묵동,"63,000",브라운스톤태릉,0,101.9481,"52,000",,387,2
40,11260,,2025-11-04,2013,신규,25.11~27.11,면목동,500,신영,50,14.43,,,538,4
41,11260,사용,2025-11-04,2004,갱신,26.01~28.01,묵동,"33,000",신도브래뉴,0,51.86,"33,000",,169-10,13
42,11260,,2025-11-04,1993,갱신,25.11~27.11,신내동,"43,000",동성1,0,84.08,"43,000",,397,2
43,11260,,2025-11-04,1996,신규,26.01~28.01,신내동,"30,000",신내9진흥,0,49.93,,,657,10
44,11260,,2025-11-04,2025,신규,25.12~27.12,상봉동,"9,100",와이센트럴시티상봉,53,20.06,,,504,12
45,11260,,2025-11-04,2021,신규,25.12~27.12,상봉동,"21,000",상봉힐스테이,0,14.75,,,106,9
46,11260,사용,2025-11-05,1993,갱신,26.01~28.01,신내동,"35,000",동성1,0,84.98,"35,000",,397,4
47,11260,,2025-11-05,2021,갱신,26.01~28.01,묵동,"4,140",칼튼테라스,30,16.8132,"4,140",29,176-39,12
48,11260,,2025-11-05,2019,신규,25.12~27.12,상봉동,"17,000",상봉베스트원,10,18.05,,,101-19,6
49,11260,,2025-11-05,2019,신규,25.12~27.12,상봉동,"2,000",상봉타워,75,15.525,,,102-57,16
50,11260,,2025-11-05,2005,갱신,25.12~27.12,중화동,"42,000",태능에셈빌,0,84.843,"4,000",,314-1,6
51,11260,,2025-11-05,2021,갱신,26.01~28.01,묵동,"3,705",칼튼테라스,27,16.8132,"3,705",26,176-39,3
52,11260,,2025-11-05,2014,갱신,25.11~27.11,신내동,"40,000",신내우디안1단지,50,84.91,"44,300",,816,13
53,11260,,2025-11-05,2021,신규,26.01~28.01,망우동,"55,000",신내역금강펜테리움센트럴파크,0,84.9871,,,610,16
54,11260,,2025-11-05,2025,신규,25.12~27.12,상봉동,"3,800",와이센트럴시티상봉,60,20.06,,,504,16
55,11260,,2025-11-05,2025,신규,25.12~27.11,상봉동,"9,100",와이센트럴시티상봉,53,20.06,,,504,8
56,11260,,2025-11-05,2022,갱신,26.01~27.12,망우동,"9,088",LH서울양원1단지,33,44.55,"8,680",31,608,21
