,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11740,사용,2025-12-01,2008,갱신,26.01~28.01,암사동,"75,600",롯데캐슬퍼스트,0,84.98,"72,000",,414-2,7
1,11740,사용,2025-12-01,2002,갱신,25.12~27.12,암사동,"5,000",삼성광나루,127,59.94,"5,000",120,508,3
2,11740,,2025-12-01,2017,신규,26.01~28.01,천호동,"85,000",래미안강동팰리스,0,84.97,,,571,3
3,11740,,2025-12-01,2019,갱신,25.12~27.12,길동,"25,800",경지Arium,0,19.39,"26,000",,413-11,13
4,11740,,2025-12-01,2019,갱신,26.01~28.01,고덕동,"39,685",고덕그라시움,39,59.052,"39,700",30,693,2
5,11740,사용,2025-12-01,1983,갱신,26.01~28.01,명일동,"44,000",삼익그린2차,0,66.87,"42,000",,15,4
6,11740,,2025-12-01,2019,신규,26.01~28.01,고덕동,"10,000",고덕그라시움,270,59.028,,,693,6
7,11740,,2025-12-01,2011,갱신,26.02~28.02,고덕동,"85,000",고덕 아이파크,0,84.98,"72,000",,499,18
8,11740,,2025-12-01,2000,신규,26.01~28.01,천호동,"5,000",동아하이빌아파트,100,59.98,,,217-132,7
9,11740,사용,2025-12-01,2019,갱신,25.12~28.02,상일동,"52,500",고덕센트럴IPARK,0,74.99,"50,000",,513,6
10,11740,,2025-12-01,2019,신규,26.02~28.02,고덕동,"85,000",고덕그라시움,0,59.028,,,693,3
11,11740,,2025-12-01,2019,신규,26.01~28.01,고덕동,"50,000",고덕그라시움,160,73.873,,,693,12
12,11740,사용,2025-12-01,2013,갱신,25.12~27.12,길동,"7,000",한일시티타워(우성아트빌),155,104.62,"7,000",150,385-6,7
13,11740,,2025-12-01,2021,신규,25.12~28.01,상일동,"5,256",강동리엔파크11단지,21,17.97,,,36-3,8
14,11740,,2025-12-01,2011,신규,25.12~28.02,강일동,"52,560",고덕리엔파크2단지,0,114.97,,,717,10
15,11740,,2025-12-01,2021,신규,25.12~28.01,상일동,"5,256",강동리엔파크11단지,21,17.98,,,36-3,17
16,11740,,2025-12-01,2009,갱신,25.12~27.11,강일동,"3,052",강일리버파크3단지,24,39.9,"2,938",23,674,6
17,11740,사용,2025-12-01,2019,갱신,25.12~27.12,고덕동,"88,200",고덕그라시움,0,84.046,"84,000",,693,18
18,11740,,2025-12-01,1988,신규,25.12~27.12,둔촌동,"45,000",현대2,0,59.19,,,70-5,1
