,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11305,사용,2025-12-01,1991,갱신,26.02~28.02,번동,"20,000",주공4단지,0,44.89,"20,000",,234,6
1,11305,사용,2025-12-01,2004,갱신,25.12~27.12,미아동,"39,700",벽산라이브파크,0,84.89,"38,000",,1354,3
2,11305,,2025-12-01,2025,신규,26.01~28.01,수유동,"1,000",수유아름채,110,11.75,,,47-23,15
3,11305,,2025-12-01,1991,갱신,25.12~27.12,번동,"27,000",주공1단지,0,79.07,"25,000",,242,3
4,11305,,2025-12-01,2025,신규,25.12~27.12,수유동,"2,000",수유아름채,130,20.45,,,47-23,13
5,11305,,2025-12-01,1993,신규,26.02~28.02,수유동,"45,000",수유벽산1차,0,84.92,,,205,6
6,11305,,2025-12-01,2021,신규,25.12~27.12,미아동,"5,000",올집네스트미아2차(374-11),38,14.33,,,374-11,2
7,11305,,2025-12-01,2014,신규,26.01~26.12,미아동,500,푸르지오시티,60,18.6479,,,160-3,13
8,11305,,2025-12-02,2011,신규,26.02~28.02,미아동,"51,000",두산위브트레지움,0,59.82,,,811,10
9,11305,,2025-12-02,2001,신규,26.02~28.02,번동,"5,000",현대꿈에그린,100,84.66,,,271-2,3
10,11305,,2025-12-03,2006,신규,26.01~27.01,미아동,"4,500",미아동부센트레빌,38,59.96,,,474,5
11,11305,,2025-12-03,2014,갱신,26.01~28.01,미아동,"1,000",푸르지오시티,67,18.6479,700,65,160-3,12
12,11305,,2025-12-03,2004,신규,26.02~28.02,미아동,"10,000",에스케이북한산시티,160,84.71,,,1353,24
13,11305,,2025-12-03,2010,갱신,25.12~27.12,미아동,"1,000",래미안트리베라1단지,170,84.97,"10,000",135,813,15
14,11305,,2025-12-04,2010,신규,26.02~28.02,미아동,"59,000",송천센트레빌,0,59.818,,,461,3
15,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,925",꿈의숲해링턴플레이스,21,46.68,"9,853",,1369,11
16,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,863",꿈의숲해링턴플레이스,19,49.48,"10,495",,1369,10
17,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"11,183",꿈의숲해링턴플레이스,17,49.48,"10,651",,1369,3
18,11305,,2025-12-04,2014,갱신,25.12~26.12,미아동,"2,000",푸르지오시티,62,18.6479,"2,000",48,160-3,6
19,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,863",꿈의숲해링턴플레이스,19,49.48,"10,495",,1369,1
20,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,199",꿈의숲해링턴플레이스,18,46.68,"9,853",,1369,10
21,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,863",꿈의숲해링턴플레이스,19,49.48,"10,495",,1369,7
22,11305,사용,2025-12-04,2010,갱신,25.12~27.12,미아동,"42,000",래미안트리베라1단지,0,59.6,"40,000",,813,2
23,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,199",꿈의숲해링턴플레이스,18,46.68,"9,853",,1369,4
24,11305,,2025-12-04,2022,신규,26.02~28.02,수유동,"60,000",칸타빌수유팰리스,0,78.1719,,,741,4
25,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,863",꿈의숲해링턴플레이스,19,49.48,"10,495",,1369,8
26,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"10,199",꿈의숲해링턴플레이스,18,46.68,"9,853",,1369,1
27,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"9,543",꿈의숲해링턴플레이스,25,49.48,"9,175",,1369,7
28,11305,,2025-12-04,2025,신규,26.01~28.01,미아동,"48,000",한화포레나미아,0,53.985,,,705-1,14
29,11305,,2025-12-04,2019,갱신,26.01~27.12,미아동,"9,678",꿈의숲해링턴플레이스,17,46.68,"9,350",,1369,6
30,11305,,2025-12-05,2019,갱신,26.01~27.12,미아동,"11,019",꿈의숲해링턴플레이스,18,49.48,"10,651",,1369,6
31,11305,,2025-12-05,2017,신규,26.02~28.02,미아동,"30,000",꿈의숲롯데캐슬,80,59.98,,,4,4
32,11305,,2025-12-05,2010,신규,26.02~28.02,미아동,"55,000",래미안트리베라1단지,0,84.97,,,813,8
