,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11500,사용,2025-12-01,1995,갱신,26.02~28.02,등촌동,"63,000",동성,0,101.88,"60,000",,691-1,13
1,11500,,2025-12-01,2005,신규,26.02~28.02,내발산동,"77,000",우장산힐스테이트,0,84.98,,,657,5
2,11500,사용,2025-12-01,1994,갱신,26.01~28.01,염창동,"10,000",현대1,147,84.34,"10,000",140,288,6
3,11500,,2025-12-01,2003,신규,26.02~28.02,가양동,"57,000",보광드림타운,0,84.22,,,448-10,1
4,11500,,2025-12-01,2008,신규,25.12~26.08,화곡동,"75,000","우장산아이파크,이편한세상",0,84.97,,,1159,14
5,11500,사용,2025-12-01,1995,갱신,26.02~28.02,등촌동,"63,000",동성,0,101.88,"60,000",,691-1,13
6,11500,,2025-12-01,2008,갱신,25.12~27.12,화곡동,"42,800","우장산아이파크,이편한세상",60,59.98,"40,000",60,1159,20
7,11500,,2025-12-01,2008,신규,26.02~28.02,화곡동,"20,000","우장산아이파크,이편한세상",240,84.97,,,1159,14
8,11500,,2025-12-01,2021,갱신,26.01~28.01,화곡동,"8,320",우장산역해링턴타워,57,43.04,"8,320",57,1170,12
9,11500,,2025-12-01,1994,신규,25.12~27.12,방화동,"7,000",청솔,70,39.36,,,832,7
10,11500,,2025-12-01,2022,신규,26.02~28.02,등촌동,"67,000",가양역두산위브,0,59.98,,,726,15
11,11500,,2025-12-01,1995,신규,26.02~28.02,등촌동,"33,000",주공5,40,58.14,,,695,6
12,11500,,2025-12-01,1996,신규,25.12~26.07,염창동,"39,000",현대3,0,59.92,,,291,1
13,11500,,2025-12-01,1995,신규,26.01~28.01,등촌동,"45,000",주공10,0,58.14,,,702,13
14,11500,,2025-12-01,2008,신규,26.02~28.02,화곡동,"65,000","우장산아이파크,이편한세상",0,59.98,,,1159,13
15,11500,,2025-12-01,2022,신규,26.02~28.02,화곡동,"20,000",우장산숲아이파크,180,59.9969,,,1173,2
16,11500,,2025-12-01,2015,신규,26.01~28.01,화곡동,"69,000",강서힐스테이트,0,59.99,,,1165,6
17,11500,,2025-12-01,1997,갱신,25.12~27.02,등촌동,"43,000",삼성한사랑1,0,59.73,"43,000",,632-4,10
18,11500,,2025-12-01,2021,갱신,26.01~28.01,화곡동,"8,320",우장산역해링턴타워,57,43.04,"8,320",57,1170,12
19,11500,,2025-12-01,1997,신규,26.01~28.01,등촌동,"41,000",삼성한사랑1,0,59.73,,,632-4,12
20,11500,사용,2025-12-01,1993,갱신,26.01~28.01,방화동,"19,950",방화그린,0,33.6,"19,000",,839,6
21,11500,,2025-12-01,1993,,,방화동,"19,950",방화그린,0,33.6,,,839,6
22,11500,,2025-12-01,2015,신규,25.12~27.12,화곡동,"80,000",강서힐스테이트,0,84.99,,,1165,15
23,11500,,2025-12-01,2021,신규,25.12~27.12,화곡동,"8,320",우장산역해링턴타워,57,43.04,,,1170,12
24,11500,,2025-12-01,1992,갱신,26.02~28.02,가양동,"35,000",가양6단지,0,49.5,"27,000",,1485,3
25,11500,,2025-12-01,1997,갱신,26.01~27.01,염창동,"60,000",관음삼성,0,114.9,"60,000",,268,16
26,11500,,2025-12-01,2015,신규,26.02~28.01,화곡동,"105,000",강서힐스테이트,0,128.81,,,1165,11
27,11500,,2025-12-01,2004,신규,26.01~28.01,등촌동,"62,500",등촌동아이파크,0,84.9958,,,715,12
