,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11215,,2025-12-01,1989,신규,25.12~27.11,광장동,"65,000",삼성광장2,0,69.06,,,453-1,6
1,11215,,2025-12-01,2002,신규,25.12~27.12,자양동,"73,000",자양9차현대홈타운,0,83.58,,,790,11
2,11215,사용,2025-12-01,1999,갱신,26.02~28.02,자양동,"60,000",대동,0,84.65,"60,000",,784-1,4
3,11215,,2025-12-01,2025,신규,26.01~28.01,중곡동,"9,000",백악관타워,36,18.5334,,,93-13,10
4,11215,,2025-12-01,1978,신규,26.02~28.02,광장동,"100,000",워커힐,0,226.45,,,145-8,4
5,11215,,2025-12-01,2007,신규,26.01~28.01,자양동,"95,000",이튼타워리버3차,0,84.96,,,855,19
6,11215,사용,2025-12-01,1993,갱신,25.12~27.12,자양동,"39,700",한강현대,63,83.45,"39,000",60,829,3
7,11215,,2025-12-01,1996,갱신,25.12~27.12,군자동,"31,000",일성파크,0,79.28,"26,000",,99,18
8,11215,,2025-12-01,2001,신규,26.01~28.01,구의동,"93,000",삼성쉐르빌,0,132.77,,,199-18,19
9,11215,,2025-12-01,1985,신규,25.12~27.11,광장동,"70,000",극동1,0,84.55,,,218-1,9
10,11215,사용,2025-12-01,1999,갱신,25.12~27.12,자양동,"58,000",자양삼성,0,59.76,"58,000",,787,6
11,11215,,2025-12-01,1997,신규,25.12~27.12,구의동,"49,000",현대프라임,0,59.82,,,631-1,17
12,11215,사용,2025-12-01,2021,갱신,25.12~27.12,자양동,"28,000",자양호반써밋,130,40.2751,"35,000",92,861,7
13,11215,,2025-12-01,1996,신규,26.02~28.02,구의동,"65,000",구의현대2단지,60,84.91,,,611,14
14,11215,,2025-12-02,2012,신규,25.12~26.12,중곡동,"1,000",욱현하이브Ⅲ,65,15.69,,,699,3
15,11215,,2025-12-02,2012,신규,26.01~28.01,구의동,"36,000",리치캐슬,0,59.87,,,27-10,3
16,11215,,2025-12-02,1987,갱신,25.12~27.12,광장동,"42,500",워커힐푸르지오,100,65.63,"40,000",100,148-4,4
17,11215,사용,2025-12-02,1993,갱신,25.12~27.12,자양동,"44,100",자양동현대,0,83.11,"42,000",,645-5,3
18,11215,,2025-12-02,1989,신규,26.01~28.01,자양동,"5,000",우성2,155,51.57,,,520-2,2
19,11215,,2025-12-02,1996,갱신,26.01~28.01,광장동,"49,770",청구,0,59.95,"47,400",,566,16
20,11215,,2025-12-02,1989,신규,26.02~28.02,광장동,"65,000",현대5,0,74.88,,,554-7,14
21,11215,,2025-12-03,1989,갱신,25.12~28.04,광장동,"60,000",극동2,0,75.55,"60,000",,218-1,2
22,11215,,2025-12-03,2007,신규,26.02~28.02,자양동,"95,000",이튼타워리버3차,0,84.98,,,855,14
23,11215,,2025-12-03,2001,신규,26.03~28.03,구의동,"100,000",삼성쉐르빌,0,132.08,,,199-18,6
24,11215,,2025-12-03,1990,신규,26.02~28.02,광장동,"30,000",현대3,120,59.67,,,484,15
25,11215,,2025-12-03,1998,갱신,26.02~28.02,자양동,"67,200",자양우성7,60,84.93,"67,200",30,783-1,12
26,11215,,2025-12-03,1997,신규,26.02~28.02,구의동,"57,000",현대프라임,0,59.82,,,631-1,16
27,11215,,2025-12-03,1999,신규,25.12~27.12,자양동,"40,000",대동,60,84.65,,,784-1,15
28,11215,,2025-12-03,2006,신규,26.02~28.02,자양동,"90,000",이튼타워리버2차,0,84.73,,,507-6,6
29,11215,,2025-12-03,2007,갱신,26.02~28.02,자양동,"140,000",더샵스타시티,170,163.53,"140,000",150,227-7,26
30,11215,,2025-12-03,1999,신규,25.12~27.12,화양동,500,화양타워,50,16.83,,,110-37,2
31,11215,,2025-12-03,1987,갱신,26.01~28.01,광장동,"64,000",워커힐푸르지오,0,69,"55,000",30,148-4,9
