,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11530,,2025-12-01,2009,신규,26.02~28.02,고척동,"50,000",고척LIG리가1차,0,84.98,,,340,9
1,11530,,2025-12-01,2004,신규,26.01~28.01,구로동,"20,000",신도림LG자이,170,84.952,,,42,8
2,11530,,2025-12-01,2018,갱신,25.12~28.01,오류동,"15,140",오류동행복주택,19,36.85,"10,440",46,357,9
3,11530,,2025-12-01,2009,신규,26.01~28.01,고척동,"53,000",고척LIG리가2차,0,84.98,,,340-1,10
4,11530,,2025-12-01,2018,갱신,25.12~28.01,오류동,"15,140",오류동행복주택,19,36.85,"10,440",46,357,12
5,11530,,2025-12-01,1995,신규,26.01~28.01,구로동,"5,000",우성(1058),120,59.34,,,1058,9
6,11530,,2025-12-01,2011,갱신,26.01~27.12,천왕동,"42,840",천왕이펜하우스3단지,0,114.85,"40,800",,278,13
7,11530,,2025-12-01,2019,,25.12~27.11,항동,"4,624",하버라인11단지,15,29.69,,,243,8
8,11530,,2025-12-01,1997,신규,25.12~27.12,구로동,"5,000",(741-7),60,39,,,741-7,3
9,11530,,2025-12-01,2025,신규,26.01~28.01,개봉동,"8,400",세이지움개봉,32,18.8878,,,503,20
10,11530,,2025-12-01,2010,신규,26.02~28.02,온수동,"5,000",온수힐스테이트,180,121.28,,,155,4
11,11530,,2025-12-01,2006,신규,26.02~28.02,개봉동,"55,000",개봉동현대아이파크,0,84.98,,,489,12
12,11530,사용,2025-12-01,1987,갱신,26.04~28.04,구로동,"34,650",중앙하이츠,0,79.97,"33,000",,685-124,15
13,11530,,2025-12-01,2011,갱신,26.01~27.12,천왕동,"36,750",천왕이펜하우스5단지,0,84.96,"35,000",,277,5
14,11530,,2025-12-01,1997,신규,25.12~27.12,구로동,"5,000",(741-7),60,39,,,741-7,3
15,11530,,2025-12-01,2016,신규,25.12~26.12,구로동,"1,000",파인마루오피스텔,63,15.75,,,98-12,12
16,11530,,2025-12-01,2015,신규,26.01~27.01,신도림동,"2,000",신도림크라운빌,72,20.41,,,694,3
17,11530,,2025-12-01,2019,신규,26.01~28.01,항동,"43,000",하버라인2단지,0,59.86,,,237,9
18,11530,,2025-12-01,2023,신규,25.12~26.12,구로동,"1,000",케이디타워,105,16.67,,,43-10,15
