,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11590,사용,2025-12-01,2004,갱신,26.01~28.01,상도동,"2,500",래미안상도3차,230,59.97,"2,500",220,431,6
1,11590,,2025-12-01,2004,신규,26.02~28.02,본동,"58,000",한신휴플러스,20,84.84,,,487,6
2,11590,,2025-12-01,2013,갱신,25.12~27.12,사당동,"75,000",이수역리가,0,84.9827,"70,000",,1157,11
3,11590,,2025-12-01,2010,신규,26.03~28.03,신대방동,"73,000",보라매e편한세상,0,84.94,,,720,4
4,11590,,2025-12-01,2012,신규,25.12~26.12,노량진동,"8,400",필하우스(OH빌딩),0,12.0378,,,56-14,7
5,11590,,2025-12-01,1993,신규,26.01~28.01,본동,"59,000",신동아,0,104.7,,,481,5
6,11590,사용,2025-12-01,2006,갱신,26.02~28.02,신대방동,"70,000",동작상떼빌,13,128.61,"70,000",,719,12
7,11590,,2025-12-01,1997,갱신,26.01~28.01,노량진동,"5,000",건영(103동-106동),84,59.83,"5,000",80,324,1
8,11590,,2025-12-01,1993,갱신,25.12~27.12,사당동,"67,000",사당우성3,0,118.25,"63,000",,105,5
9,11590,사용,2025-12-01,1999,갱신,25.12~27.12,사당동,"42,000",삼호그린,0,59.96,"40,000",,1138,13
10,11590,,2025-12-01,2004,신규,25.12~27.12,상도동,"74,500",래미안상도3차,0,84.96,,,431,13
11,11590,사용,2025-12-01,2007,갱신,25.12~27.12,상도동,"56,000",포스코더샵,15,59.99,"56,000",,521,7
12,11590,,2025-12-01,2012,신규,26.01~27.01,대방동,"1,000",아데나339,63,16.54,,,515,5
13,11590,,2025-12-01,2004,신규,26.01~28.01,상도동,"70,000",래미안상도3차,0,84.96,,,431,2
14,11590,,2025-12-02,2000,갱신,25.12~26.12,본동,"44,500",유원강변,13,59.79,"44,500",,482,2
15,11590,,2025-12-02,1993,신규,25.12~27.12,사당동,"5,000",신동아4,140,46.75,,,105,6
16,11590,,2025-12-02,2022,신규,26.02~28.02,신대방동,"68,200",동작협성휴포레시그니처,0,84.9464,,,686-48,23
17,11590,사용,2025-12-02,2003,갱신,26.02~28.02,신대방동,"40,000",신대방경남,96,112.05,"40,000",84,712,10
18,11590,,2025-12-02,2012,갱신,25.12~27.12,흑석동,"65,000",흑석한강푸르지오,50,84.98,"65,000",,336,11
19,11590,,2025-12-02,2007,신규,26.02~28.02,상도동,"5,000",포스코더샵,245,59.99,,,521,11
20,11590,,2025-12-02,2015,신규,26.01~28.01,사당동,"12,800",사당휴브리지(206-127),17,12.42,,,206-127,7
21,11590,,2025-12-02,2013,신규,26.02~28.02,상도동,"112,000",힐스테이트 상도 프레스티지,0,120.004,,,533,1
22,11590,,2025-12-02,1993,신규,26.02~28.02,본동,"35,000",신동아,0,46.75,,,481,3
