,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11410,,2025-12-01,2015,갱신,26.01~28.01,남가좌동,"60,637",DMC파크뷰자이2단지,0,84.909,"60,637",,385,16
1,11410,,2025-12-01,1999,신규,26.02~28.02,대현동,"45,000",신촌럭키,0,59.7,,,144,6
2,11410,,2025-12-01,2020,갱신,26.01~28.01,충정로3가,"11,280",더스타일하우스디센트럴,75,39.8291,"11,280",72,480,5
3,11410,,2025-12-01,1998,신규,25.12~26.01,현저동,"84,000",독립문극동(200-0),0,114.51,,,200,2
4,11410,,2025-12-01,2020,갱신,26.01~28.01,홍은동,"49,195",북한산두산위브,0,84.98,"46,855",,467,3
5,11410,,2025-12-01,2015,신규,26.02~28.02,남가좌동,"63,000",DMC파크뷰자이3단지,0,59.981,,,385,1
6,11410,,2025-12-01,1999,신규,26.01~28.01,북아현동,"4,000",두산,160,59.96,,,1009,16
7,11410,,2025-12-01,2005,갱신,25.12~27.12,남가좌동,"50,000",래미안남가좌2차,20,59.788,"50,000",,379,1
8,11410,,2025-12-01,2018,신규,26.01~27.02,남가좌동,"10,000",DMC센트럴아이파크,250,59.91,,,388,16
9,11410,,2025-12-01,2018,신규,26.02~28.02,북아현동,"76,000",e편한세상신촌1단지,0,59.85,,,1013,17
10,11410,,2025-12-01,2002,신규,26.02~28.02,홍제동,"50,000",문화촌현대,0,84.99,,,463,10
11,11410,,2025-12-01,2015,신규,25.12~28.01,남가좌동,"4,628",DMC파크뷰자이1단지(임대),27,39.997,,,385,8
12,11410,,2025-12-01,2019,신규,26.01~28.01,남가좌동,"20,000",DMC에코자이,220,84.978,,,389,4
13,11410,,2025-12-01,2015,신규,25.12~28.01,남가좌동,"4,629",DMC파크뷰자이1단지(임대),27,39.997,,,385,7
14,11410,,2025-12-01,2015,신규,25.12~28.01,남가좌동,"4,628",DMC파크뷰자이1단지(임대),27,39.997,,,385,8
15,11410,,2025-12-01,2019,신규,26.02~28.02,남가좌동,"10,000",DMC에코자이,280,84.978,,,389,21
16,11410,,2025-12-01,2015,신규,25.12~28.01,남가좌동,"4,628",DMC파크뷰자이1단지(임대),27,39.997,,,385,7
17,11410,,2025-12-01,1999,신규,25.12~27.11,대현동,0,신촌럭키,100,59.7,,,144,1
18,11410,,2025-12-01,2007,신규,25.12~27.12,북가좌동,"55,000",DMC두산위브,0,84.9631,,,459,7
19,11410,,2025-12-01,1995,신규,25.12~27.11,영천동,"59,000",독립문삼호,0,75.66,,,100,17
