,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11290,,2025-12-01,2025,신규,26.01~28.01,종암동,"10,700",종암라온프라이빗,48,36.2201,,,83-3,15
1,11290,,2025-12-01,2025,신규,26.01~28.01,종암동,"11,800",종암라온프라이빗,64,36.2201,,,83-3,14
2,11290,,2025-12-01,2005,신규,25.12~27.12,길음동,"63,000",길음뉴타운4단지(e편한세상),0,84.64,,,1281,10
3,11290,,2025-12-01,2016,신규,26.02~28.02,돈암동,"70,000",돈암코오롱하늘채,0,84.8576,,,644,4
4,11290,,2025-12-01,2004,신규,25.12~27.12,돈암동,"32,000",이수브라운스톤돈암,110,84.97,,,636,5
5,11290,,2025-12-01,2025,신규,25.12~27.12,종암동,"13,100",종암라온프라이빗,58,36.2201,,,83-3,16
6,11290,,2025-12-01,2022,신규,26.02~28.02,길음동,"30,000",롯데캐슬클라시아,150,59.7812,,,1289,12
7,11290,,2025-12-01,1994,신규,25.12~27.12,석관동,"24,000",중앙하이츠,30,59.79,,,110-2,1
8,11290,,2025-12-02,2010,갱신,25.12~26.01,길음동,"75,000",길음뉴타운7단지(두산위브),0,114.99,"75,000",,1285,2
9,11290,,2025-12-02,1998,신규,26.02~28.02,돈암동,"43,000",한진(609-1),0,59.58,,,609-1,3
10,11290,사용,2025-12-02,1998,갱신,26.02~28.02,돈암동,"76,000",한신,0,132.96,"75,000",,609-1,8
11,11290,,2025-12-02,2022,신규,26.02~28.02,길음동,"120,000",롯데캐슬클라시아,0,112.5059,,,1289,10
12,11290,,2025-12-02,2020,신규,26.02~28.02,장위동,"20,000",래미안장위퍼스트하이,175,84.98,,,320,6
13,11290,사용,2025-12-02,2022,갱신,26.02~28.02,길음동,"40,000",롯데캐슬클라시아,60,59.8745,"40,000",50,1289,23
14,11290,,2025-12-02,1998,신규,26.02~28.02,돈암동,"61,000",한신,0,152.25,,,609-1,14
15,11290,,2025-12-02,2005,신규,26.01~28.01,정릉동,"12,000",정릉풍림아이원,160,114.75,,,239,17
16,11290,,2025-12-02,2004,갱신,25.12~26.12,정릉동,"43,000",정릉힐스테이트,0,59.94,"40,000",,1025,22
17,11290,,2025-12-02,2006,신규,26.02~28.02,하월곡동,"62,000",래미안월곡,0,84.589,,,225,4
18,11290,,2025-12-02,2007,신규,26.03~28.03,길음동,"42,700",길음뉴타운6단지(래미안),0,59.373,,,1283,12
