,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11170,,2025-12-01,2006,신규,26.01~28.01,한강로3가,"75,000",우림필유,0,84.99,,,91,12
1,11170,,2025-12-01,2004,신규,26.03~28.03,효창동,"50,000",세인트힐,140,132.94,,,5-17,4
2,11170,,2025-12-01,2007,신규,26.01~28.01,문배동,"5,000",CJ나인파크,300,84.98,,,24-6,26
3,11170,사용,2025-12-01,1998,갱신,26.02~28.02,이촌동,"89,250",한가람,0,84.96,"85,000",,404,19
4,11170,사용,2025-12-01,1998,갱신,26.02~28.02,이촌동,"89,250",한가람,0,84.96,"85,000",,404,19
5,11170,,2025-12-01,2020,신규,26.02~28.02,한강로3가,"100,000",센트럴파크,300,102.8617,,,98,5
6,11170,,2025-12-01,2014,신규,26.01~28.01,원효로1가,"115,000",용산더프라임,0,114.218,,,41,31
7,11170,,2025-12-01,1984,갱신,25.12~27.12,서빙고동,"3,000",신동아,230,95.66,"3,000",220,241-21,9
8,11170,,2025-12-01,2020,신규,26.01~28.01,한강로3가,"230,000",센트럴파크,0,135.3849,,,98,11
9,11170,,2025-12-01,2006,신규,26.01~28.01,한강로3가,"75,000",우림필유,0,84.99,,,91,12
10,11170,사용,2025-12-01,2001,갱신,26.01~28.01,산천동,"84,000",리버힐삼성,15,114.48,"84,000",,193,10
11,11170,사용,2025-12-01,2017,갱신,26.02~28.02,한강로2가,"170,000",용산푸르지오써밋(420),189,169.055,"170,000",150,420,26
12,11170,,2025-12-01,1999,신규,26.02~28.02,이촌동,"60,000",동아그린,60,114.96,,,411,6
13,11170,,2025-12-01,1994,신규,25.12~27.12,이촌동,"50,000",대림,0,84.78,,,395,12
14,11170,,2025-12-01,2004,신규,26.02~28.02,문배동,"75,000",지오베르크,0,84.99,,,17-1,4
15,11170,,2025-12-01,2020,신규,26.01~28.01,한강로3가,"230,000",센트럴파크,0,135.3849,,,98,11
16,11170,,2025-12-01,1992,신규,26.03~28.03,보광동,"60,000",신동아1,0,84.93,,,448,12
17,11170,,2025-12-01,1992,신규,26.03~28.03,보광동,"60,000",신동아1,0,84.93,,,448,12
18,11170,,2025-12-02,1994,신규,25.12~28.09,이촌동,"37,000",대림,0,59.22,,,395,22
19,11170,,2025-12-02,2011,갱신,26.02~27.02,신계동,"80,100",용산e편한세상,0,84.89,"77,100",,48,14
20,11170,,2025-12-02,1998,신규,26.02~28.02,이촌동,"100,000",한가람,100,114.96,,,404,8
21,11170,,2025-12-02,2001,신규,26.02~28.02,도원동,"65,000",삼성래미안,0,59.94,,,23,17
22,11170,,2025-12-02,1992,신규,26.01~30.01,보광동,"60,000",신동아1,0,84.93,,,448,6
