,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11110,,2025-12-01,2000,신규,25.12~27.12,숭인동,"10,000",숭인모범103동,60,59.74,,,569-4,4
1,11110,,2025-12-01,2004,신규,26.01~28.01,내수동,"130,000",킹스매너,0,218.86,,,110-15,2
2,11110,,2025-12-01,2008,갱신,25.12~27.12,사직동,"65,000",광화문스페이스본(101동~105동),35,70.8,"6,500",30,9,2
3,11110,,2025-12-02,2006,신규,26.01~28.01,인의동,"75,000",효성쥬얼리시티,0,92.81,,,48-2,12
4,11110,,2025-12-02,2017,신규,25.12~28.06,효제동,"10,000",포레스트힐시티,45,16.672,,,65-2,5
5,11110,,2025-12-03,2000,신규,26.01~28.01,무악동,"75,000",현대,0,84.92,,,82,12
6,11110,,2025-12-03,1992,신규,26.03~28.03,창신동,"60,000",창신쌍용1,0,106.62,,,702,12
7,11110,,2025-12-03,2017,갱신,26.02~28.02,홍파동,"136,500",경희궁자이(2단지),0,101.9914,"13,000",,199,13
8,11110,사용,2025-12-03,2022,갱신,25.12~26.12,충신동,"25,000",힐스테이트창경궁,162,76.82,"25,000",150,60,11
9,11110,,2025-12-03,2017,신규,26.01~28.01,평동,"97,020",경희궁자이(3단지),0,84.8359,,,233,14
10,11110,,2025-12-03,2008,신규,26.02~28.02,사직동,"55,000",광화문스페이스본(101동~105동),160,94.28,,,9,6
11,11110,,2025-12-03,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,9
12,11110,,2025-12-03,2013,갱신,25.12~26.12,숭인동,"10,000",종로동광모닝스카이,10,15.855,"10,000",10,1421-1,15
13,11110,,2025-12-04,2017,,,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,11
14,11110,,2025-12-04,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,11
15,11110,사용,2025-12-04,2021,갱신,26.02~26.08,효제동,"1,000",이지마루종로,140,20.87,"1,000",140,126-2,12
16,11110,,2025-12-04,2008,신규,26.01~28.01,숭인동,"10,000",종로센트레빌,220,84.92,,,2-1,7
17,11110,,2025-12-05,2008,신규,26.02~28.02,무악동,"82,000",인왕산아이파크,0,84.858,,,60,14
18,11110,,2025-12-05,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,16
19,11110,,2025-12-05,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,17
20,11110,,2025-12-05,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,9
21,11110,,2025-12-05,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,15
22,11110,사용,2025-12-05,2003,갱신,25.12~27.12,명륜1가,"49,800",송림아마레스아파트,0,84.62,"47,500",,2-12,3
23,11110,,2025-12-05,2023,신규,26.01~27.01,숭인동,"1,000",에비뉴청계Ⅰ,90,16.23,,,1419-2,14
24,11110,,2025-12-06,1992,신규,25.12~27.12,창신동,"10,000",창신쌍용1,180,79.87,,,702,5
25,11110,사용,2025-12-06,2008,갱신,26.02~26.10,숭인동,"50,000",종로센트레빌,0,59.92,"48,000",,2-1,4
26,11110,사용,2025-12-06,2023,갱신,25.12~28.01,숭인동,"1,000",에비뉴청계Ⅰ,105,18.41,"1,000",100,1419-2,9
27,11110,,2025-12-06,1993,,,창신동,"35,000",창신쌍용2,0,54.7,,,703,7
28,11110,,2025-12-06,2013,신규,25.12~26.12,숭인동,"2,000",COZY빌딩,60,15.306,,,317-39,13
29,11110,,2025-12-06,2008,신규,25.12~27.12,무악동,"5,000",인왕산아이파크,290,84.858,,,60,2
30,11110,,2025-12-06,1993,신규,25.12~27.12,창신동,"16,000",창신쌍용2,100,79.87,,,703,2
31,11110,,2025-12-06,2023,갱신,25.12~27.12,숭인동,"18,270",에비뉴청계Ⅰ,0,16.23,"17,700",,1419-2,11
32,11110,,2025-12-06,2008,갱신,26.03~28.03,숭인동,"50,000",종로센트레빌,0,59.92,"43,400",,2-1,2
33,11110,사용,2025-12-06,2008,갱신,25.12~27.06,숭인동,"53,000",종로센트레빌,0,84.92,"53,000",,2-1,1
34,11110,,2025-12-07,1995,신규,26.02~28.02,명륜2가,"76,000",아남1,0,84.8,,,4,11
35,11110,,2025-12-07,2008,신규,26.01~28.01,숭인동,"5,250",종로센트레빌,200,59.92,,,2-1,6
36,11110,,2025-12-07,2021,신규,26.01~28.01,효제동,"14,000",이지마루종로,80,24.44,,,126-2,8
37,11110,,2025-12-08,1997,갱신,25.12~27.12,숭인동,"18,000",오성,19,56.96,"15,000",17,888,5
38,11110,,2025-12-08,2017,신규,26.03~27.03,효제동,"1,000",포레스트힐시티,86,16.672,,,65-2,11
39,11110,,2025-12-08,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,18
40,11110,사용,2025-12-08,2000,갱신,26.01~28.01,무악동,"79,800",현대,0,114.9,"76,000",,82,7
41,11110,,2025-12-08,1997,갱신,25.12~27.12,숭인동,"18,000",오성,0,56.96,"15,000",,888,5
42,11110,,2025-12-08,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,2
43,11110,사용,2025-12-09,2017,갱신,26.02~28.02,홍파동,"115,500",경희궁자이(2단지),0,84.9443,"110,000",,199,2
44,11110,사용,2025-12-09,2017,갱신,26.02~28.02,홍파동,"115,500",경희궁자이(2단지),0,84.9443,"110,000",,199,2
45,11110,,2025-12-09,1993,신규,26.02~28.02,창신동,"39,000",창신쌍용2,0,54.7,,,703,8
46,11110,,2025-12-09,2017,신규,26.01~28.01,홍파동,"60,000",경희궁자이(2단지),220,84.8359,,,199,4
47,11110,,2025-12-09,2017,갱신,25.12~26.12,홍파동,"92,600",경희궁자이(2단지),0,84.8359,"92,600",,199,15
48,11110,,2025-12-09,1999,신규,26.02~28.02,창신동,"47,000",두산,0,59.95,,,232,2
49,11110,,2025-12-09,2017,신규,26.01~28.03,행촌동,"14,720",경희궁자이(1단지),58,39.0561,,,211,16
50,11110,,2025-12-10,2017,신규,26.01~28.01,교북동,"50,000",경희궁자이(4단지),80,45.879,,,126,11
51,11110,,2025-12-10,2000,신규,26.02~28.02,무악동,"68,000",현대,0,84.92,,,82,7
52,11110,,2025-12-10,2017,신규,26.02~28.02,홍파동,"125,000",경희궁자이(2단지),0,84.9443,,,199,7
53,11110,,2025-12-10,2017,신규,26.01~27.02,교북동,"21,000",경희궁자이(4단지),102,33.982,,,126,4
54,11110,,2025-12-11,1998,신규,26.02~28.02,평창동,"42,000",삼성,0,59.97,,,596,14
55,11110,,2025-12-11,2008,갱신,26.01~28.01,사직동,"65,000",광화문스페이스본(101동~105동),125,94.51,"65,000",95,9,6
56,11110,사용,2025-12-11,2017,갱신,26.01~28.01,교북동,"61,352",경희궁자이(4단지),0,45.879,"58,430",,126,9
57,11110,,2025-12-12,1993,갱신,25.12~27.12,창신동,"30,000",창신쌍용2,0,54.7,"28,300",,703,13
58,11110,사용,2025-12-12,2008,갱신,25.12~27.12,숭인동,"76,650",종로센트레빌,0,114.67,"73,000",,2-1,7
59,11110,,2025-12-12,2017,갱신,26.01~27.12,행촌동,"14,472",경희궁자이(1단지),39,39.0561,"18,443",,211,2
60,11110,,2025-12-12,2017,갱신,26.01~27.12,행촌동,"15,324",경희궁자이(1단지),42,39.0561,"16,188",,211,4
