,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,123,개인,중개거래,서울 강남구,N,25.12.17,11680,개인,294000,2025-11-01,2020,개포동,개포래미안포레스트,59.92,1282,5
1,,개인,중개거래,서울 강남구,N,,11680,개인,270000,2025-11-01,2003,도곡동,롯데캐슬모닝,150.78,551-28,4
2,,개인,중개거래,서울 강남구,N,,11680,개인,267500,2025-11-01,1992,도곡동,대림,84.93,960,12
3,,개인,중개거래,서울 강남구,N,,11680,개인,391000,2025-11-01,2007,삼성동,롯데캐슬프레미어,121.931,11,10
4,,개인,중개거래,서울 강남구,N,,11680,개인,410000,2025-11-01,1984,대치동,"대치우성아파트1동,2동,3동,5동,6동,7동",115.59,63,12
5,,개인,중개거래,"서울 강남구, 서울 송파구",N,,11680,개인,320000,2025-11-01,2022,역삼동,강남센트럴아이파크,59.945,902,32
6,,개인,중개거래,서울 강남구,N,,11680,개인,32000,2025-11-01,2004,삼성동,LG선릉에클라트(B),36.47,142-3,10
7,,개인,중개거래,서울 강남구,N,,11680,개인,240000,2025-11-01,1994,도곡동,삼성,73.41,161,8
8,,개인,중개거래,서울 강남구,N,,11680,개인,195000,2025-11-01,1999,청담동,삼환(101동),84.76,10,1
9,,개인,중개거래,서울 강남구,N,,11680,개인,940000,2025-11-01,1976,압구정동,"현대2차(10,11,20,23,24,25동)",160.28,369-1,14
10,,개인,중개거래,서울 강남구,N,,11680,개인,335000,2025-11-01,2023,개포동,개포자이프레지던스,59.9751,1284,12
11,,개인,중개거래,서울 강남구,N,,11680,개인,300000,2025-11-01,1994,일원동,샘터마을,115.366,718,9
12,,개인,중개거래,서울 강남구,N,,11680,개인,342000,2025-11-01,2018,일원동,래미안 개포 루체하임,84.97,741,17
13,,개인,중개거래,서울 강남구,N,,11680,개인,309000,2025-11-01,1984,일원동,개포한신,107.6,615-1,10
14,,개인,중개거래,서울 강남구,N,,11680,개인,208000,2025-11-01,1999,청담동,청담현대3차아파트,59.95,127-31,1
15,,개인,중개거래,서울 강남구,N,,11680,개인,300000,2025-11-01,2021,개포동,개포더샵트리에,108.0923,651-1,2
16,,개인,중개거래,서울 강남구,N,,11680,개인,286000,2025-11-01,1985,논현동,동현아파트1~6,84.92,105,5
17,,개인,중개거래,서울 강남구,N,,11680,개인,333000,2025-11-01,2018,일원동,래미안 개포 루체하임,84.97,741,2
18,,개인,중개거래,서울 강남구,N,,11680,개인,119700,2025-11-01,2015,자곡동,강남자곡 힐스테이트,59.93,619,10
19,,개인,중개거래,서울 강남구,N,,11680,개인,139500,2025-11-01,2005,청담동,우성아파트,79.34,11-25,6
20,,개인,중개거래,서울 서초구,N,,11680,개인,285000,2025-11-01,2001,도곡동,삼성래미안,59.96,91-5,23
21,,개인,중개거래,"서울 강남구, 서울 금천구",N,,11680,개인,237500,2025-11-01,2014,수서동,강남데시앙포레,84.92,795,11
22,,개인,중개거래,서울 강남구,N,,11680,개인,335000,2025-11-01,2007,삼성동,래미안삼성2차,101.38,7-3,4
23,,개인,중개거래,서울 강남구,N,,11680,개인,348500,2025-11-01,1983,개포동,개포주공7단지,73.26,185,2
24,,개인,중개거래,서울 강남구,N,,11680,개인,160000,2025-11-01,2003,도곡동,그랜빌캐슬,102.33,190-3,2
25,,개인,중개거래,서울 강남구,N,,11680,개인,170000,2025-11-01,2014,자곡동,강남자곡아이파크,59.96,602,10
26,,개인,중개거래,서울 강남구,N,,11680,개인,193000,2025-11-01,1996,삼성동,석탑아파트101동,59.43,3-3,16
27,,개인,중개거래,"서울 강남구, 서울 광진구",N,,11680,개인,353000,2025-11-02,2008,삼성동,삼성동힐스테이트 1단지,84.236,16-2,16
28,,개인,중개거래,서울 강남구,N,,11680,개인,215000,2025-11-02,2014,자곡동,강남자곡아이파크,84.96,602,6
29,101,법인,직거래,,N,25.11.07,11680,개인,208000,2025-11-02,1984,일원동,개포한신,107.6,615-1,12
30,,개인,중개거래,서울 강남구,N,,11680,개인,177500,2025-11-02,2014,자곡동,강남한양수자인(4단지),84.89,686,1
31,,개인,중개거래,서울 강남구,N,,11680,개인,390000,2025-11-03,2021,일원동,디에이치자이개포,84.73,743,27
