,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 강동구,N,,11740,개인,32800,2025-11-03,2004,성내동,에스케이허브진,33.71,194,10
1,,개인,중개거래,서울 강동구,N,,11740,개인,135500,2025-11-05,2017,천호동,래미안강동팰리스,59.98,571,8
2,,개인,중개거래,서울 강동구,N,,11740,개인,79800,2025-11-05,2002,성내동,한솔애리즈1,84.89,410-16,9
3,,개인,중개거래,"서울 강남구, 서울 송파구",N,,11740,개인,95000,2025-11-05,1997,천호동,천호동삼성아파트,59.86,528,8
4,,개인,중개거래,"서울 강동구, 서울 중구",N,,11740,개인,79800,2025-11-05,2002,성내동,한솔애리즈1,84.89,410-16,9
5,,개인,중개거래,"대전 서구, 서울 강동구",N,,11740,개인,159500,2025-11-06,2010,둔촌동,둔촌푸르지오,84.91,630,17
6,,개인,중개거래,"서울 강남구, 서울 강동구",N,,11740,개인,215000,2025-11-06,1986,명일동,현대(고덕),131.83,56,9
7,,개인,중개거래,서울 강동구,N,,11740,개인,180000,2025-11-06,2019,상일동,고덕롯데캐슬베네루체,84.923,514,26
8,,개인,중개거래,서울 강동구,N,,11740,개인,63000,2025-11-06,1996,암사동,암사라인,59.34,442,2
9,,개인,중개거래,서울 강동구,N,,11740,개인,194000,2025-11-07,1986,명일동,현대(고덕),131.83,56,3
10,,개인,중개거래,"서울 강동구, 서울 노원구",N,,11740,개인,168500,2025-11-07,1984,명일동,삼익가든,117.76,270,1
11,,개인,중개거래,서울 강동구,N,,11740,개인,95000,2025-11-07,1998,천호동,중앙하이츠,114.68,305,5
12,,개인,중개거래,서울 강동구,N,,11740,개인,38500,2025-11-07,2023,길동,길동다성이즈빌,32.85,480,5
13,,개인,중개거래,서울 강동구,N,,11740,개인,67000,2025-11-08,2004,길동,하나플러스,84.84,401-1,1
14,,개인,중개거래,서울 강동구,N,,11740,개인,122000,2025-11-08,2005,천호동,브라운스톤암사아파트,84.97,288-29,10
15,,개인,중개거래,서울 강동구,N,,11740,개인,126000,2025-11-08,2011,강일동,고덕리엔파크1단지,84.98,707,5
16,,개인,중개거래,경기 하남시,N,,11740,개인,149000,2025-11-08,2023,강일동,힐스테이트리슈빌강일,101.3957,72,10
17,,개인,중개거래,"서울 강동구, 서울 용산구",N,,11740,개인,115500,2025-11-10,2009,강일동,강일리버파크7단지,84.53,686,7
18,,개인,중개거래,서울 강동구,N,,11740,개인,145500,2025-11-10,2020,길동,이편한세상강동에코포레,84.97,477,4
19,,개인,중개거래,서울 강동구,N,,11740,개인,114000,2025-11-10,1999,성내동,성내동삼성아파트,59.88,590,11
20,,개인,중개거래,"서울 강동구, 서울 서초구",N,,11740,개인,66500,2025-11-11,1990,천호동,현대아파트,44.1,168-6,3
21,,개인,중개거래,서울 강동구,N,,11740,개인,114800,2025-11-11,2002,암사동,암사동한솔,113.14,419,1
22,,개인,중개거래,서울 서대문구,N,,11740,개인,140000,2025-11-11,2000,암사동,선사현대아파트,82.94,509,12
23,,개인,중개거래,서울 강동구,N,,11740,개인,166000,2025-11-11,2017,천호동,래미안강동팰리스,84.97,571,18
24,,개인,중개거래,서울 강동구,N,,11740,개인,152000,2025-11-11,2017,천호동,래미안강동팰리스,59.98,571,31
25,,개인,중개거래,서울 강동구,N,,11740,개인,69000,2025-11-12,2004,길동,에이치비골드빌(102동),64.19,384-4,14
26,,개인,중개거래,서울 강동구,N,,11740,개인,80000,2025-11-12,2020,성내동,라움포레,59.28,607,3
27,,개인,중개거래,서울 강동구,N,,11740,개인,91500,2025-11-12,2020,강일동,강동리버스트4단지,59.99,114,2
28,,개인,중개거래,서울 강동구,N,,11740,개인,134000,2025-11-13,2010,둔촌동,둔촌푸르지오,59.98,630,9
29,,개인,중개거래,서울 강동구,N,,11740,개인,150000,2025-11-13,2011,강일동,고덕리엔파크2단지,114.98,717,15
30,,개인,중개거래,서울 강동구,N,,11740,개인,150000,2025-11-13,2011,강일동,고덕리엔파크2단지,114.98,717,15
31,,개인,중개거래,서울 강동구,N,,11740,개인,180000,2025-11-13,2019,상일동,고덕롯데캐슬베네루체,84.923,514,10
32,,개인,중개거래,서울 강동구,N,,11740,개인,175000,2025-11-14,2000,암사동,선사현대아파트,82.94,509,26
33,,개인,중개거래,서울 강동구,N,,11740,개인,115000,2025-11-14,1998,둔촌동,신성둔촌미소지움1,59.78,546,19
34,,개인,중개거래,서울 강동구,N,,11740,개인,92700,2025-11-14,2020,강일동,강동리버스트4단지,59.99,114,3
