,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,직거래,,N,,11500,개인,146500,2025-11-01,2010,염창동,강변월드메르디앙,122.1243,240-1,7
1,,개인,중개거래,서울 강서구,N,,11500,개인,125500,2025-11-03,2007,내발산동,마곡수명산파크2단지,84.53,741,6
2,,개인,중개거래,서울 강서구,N,,11500,개인,94000,2025-11-04,1999,등촌동,한사랑2삼성,84.96,634-2,17
3,,개인,중개거래,서울 강서구,N,,11500,개인,91000,2025-11-04,1994,등촌동,"진로,미주아파트",84.96,701,13
4,,개인,중개거래,서울 강서구,N,,11500,개인,57200,2025-11-04,1993,가양동,가양도시개발9-2단지,34.44,1490,6
5,,개인,중개거래,서울 강서구,N,,11500,개인,94000,2025-11-04,1999,등촌동,한사랑2삼성,84.96,634-2,17
6,,개인,중개거래,서울 강서구,N,,11500,개인,89000,2025-11-04,2003,등촌동,대동황토방2,80.93,713,2
7,,개인,중개거래,서울 강서구,N,,11500,개인,55000,2025-11-04,1992,가양동,가양2단지(성지),34.44,1461,12
8,,개인,중개거래,"서울 강서구, 서울 양천구",N,,11500,개인,138000,2025-11-05,2015,화곡동,강서힐스테이트,84.99,1165,11
9,,개인,중개거래,서울 강서구,N,,11500,개인,95000,2025-11-05,1999,가양동,가양강나루현대,59.76,448-1,11
10,,개인,중개거래,서울 강서구,N,,11500,개인,166000,2025-11-05,2017,마곡동,마곡13단지힐스테이트마스터,84.9881,748,12
11,,개인,중개거래,"서울 강서구, 서울 동대문구",N,,11500,개인,61500,2025-11-06,1993,가양동,가양도시개발9-2단지,39.6,1490,6
12,,개인,중개거래,"서울 강서구, 서울 양천구",N,,11500,개인,93000,2025-11-06,2002,등촌동,대림e편한세상,84.96,561-1,2
13,,개인,중개거래,서울 강서구,N,,11500,개인,85000,2025-11-06,2001,염창동,성원,59.91,295,11
14,,개인,중개거래,서울 강서구,N,,11500,개인,89700,2025-11-06,1993,염창동,염창3우성,84.96,272-28,6
15,,개인,중개거래,서울 강서구,N,,11500,개인,61000,2025-11-06,1992,가양동,강변,34.44,1475,9
