,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,"경기 부천시 원미구, 서울 관악구",N,,11620,개인,75000,2025-11-01,2006,봉천동,신원메트로빌,84.6,870-13,12
1,,개인,중개거래,서울 관악구,N,,11620,개인,46000,2025-11-06,1993,신림동,국제산장,84.15,1693,5
2,,개인,중개거래,서울 관악구,N,,11620,개인,46000,2025-11-06,1993,신림동,국제산장,84.15,1693,5
3,,개인,중개거래,서울 관악구,N,,11620,개인,100000,2025-11-07,1996,봉천동,보라매삼성,84.84,1698-1,11
4,,개인,중개거래,서울 관악구,N,,11620,개인,59500,2025-11-08,2008,신림동,관악산휴먼시아2단지,59.96,1735,7
5,,개인,중개거래,서울 관악구,N,,11620,개인,108000,2025-11-08,2003,봉천동,관악드림(동아),102,1712,17
6,,개인,중개거래,서울 관악구,N,,11620,개인,89500,2025-11-10,1992,봉천동,현대(관악),68.8,1000,8
7,,개인,중개거래,서울 관악구,N,,11620,개인,73500,2025-11-11,2008,신림동,관악산휴먼시아2단지,84.97,1735,12
8,,개인,중개거래,서울 관악구,N,,11620,개인,130000,2025-11-12,2020,봉천동,e편한세상서울대입구2차,84.31,1733,6
9,,개인,중개거래,서울 관악구,N,25.12.03,11620,개인,43500,2025-11-12,1997,신림동,태영,49.92,1424-28,17
10,,개인,중개거래,서울 관악구,N,,11620,개인,63000,2025-11-13,1999,봉천동,신봉,59.75,1705,15
11,,개인,중개거래,서울 관악구,N,,11620,개인,81500,2025-11-13,1998,신림동,성우,84.97,10-622,8
12,,개인,중개거래,서울 관악구,N,,11620,개인,99000,2025-11-14,2014,봉천동,관악파크푸르지오,84.98,1728,4
13,,개인,중개거래,서울 관악구,N,,11620,개인,61500,2025-11-14,2008,신림동,관악산휴먼시아2단지,59.99,1735,9
14,,개인,중개거래,서울 관악구,N,,11620,개인,57500,2025-11-15,2022,봉천동,관악중앙하이츠포레,46.6783,1737,4
15,,개인,중개거래,"서울 강남구, 서울 관악구",N,,11620,개인,107000,2025-11-17,2003,봉천동,관악드림(삼성),84.96,1712,6
16,,개인,중개거래,"서울 강남구, 서울 관악구",N,,11620,개인,112000,2025-11-18,2003,봉천동,관악드림(동아),114.75,1712,7
17,,개인,중개거래,서울 관악구,N,,11620,개인,61500,2025-11-18,2003,봉천동,벽산타운II,57.36,1716,6
18,,개인,중개거래,서울 관악구,N,,11620,개인,88500,2025-11-18,1992,봉천동,현대(관악),68.8,1000,9
19,,개인,중개거래,서울 관악구,N,,11620,개인,61300,2025-11-18,2008,신림동,관악산휴먼시아2단지,82.65,1735,1
20,,개인,중개거래,서울 관악구,N,,11620,개인,92800,2025-11-18,2000,봉천동,봉천우성,84.96,1706,17
21,,개인,중개거래,서울 관악구,N,,11620,개인,93000,2025-11-18,2003,봉천동,관악드림(동아),60,1712,14
22,,개인,중개거래,서울 관악구,N,,11620,개인,52000,2025-11-18,2000,신림동,삼성산주공(주공3단지),58.55,1714,12
23,,개인,중개거래,서울 관악구,N,,11620,개인,75500,2025-11-18,1999,봉천동,서울대입구삼성,59.78,1591-2,17
24,,개인,중개거래,서울 관악구,N,,11620,개인,94500,2025-11-19,1992,봉천동,현대(관악),84.74,1000,11
25,,개인,중개거래,서울 관악구,N,,11620,개인,65000,2025-11-19,2005,봉천동,제창그로힐,81.451,1722,6
