,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,110,개인,직거래,,N,25.11.13,11215,개인,119000,2025-11-03,2018,구의동,래미안파크스위트,75.82,668,11
1,,개인,중개거래,서울 광진구,N,,11215,개인,168000,2025-11-04,2017,자양동,래미안프리미어팰리스,84.81,859,14
2,,개인,중개거래,서울 광진구,N,,11215,개인,81000,2025-11-04,2020,구의동,광진파크프라이빗,59.71,670,2
3,202,개인,중개거래,서울 광진구,N,25.11.28,11215,개인,110000,2025-11-06,1993,자양동,자양동현대,84.55,645-5,14
4,,개인,중개거래,서울 광진구,N,,11215,개인,95000,2025-11-08,2021,구의동,구의자이르네,59.7173,671,9
5,,개인,중개거래,서울 강동구,N,,11215,개인,93000,2025-11-08,2021,구의동,구의자이르네,59.7814,671,8
6,,개인,중개거래,서울 광진구,N,,11215,개인,74900,2025-11-10,2022,구의동,스타파크,57.79,59-1,4
7,,개인,중개거래,서울 광진구,N,,11215,개인,125000,2025-11-11,1987,광장동,워커힐푸르지오,65.63,148-4,11
8,,개인,중개거래,서울 광진구,N,,11215,개인,22300,2025-11-11,2019,화양동,화양동동도센트리움캠퍼스파크,16.273,116-2,15
9,,개인,중개거래,"서울 광진구, 서울 성북구",N,,11215,개인,162000,2025-11-13,2021,자양동,자양호반써밋,59.0905,861,11
10,,개인,중개거래,서울 광진구,N,,11215,개인,130000,2025-11-13,1996,자양동,한라아파트,59.96,762,10
11,,개인,중개거래,서울 광진구,N,,11215,개인,68000,2025-11-13,2007,중곡동,웰빙,83.43,35-10,6
12,,개인,중개거래,서울 서초구,N,,11215,개인,78500,2025-11-14,1999,중곡동,에스케이,84.6,292,2
13,,개인,중개거래,서울 광진구,N,,11215,개인,220000,2025-11-14,1989,광장동,현대5,74.88,554-7,16
14,,개인,중개거래,서울 광진구,N,,11215,개인,92500,2025-11-17,1994,광장동,워커힐현대빌,133.68,105,3
15,,개인,중개거래,서울 광진구,N,,11215,개인,176500,2025-11-17,1996,광장동,광나루현대,84.92,567,16
16,,개인,중개거래,"서울 광진구, 서울 송파구",N,,11215,개인,214000,2025-11-18,1996,구의동,구의현대2단지,84.88,611,12
17,1,개인,직거래,,N,25.12.10,11215,법인,44831,2025-11-19,2022,구의동,현대팰리스,47,231-18,6
18,,개인,중개거래,서울 광진구,N,,11215,개인,215000,2025-11-21,1996,구의동,구의현대2단지,84.91,611,10
19,,개인,중개거래,서울 광진구,N,,11215,개인,98000,2025-11-22,2006,구의동,구의동현진에버빌,66.062,660,1
20,,개인,중개거래,서울 광진구,N,,11215,개인,73000,2025-11-24,2001,자양동,스카이빌1차,84.24,767,6
21,,개인,중개거래,서울 광진구,N,,11215,개인,60000,2025-11-24,2023,구의동,광진파크하우스,44.2079,682,7
22,,개인,중개거래,서울 광진구,N,,11215,개인,131700,2025-11-26,1988,자양동,우성1,51.57,579,5
23,,개인,중개거래,서울 광진구,N,,11215,개인,210000,2025-11-26,1995,광장동,"현대8(801동,802동)",84.92,565,14
24,,개인,중개거래,"서울 강남구, 서울 광진구",N,,11215,개인,194500,2025-11-27,2021,구의동,e편한세상광진그랜드파크,84.9957,680,14
25,,개인,중개거래,서울 광진구,N,,11215,개인,169000,2025-11-27,1995,자양동,자양2현대,84.66,761,10
26,,개인,중개거래,서울 광진구,N,,11215,개인,117500,2025-11-27,2021,구의동,구의자이르네,73.6556,671,9
27,,개인,중개거래,서울 광진구,N,,11215,개인,150000,2025-11-27,1999,자양동,자양삼성,59.76,787,16
28,,개인,중개거래,서울 광진구,N,,11215,개인,16400,2025-11-27,2017,화양동,씨즈건대힐스,14.23,530,9
29,,개인,직거래,,N,25.12.01,11215,개인,73000,2025-11-28,2003,구의동,퓨전빌,83.69,244-6,1
30,,개인,중개거래,서울 광진구,N,,11215,개인,100000,2025-11-28,2006,자양동,구의현대홈시티,84.9,779-8,8
31,,개인,중개거래,서울 광진구,N,,11215,개인,115000,2025-11-29,1994,광장동,워커힐현대빌,133.68,105,7
32,,개인,중개거래,서울 광진구,N,,11215,개인,68000,2025-11-29,2018,구의동,스타파크아파트,57.21,80-37,5
33,,개인,중개거래,서울 광진구,N,,11215,개인,75000,2025-11-30,2014,구의동,주성힐스톤,61.12,664,1
