,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 금천구,N,,11545,개인,89000,2025-11-02,2019,독산동,e편한세상독산더타워,74.9482,1007-13,25
1,,개인,중개거래,서울 금천구,N,,11545,개인,108000,2025-11-03,2016,독산동,금천롯데캐슬골드파크1차,71.39,1147,13
2,,개인,중개거래,서울 금천구,N,,11545,개인,110000,2025-11-04,2016,독산동,금천롯데캐슬골드파크1차,84.4214,1147,26
3,,개인,중개거래,서울 금천구,N,,11545,개인,77000,2025-11-05,2019,독산동,e편한세상독산더타워,59.8637,1007-13,30
4,,개인,중개거래,서울 금천구,N,,11545,개인,63000,2025-11-05,2004,시흥동,관악산벽산타운5,114.84,1013,4
5,,개인,중개거래,서울 금천구,N,,11545,개인,65000,2025-11-06,2004,시흥동,관악산벽산타운5,114.84,1013,18
6,,개인,중개거래,서울 금천구,N,25.12.10,11545,개인,38300,2025-11-07,1998,독산동,백운,59.81,1135,6
7,,개인,중개거래,서울 금천구,N,,11545,개인,37500,2025-11-07,2000,시흥동,벽산,59.94,1010,4
8,,개인,중개거래,서울 금천구,N,,11545,개인,96500,2025-11-09,2014,시흥동,남서울힐스테이트,84.697,1026,11
9,,개인,중개거래,서울 금천구,N,,11545,개인,113500,2025-11-10,2018,독산동,금천롯데캐슬골드파크3차,84.408,1155,6
10,115,개인,중개거래,서울 금천구,N,25.12.15,11545,개인,70800,2025-11-11,1998,가산동,두산,84.9,769,5
11,,개인,중개거래,서울 금천구,N,,11545,개인,28500,2025-11-11,1989,시흥동,남서울건영2,41.34,384-12,8
12,,개인,중개거래,서울 금천구,N,,11545,개인,72500,2025-11-12,1998,가산동,두산,84.9,769,8
13,,개인,중개거래,서울 금천구,N,,11545,개인,53200,2025-11-13,2000,시흥동,벽산,114.84,1010,15
14,,개인,중개거래,서울 금천구,N,,11545,개인,57000,2025-11-13,2002,독산동,금천현대,59.82,711-2,10
15,,개인,중개거래,서울 금천구,N,,11545,개인,71600,2025-11-14,2004,독산동,독산동중앙하이츠빌,84.8768,1140,12
16,,개인,중개거래,서울 금천구,N,,11545,개인,63000,2025-11-14,2002,독산동,금천현대,84.83,711-2,6
17,,개인,중개거래,서울 금천구,N,,11545,개인,92000,2025-11-14,2018,독산동,금천롯데캐슬골드파크3차,59.968,1155,46
18,,개인,중개거래,서울 금천구,N,,11545,개인,58000,2025-11-14,2002,독산동,금천현대,59.82,711-2,8
19,,개인,직거래,,N,,11545,개인,108000,2025-11-15,2017,독산동,금천롯데캐슬골드파크2차201동202동,84.95,1150,20
20,,개인,중개거래,서울 금천구,N,,11545,개인,42300,2025-11-15,2004,시흥동,관악산벽산타운5,59.34,1013,20
21,,개인,중개거래,서울 금천구,N,,11545,개인,88000,2025-11-16,1998,가산동,두산,134.95,769,3
22,,개인,중개거래,서울 금천구,N,,11545,개인,66000,2025-11-17,2004,시흥동,관악산벽산타운5,114.84,1013,12
23,106,개인,중개거래,경기 광명시,N,25.12.16,11545,개인,72000,2025-11-17,2004,독산동,독산동중앙하이츠빌,84.8768,1140,21
24,,개인,중개거래,서울 금천구,N,,11545,개인,72500,2025-11-18,1998,가산동,두산,84.9,769,8
25,,개인,중개거래,서울 금천구,N,,11545,개인,39000,2025-11-18,1989,시흥동,남서울건영2,61.23,384-12,7
26,,개인,중개거래,서울 금천구,N,,11545,개인,100000,2025-11-18,2016,독산동,금천롯데캐슬골드파크1차,59.9384,1147,13
27,,개인,중개거래,서울 금천구,N,,11545,개인,45200,2025-11-18,2000,시흥동,금강,59.95,1008,7
28,,개인,중개거래,서울 금천구,N,,11545,개인,43500,2025-11-19,1998,시흥동,경남아파트,59.97,820-12,13
29,,개인,중개거래,서울 금천구,N,,11545,개인,100000,2025-11-19,2016,독산동,금천롯데캐슬골드파크1차,59.9384,1147,10
30,,개인,중개거래,서울 금천구,N,,11545,개인,68000,2025-11-20,1991,독산동,한신아파트,89.46,1093-4,7
31,,개인,중개거래,서울 금천구,N,,11545,개인,66000,2025-11-20,2006,시흥동,관악산신도브래뉴,84.8,1017,1
32,102,개인,중개거래,서울 금천구,N,25.12.17,11545,법인,47000,2025-11-20,1999,독산동,독산현대,58.72,293-10,2
33,,개인,중개거래,서울 금천구,N,,11545,개인,79600,2025-11-20,2002,독산동,신도브래뉴,116.29,955,3
34,,개인,중개거래,서울 금천구,N,,11545,개인,58700,2025-11-20,1998,가산동,두산,59.84,769,1
35,,개인,중개거래,서울 금천구,N,,11545,개인,89500,2025-11-21,2014,시흥동,남서울힐스테이트,84.677,1026,3
36,,개인,중개거래,서울 금천구,N,,11545,개인,56500,2025-11-21,2002,독산동,금천현대,59.82,711-2,13
37,,개인,중개거래,서울 금천구,N,,11545,개인,111200,2025-11-21,2016,독산동,금천롯데캐슬골드파크1차,84.8114,1147,10
38,,개인,중개거래,서울 금천구,N,,11545,개인,89500,2025-11-21,2014,시흥동,남서울힐스테이트,84.677,1026,3
39,108,개인,직거래,,N,25.12.05,11545,개인,50500,2025-11-21,1998,가산동,두산,101.67,769,2
40,,개인,중개거래,서울 금천구,N,,11545,개인,71000,2025-11-22,1998,가산동,두산,84.9,769,6
41,,개인,중개거래,서울 금천구,N,,11545,개인,70000,2025-11-22,1998,가산동,두산,84.9,769,6
42,,개인,중개거래,서울 금천구,N,,11545,개인,88000,2025-11-22,2017,독산동,금천롯데캐슬골드파크2차201동202동,59.27,1150,14
43,,개인,중개거래,서울 금천구,N,,11545,개인,110000,2025-11-24,2018,독산동,금천롯데캐슬골드파크3차,84.408,1155,6
44,,개인,중개거래,경기 광명시,N,,11545,개인,54000,2025-11-25,1990,독산동,독산주공14단지,59.22,1088,9
45,,개인,중개거래,"서울 관악구, 서울 금천구",N,,11545,개인,42000,2025-11-25,2000,시흥동,벽산,59.94,1010,12
46,,개인,중개거래,서울 금천구,N,,11545,개인,61000,2025-11-25,1999,독산동,독산현대,83.73,293-10,15
47,,개인,중개거래,서울 금천구,N,,11545,개인,31000,2025-11-26,1989,시흥동,남서울건영2,41.34,384-12,6
48,,개인,중개거래,서울 금천구,N,,11545,개인,140000,2025-11-27,2016,독산동,금천롯데캐슬골드파크1차,101.814,1147,34
49,,개인,중개거래,서울 금천구,N,,11545,개인,65500,2025-11-28,2006,시흥동,관악산신도브래뉴,94.6,1017,5
50,,개인,중개거래,서울 금천구,N,,11545,개인,95000,2025-11-29,2018,독산동,금천롯데캐슬골드파크3차,59.9672,1155,31
51,,개인,중개거래,서울 금천구,N,,11545,개인,115000,2025-11-29,2016,독산동,금천롯데캐슬골드파크1차,84.8114,1147,13
52,,개인,중개거래,서울 금천구,N,,11545,개인,35500,2025-11-29,2003,독산동,동심,55.8429,184-4,4
