,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 도봉구,N,,11320,개인,34700,2025-11-03,1989,창동,주공17단지,41.3,38,4
1,,개인,중개거래,서울 도봉구,N,,11320,개인,34000,2025-11-03,2005,창동,미소애,45.466,715-3,5
2,,개인,중개거래,서울 도봉구,N,,11320,개인,94500,2025-11-04,1997,창동,쌍용,84.76,807,17
3,,개인,중개거래,서울 도봉구,N,,11320,개인,125000,2025-11-04,1997,창동,동아청솔,134.94,808,5
4,,개인,중개거래,서울 도봉구,N,,11320,개인,53800,2025-11-04,1992,방학동,신동아아파트2,84.82,531,13
5,,개인,중개거래,서울 도봉구,N,,11320,개인,44000,2025-11-04,1987,도봉동,서울가든,75.33,555,5
6,,개인,중개거래,서울 도봉구,N,,11320,개인,70500,2025-11-05,1992,창동,삼성래미안,73.92,45,1
7,,개인,중개거래,서울 도봉구,N,,11320,개인,40000,2025-11-05,1998,방학동,벽산아파트2,59.581,496,14
8,,개인,중개거래,서울 도봉구,N,,11320,개인,34000,2025-11-05,1981,쌍문동,백조,64.43,724,2
9,,개인,중개거래,서울 도봉구,N,,11320,개인,64500,2025-11-06,2003,방학동,이에스에이아파트1,84.98,718-7,6
10,1,개인,중개거래,서울 도봉구,N,25.12.15,11320,개인,26200,2025-11-07,1988,쌍문동,경남,44.5,73,1
11,,개인,중개거래,서울 도봉구,N,,11320,개인,59200,2025-11-07,1995,도봉동,한신,84.94,30-1,12
12,,개인,중개거래,서울 도봉구,N,,11320,개인,61500,2025-11-07,2006,쌍문동,브라운스톤쌍문,74.8,729,6
13,,개인,중개거래,서울 도봉구,N,,11320,개인,64750,2025-11-07,1990,창동,창동주공3단지(해등마을),58.01,347,13
14,,개인,중개거래,서울 도봉구,N,,11320,개인,48000,2025-11-10,1988,쌍문동,한양2,84.9,59,8
15,,개인,중개거래,서울 도봉구,N,,11320,개인,34800,2025-11-10,1991,방학동,벽산아파트1,52.36,275,6
16,,개인,중개거래,서울 도봉구,N,,11320,개인,87000,2025-11-11,2001,창동,창동2차현대,95.633,815,2
17,,개인,중개거래,"경기 용인시 기흥구, 서울 도봉구",N,,11320,개인,101500,2025-11-11,1997,창동,쌍용,135,807,3
18,,개인,중개거래,서울 도봉구,N,,11320,개인,85000,2025-11-11,2004,창동,금호어울림,84.99,823,9
19,,개인,중개거래,서울 도봉구,N,,11320,개인,77000,2025-11-11,2005,도봉동,래미안도봉,84.55,655,9
20,,개인,중개거래,서울 도봉구,N,25.12.08,11320,개인,6500,2025-11-11,2013,창동,월가타워,13.09,7,13
21,,개인,중개거래,서울 도봉구,N,,11320,개인,56000,2025-11-11,1988,창동,상아2차아파트,58.59,300,2
22,,개인,중개거래,서울 도봉구,N,,11320,개인,56000,2025-11-11,1988,창동,상아2차아파트,58.59,300,2
23,,개인,중개거래,서울 도봉구,N,,11320,개인,82000,2025-11-11,2001,창동,창동2차현대,84.504,815,13
24,,개인,중개거래,서울 도봉구,N,,11320,개인,79000,2025-11-11,1988,창동,주공19단지(창동리버타운),60.5,27,8
25,,개인,중개거래,서울 도봉구,N,,11320,개인,45000,2025-11-11,1988,창동,창동주공18단지,41.34,30,9
26,,개인,중개거래,서울 도봉구,N,,11320,개인,50500,2025-11-12,1998,방학동,벽산아파트2,84.98,496,15
27,,개인,중개거래,서울 도봉구,N,,11320,개인,57000,2025-11-13,1995,도봉동,한신,84.94,30-1,10
28,106,개인,중개거래,서울 도봉구,N,25.12.10,11320,개인,74000,2025-11-13,2003,도봉동,동아에코빌,105.976,654,21
29,,개인,중개거래,서울 노원구,N,,11320,개인,56800,2025-11-15,2004,창동,창동한승미메이드,84.6865,824,13
30,,개인,중개거래,서울 도봉구,N,25.12.15,11320,개인,7950,2025-11-15,2013,창동,월가타워,13.02,7,14
31,,개인,중개거래,서울 도봉구,N,,11320,개인,57500,2025-11-17,1995,도봉동,한신,84.94,30-1,3
32,,개인,중개거래,서울 도봉구,N,,11320,개인,26200,2025-11-17,1988,쌍문동,한양2,35.1,59,13
33,405동,개인,중개거래,서울 도봉구,N,25.12.05,11320,개인,37800,2025-11-18,1991,창동,창동주공4단지,41.3,373,2
34,,개인,중개거래,서울 도봉구,N,,11320,개인,59000,2025-11-18,1995,도봉동,한신,84.94,30-1,8
35,,개인,중개거래,서울 도봉구,N,,11320,개인,41000,2025-11-18,1988,쌍문동,삼익세라믹,58.77,56,6
36,,개인,중개거래,서울 도봉구,N,,11320,개인,37800,2025-11-18,1996,도봉동,서원,49.77,641,16
37,,개인,중개거래,서울 도봉구,N,,11320,개인,55000,2025-11-19,1993,쌍문동,한양7,84.92,158,14
38,,개인,중개거래,서울 도봉구,N,,11320,개인,130000,2025-11-19,1997,창동,동아청솔,134.94,808,15
39,,개인,중개거래,"경기 남양주시, 서울 도봉구",N,,11320,개인,96700,2025-11-19,1997,창동,동아청솔,84.97,808,6
40,,개인,중개거래,서울 도봉구,N,,11320,개인,56000,2025-11-19,2001,창동,성원상떼빌,59.75,743-15,8
41,,개인,중개거래,서울 도봉구,N,,11320,개인,99000,2025-11-19,1997,창동,동아청솔,84.97,808,2
42,,개인,중개거래,서울 도봉구,N,,11320,개인,61500,2025-11-19,1995,도봉동,한신,84.94,30-1,17
43,,개인,중개거래,서울 도봉구,N,,11320,개인,54000,2025-11-19,1990,창동,창동주공3단지(해등마을),45.77,347,7
44,,개인,중개거래,서울 도봉구,N,,11320,개인,72800,2025-11-20,1997,창동,동아청솔,59.445,808,8
45,,개인,중개거래,서울 도봉구,N,,11320,개인,53000,2025-11-20,1996,쌍문동,극동아파트,84.53,721,7
46,,개인,중개거래,서울 도봉구,N,,11320,개인,39950,2025-11-20,1986,방학동,신동아아파트1,62.22,271-1,4
47,,개인,중개거래,서울 도봉구,N,,11320,개인,55500,2025-11-20,1993,방학동,우성아파트2,84.98,508,10
48,,개인,중개거래,서울 도봉구,N,,11320,개인,69000,2025-11-20,2003,창동,태영데시앙,84.995,819,1
49,,개인,중개거래,서울 도봉구,N,,11320,개인,34000,2025-11-20,1996,도봉동,서원,49.77,641,7
50,,개인,중개거래,서울 도봉구,N,,11320,개인,49300,2025-11-20,1991,창동,창동주공4단지,49.94,373,6
51,,개인,중개거래,서울 도봉구,N,,11320,개인,34000,2025-11-20,2003,창동,황지,59.66,661-89,4
52,,개인,중개거래,서울 도봉구,N,,11320,개인,99000,2025-11-20,2002,방학동,방학동삼성래미안1,118.381,720-18,9
53,,개인,중개거래,서울 도봉구,N,,11320,개인,90200,2025-11-20,1997,창동,쌍용,84.76,807,22
54,,개인,중개거래,"경기 의정부시, 서울 도봉구",N,,11320,개인,22000,2025-11-20,1988,쌍문동,한양2,28.71,59,9
