,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 용산구,N,,11170,개인,168000,2025-11-01,2007,문배동,CJ나인파크,97.24,24-6,16
1,,개인,중개거래,서울 용산구,N,,11170,개인,232000,2025-11-01,1998,이촌동,강촌,59.12,402,13
2,,개인,중개거래,서울 용산구,N,,11170,개인,219000,2025-11-01,2007,한강로1가,대우월드마크용산,133.085,64,9
3,,개인,중개거래,서울 용산구,N,,11170,개인,309997,2025-11-01,1974,이촌동,현대맨숀,83.3,301-160,15
4,,개인,중개거래,서울 용산구,N,,11170,개인,310000,2025-11-01,1998,이촌동,강촌,106.645,402,7
5,,개인,중개거래,"서울 마포구, 서울 용산구",N,,11170,개인,107000,2025-11-01,2001,산천동,한강타운,59.69,204,7
6,102,개인,중개거래,서울 용산구,N,25.12.18,11170,개인,193000,2025-11-02,2018,효창동,용산케이씨씨스위첸,84.91,286,4
7,,개인,중개거래,서울 용산구,N,,11170,개인,145000,2025-11-02,1971,원효로4가,풍전,100.46,109-4,5
8,,개인,중개거래,서울 용산구,N,,11170,개인,380000,2025-11-02,1992,보광동,신동아1,84.93,448,12
9,,개인,중개거래,서울 용산구,N,,11170,개인,250000,2025-11-02,1998,이촌동,한가람,59.88,404,8
10,,개인,중개거래,서울 용산구,N,,11170,개인,155000,2025-11-02,2001,도원동,삼성래미안,59.94,23,22
11,,개인,중개거래,서울 용산구,N,,11170,개인,199000,2025-11-03,1997,이촌동,현대한강,84.88,400,1
12,,개인,중개거래,서울 용산구,N,,11170,개인,78000,2025-11-03,2014,원효로1가,용산더프라임,38.61,41,4
13,,개인,중개거래,서울 용산구,N,,11170,개인,380000,2025-11-03,1992,보광동,신동아1,84.93,448,8
14,,개인,중개거래,"경기 안양시 동안구, 서울 용산구",N,,11170,개인,170000,2025-11-03,1977,원효로4가,산호,45.12,118-16,1
15,,개인,중개거래,서울 용산구,N,,11170,개인,250000,2025-11-04,1994,이촌동,대림,84.78,395,18
16,,개인,중개거래,서울 용산구,N,,11170,개인,103000,2025-11-04,1981,용산동2가,한신,78.43,47-17,6
17,,개인,중개거래,"서울 광진구, 서울 용산구",N,,11170,개인,409980,2025-11-04,1974,이촌동,현대맨숀,173.16,301-160,6
18,,개인,중개거래,서울 용산구,N,,11170,개인,111000,2025-11-05,2004,문배동,삼라마이다스빌2,84.84,40-19,6
19,1,개인,중개거래,서울 용산구,N,25.12.01,11170,개인,94000,2025-11-05,1980,후암동,후암미주,64.26,423-1,3
20,,개인,중개거래,서울 용산구,N,,11170,개인,167500,2025-11-05,2015,문배동,용산KCC웰츠타워,97.83,11-10,10
21,,개인,중개거래,서울 용산구,N,,11170,개인,270980,2025-11-05,1974,이촌동,현대맨숀,83.3,301-160,3
22,,개인,중개거래,서울 용산구,N,,11170,개인,280000,2025-11-05,2003,한남동,한남힐스테이트,131.913,807,7
23,,개인,중개거래,서울 성동구,N,,11170,개인,107500,2025-11-06,1970,한남동,시범,59.5,1-349,4
