,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 은평구,N,,11380,개인,66000,2025-11-01,2003,수색동,e편한세상 수색 에코포레,59.895,415-1,3
1,,개인,중개거래,서울 은평구,N,25.12.17,11380,개인,41500,2025-11-03,2013,불광동,갤럭시타운,44.85,281-81,8
2,,법인,중개거래,서울 은평구,N,,11380,개인,11300,2025-11-03,2014,대조동,대경홈타운,13.79,9-45,6
3,1,개인,중개거래,서울 은평구,N,25.11.28,11380,개인,12000,2025-11-03,2013,대조동,제이타워4,12.2,9-50,9
4,,개인,직거래,,N,,11380,개인,57000,2025-11-04,2024,응암동,아르지움주상복합,49.76,577-7,13
5,101,개인,중개거래,서울 은평구,N,25.11.20,11380,개인,39000,2025-11-04,2001,불광동,남해그린힐,59.87,632,5
6,101,개인,중개거래,서울 은평구,N,25.11.13,11380,개인,42000,2025-11-05,1996,신사동,신성수정,59.67,358,12
7,,개인,직거래,,N,,11380,법인,31800,2025-11-06,2021,불광동,연신내역트리플라101동,22.91,484-63,4
8,,개인,중개거래,서울 은평구,N,,11380,개인,65800,2025-11-06,2008,응암동,응암푸르지오,59.58,176,6
9,,개인,중개거래,서울 은평구,N,,11380,개인,97500,2025-11-06,2018,응암동,백련산힐스테이트4차,84.98,764,9
10,,개인,직거래,,N,25.12.12,11380,개인,46800,2025-11-07,2024,갈현동,효민아크로뷰,29.92,395-2,20
11,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,9
12,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,9
13,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,8
14,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,7
15,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,7
16,,개인,중개거래,서울 은평구,N,,11380,개인,44500,2025-11-07,2004,역촌동,두성아파트,75.6,219,5
17,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,6
18,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,5
19,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,8
20,,법인,직거래,,N,25.11.14,11380,법인,53000,2025-11-07,2023,대조동,루체하임,48.08,15-49,6
21,,개인,중개거래,서울 은평구,N,,11380,개인,124500,2025-11-07,2019,녹번동,래미안베라힐즈,84.98,283,11
22,,개인,중개거래,서울 은평구,N,,11380,개인,140000,2025-11-07,2023,증산동,DMC센트럴자이(2단지),59.97,258,8
23,1,개인,중개거래,서울 은평구,N,25.11.10,11380,개인,9900,2025-11-07,2012,대조동,제이타워1,12.23,4-12,8
24,,개인,중개거래,서울 은평구,N,,11380,개인,73000,2025-11-07,2019,신사동,응암역효성해링턴플레이스,59.99,372,5
25,에이,개인,중개거래,서울 은평구,N,25.11.12,11380,개인,79500,2025-11-07,1987,수색동,"수정가,나동",65.34,17-9,5
26,,개인,중개거래,서울 은평구,N,,11380,개인,41000,2025-11-08,2014,응암동,밝은문,43.82,427-113,7
27,,개인,중개거래,서울 은평구,N,,11380,개인,103500,2025-11-08,2015,녹번동,북한산푸르지오,84.99,281,5
28,,개인,중개거래,서울 은평구,N,,11380,개인,111000,2025-11-08,2021,수색동,DMC롯데캐슬더퍼스트,59.96,417,16
29,,개인,중개거래,서울 은평구,N,,11380,개인,99500,2025-11-08,2011,불광동,북한산힐스테이트7차,59.981,643,16
30,,개인,중개거래,서울 은평구,N,,11380,개인,164700,2025-11-08,2023,증산동,DMC센트럴자이(3단지),84.96,258,13
31,,개인,직거래,,N,,11380,개인,55000,2025-11-09,2017,진관동,은평뉴타운솔하임,45.044,60,3
32,,개인,중개거래,서울 은평구,N,,11380,개인,45500,2025-11-09,1996,신사동,신성수정,59.63,358,3
33,,개인,중개거래,서울 은평구,N,,11380,개인,105000,2025-11-09,2021,수색동,DMC롯데캐슬더퍼스트,59.96,417,11
34,,개인,중개거래,서울 은평구,N,,11380,개인,76000,2025-11-10,2011,응암동,백련산힐스테이트1차,59.63,759,13
35,,개인,중개거래,서울 은평구,N,,11380,개인,55700,2025-11-10,1996,갈현동,명성,111.28,521-2,2
36,,개인,중개거래,"서울 서대문구, 서울 은평구",N,,11380,개인,12000,2025-11-10,2013,대조동,제이타워4,12.16,9-50,9
37,,개인,중개거래,서울 은평구,N,,11380,개인,36300,2025-11-10,1997,신사동,형진,59.78,19-84,3
38,,개인,중개거래,서울 은평구,N,,11380,개인,140000,2025-11-11,2021,응암동,녹번역e편한세상캐슬,84.92,769,16
39,,개인,중개거래,서울 은평구,N,,11380,개인,83000,2025-11-11,2011,응암동,백련산힐스테이트1차,84.37,759,2
40,,개인,직거래,,N,,11380,법인,61800,2025-11-11,2024,갈현동,대경아르체,42.48,550,6
41,,개인,중개거래,서울 은평구,N,,11380,개인,95000,2025-11-11,2018,응암동,백련산힐스테이트4차,84.98,764,8
42,,개인,중개거래,서울 은평구,N,,11380,개인,127200,2025-11-11,2019,녹번동,래미안베라힐즈,84.95,283,10
43,,개인,중개거래,서울 은평구,N,,11380,개인,58000,2025-11-11,1996,신사동,신성수정,84.8,358,14
44,,개인,중개거래,서울 은평구,N,,11380,개인,63500,2025-11-12,2002,녹번동,녹번JR아파트,59.866,280-1,17
45,,개인,중개거래,서울 은평구,N,,11380,개인,91000,2025-11-12,2020,응암동,백련산해모로,74.94,768,7
46,,개인,중개거래,서울 은평구,N,,11380,개인,127000,2025-11-12,2009,진관동,마고정3단지센트레빌(310~322동)BL2-3,134.96,107,3
47,,개인,중개거래,서울 은평구,N,,11380,개인,46000,2025-11-12,2011,응암동,다원(107-4),57.23,107-4,4
48,,개인,중개거래,서울 은평구,N,,11380,개인,123500,2025-11-13,2019,녹번동,힐스테이트녹번,84.9,282,9
49,,개인,중개거래,서울 은평구,N,,11380,개인,59000,2025-11-13,1999,불광동,대호아파트,59.7,629,15
50,,개인,중개거래,서울 은평구,N,,11380,개인,110500,2025-11-13,2019,녹번동,래미안베라힐즈,59.98,283,5
51,,개인,중개거래,서울 은평구,N,,11380,개인,31500,2025-11-13,2012,대조동,미래하임,32.79,6-17,14
52,,개인,중개거래,"경기 하남시, 서울 은평구",N,,11380,개인,93000,2025-11-13,2021,응암동,백련산파크자이,84.901,766,4
53,,개인,중개거래,서울 은평구,N,,11380,개인,84500,2025-11-13,2011,응암동,백련산힐스테이트1차,84.49,759,9
54,,개인,중개거래,서울 은평구,N,,11380,개인,78000,2025-11-14,2010,불광동,북한산래미안아파트(1단지),59.9932,638,1
55,,개인,중개거래,서울 은평구,N,,11380,개인,78000,2025-11-14,2003,수색동,e편한세상 수색 에코포레,84.951,415-1,15
56,,개인,직거래,,N,,11380,개인,55200,2025-11-14,2024,응암동,아르지움주상복합,50.42,577-7,9
57,,개인,중개거래,서울 은평구,N,,11380,개인,45000,2025-11-14,2015,신사동,미래하임(아파트),44.64,229-24,6
58,,개인,중개거래,서울 은평구,N,,11380,개인,57000,2025-11-14,1997,신사동,현대1,84.17,359,9
59,,개인,중개거래,서울 은평구,N,,11380,개인,76500,2025-11-14,2010,불광동,북한산현대힐스테이트3차아파트,59.99,641,2
60,,개인,중개거래,"서울 서대문구, 서울 은평구",N,,11380,개인,97000,2025-11-14,2011,응암동,백련산힐스테이트1차,114.9,759,6
61,,개인,중개거래,서울 은평구,N,,11380,개인,53700,2025-11-14,1998,구산동,갈현현대,84.83,382,8
62,,개인,중개거래,서울 은평구,N,,11380,개인,56000,2025-11-14,1987,신사동,미성,63.53,140-1,10
63,,개인,중개거래,서울 은평구,N,,11380,개인,63000,2025-11-15,2004,신사동,이랜드타운아파트,84.9287,367,14
64,,개인,중개거래,서울 은평구,N,,11380,개인,59000,2025-11-15,2004,구산동,갈현1단지e-편한세상,84.618,547,2
65,,개인,중개거래,"서울 마포구, 서울 은평구",N,,11380,개인,115000,2025-11-15,2020,응암동,백련산에스케이뷰아이파크,84.9039,767,9
66,,개인,중개거래,"서울 서대문구, 서울 은평구",N,,11380,개인,94000,2025-11-15,2021,응암동,백련산파크자이,84.779,766,2
67,,개인,중개거래,서울 은평구,N,,11380,개인,123500,2025-11-15,2019,녹번동,힐스테이트녹번,84.898,282,3
68,,개인,중개거래,"서울 서대문구, 서울 은평구",N,,11380,개인,115000,2025-11-15,2021,응암동,녹번역e편한세상캐슬,59.96,769,9
69,,개인,중개거래,서울 은평구,N,,11380,개인,120000,2025-11-15,2021,응암동,녹번역e편한세상캐슬,59.96,769,10
70,,개인,중개거래,서울 은평구,N,,11380,개인,109000,2025-11-16,2015,녹번동,북한산푸르지오,84.99,281,10
71,,개인,중개거래,서울 은평구,N,,11380,개인,109500,2025-11-16,2015,녹번동,북한산푸르지오,84.99,281,17
72,,개인,중개거래,서울 은평구,N,,11380,개인,53700,2025-11-16,1994,신사동,현대2,84.83,355,2
73,,개인,중개거래,서울 은평구,N,,11380,개인,50000,2025-11-17,2015,신사동,미래하임(아파트),44.64,229-24,4
74,,개인,중개거래,"경기 고양시 덕양구, 서울 서대문구",N,,11380,개인,93000,2025-11-17,2018,불광동,불광롯데캐슬,59.99,645,12
75,,개인,중개거래,서울 은평구,N,,11380,개인,73000,2025-11-17,1998,응암동,응암동금호,84.93,739,4
76,,개인,중개거래,서울 은평구,N,,11380,개인,110000,2025-11-17,2019,녹번동,래미안베라힐즈,59.98,283,7
77,,개인,중개거래,서울 은평구,N,,11380,개인,51000,2025-11-17,1998,갈현동,우남,84.92,540,7
78,,개인,중개거래,서울 은평구,N,,11380,개인,60900,2025-11-18,2004,구산동,대림e-편한세상2,84.618,546,2
79,108,개인,직거래,,N,25.12.05,11380,개인,63000,2025-11-18,2022,응암동,힐스테이트녹번역,51.68,770,4
80,,개인,중개거래,서울 은평구,N,,11380,개인,57000,2025-11-18,2003,역촌동,한국리치빌,79.8216,231,15
81,,개인,중개거래,서울 은평구,N,,11380,개인,87000,2025-11-18,2008,진관동,상림마을6단지푸르지오(615~621동)BL1-6,101.93,1,10
82,,개인,중개거래,서울 은평구,N,,11380,개인,88000,2025-11-18,2011,응암동,백련산힐스테이트2차,84.59,760,9
83,,개인,중개거래,서울 은평구,N,,11380,개인,73700,2025-11-18,1988,불광동,라이프미성,66.7,248,7
84,,개인,직거래,,N,,11380,법인,110000,2025-11-18,2023,수색동,DMC파인시티자이,59.98,431,11
85,1,개인,직거래,,N,25.12.12,11380,법인,30000,2025-11-19,2013,신사동,예성그린,59.5,242,7
86,,개인,중개거래,서울 은평구,N,,11380,개인,54000,2025-11-19,1998,구산동,갈현현대,84.83,382,9
87,,개인,중개거래,서울 은평구,N,,11380,개인,129700,2025-11-19,2019,녹번동,힐스테이트녹번,84.898,282,12
88,,개인,중개거래,서울 은평구,N,,11380,개인,84000,2025-11-19,2020,응암동,백련산해모로,59.93,768,6
89,,개인,중개거래,서울 은평구,N,,11380,개인,150000,2025-11-19,2023,증산동,DMC센트럴자이(2단지),74.78,258,17
90,,개인,중개거래,서울 은평구,N,,11380,개인,73000,2025-11-19,2019,신사동,응암역효성해링턴플레이스,59.94,372,6
91,,개인,중개거래,서울 은평구,N,,11380,개인,44000,2025-11-20,1991,구산동,동익파크2동(355-98),84.95,355-98,5
92,,개인,중개거래,서울 은평구,N,,11380,개인,91000,2025-11-20,2020,응암동,백련산에스케이뷰아이파크,59.8545,767,6
93,,개인,중개거래,서울 은평구,N,,11380,개인,100000,2025-11-20,2020,응암동,백련산해모로,84.99,768,14
94,,개인,중개거래,서울 은평구,N,,11380,개인,71850,2025-11-20,1993,녹번동,대림아파트(276),84.68,276,11
95,,개인,중개거래,서울 은평구,N,,11380,개인,94500,2025-11-20,2010,불광동,북한산래미안아파트(2단지),84.9929,637,5
96,,개인,중개거래,서울 은평구,N,,11380,개인,86000,2025-11-21,2010,불광동,북한산현대힐스테이트3차아파트,59.99,641,15
97,,개인,중개거래,서울 은평구,N,,11380,개인,150000,2025-11-21,2023,수색동,DMCSKVIEW,84.9926,418,11
98,,개인,중개거래,서울 은평구,N,,11380,개인,76000,2025-11-21,2011,응암동,백련산힐스테이트2차,59.63,760,6
99,,개인,중개거래,서울 은평구,N,,11380,개인,72000,2025-11-21,2003,수색동,DMC 진흥,78.2853,416-1,3
100,,개인,중개거래,서울 은평구,N,,11380,개인,93500,2025-11-21,2020,응암동,백련산에스케이뷰아이파크,59.9335,767,12
101,,개인,중개거래,서울 은평구,N,,11380,개인,148000,2025-11-21,2023,수색동,DMCSKVIEW,84.9926,418,20
102,,개인,중개거래,서울 은평구,N,,11380,개인,98000,2025-11-21,2018,응암동,백련산힐스테이트4차,84.98,764,4
103,,개인,중개거래,"경기 고양시 덕양구, 서울 은평구",N,,11380,개인,102000,2025-11-21,2010,진관동,구파발9단지래미안(916~928동)BL3-2,101.92,25,2
104,,개인,중개거래,서울 은평구,N,,11380,개인,98000,2025-11-22,2021,응암동,백련산파크자이,84.901,766,11
105,,개인,중개거래,서울 은평구,N,,11380,개인,126500,2025-11-22,2021,수색동,DMC롯데캐슬더퍼스트,84.93,417,13
106,,개인,중개거래,서울 은평구,N,,11380,개인,72500,2025-11-22,2011,응암동,백련산힐스테이트2차,59.63,760,2
107,,개인,중개거래,서울 은평구,N,,11380,개인,104000,2025-11-22,2021,수색동,DMC롯데캐슬더퍼스트,59.96,417,3
