,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 종로구,N,,11110,개인,23500,2025-11-02,2014,연건동,이화에수풀,19.86,195-10,7
1,,개인,중개거래,서울 종로구,N,,11110,개인,64000,2025-11-07,1992,창신동,창신쌍용1,54.7,702,3
2,,개인,중개거래,서울 종로구,N,,11110,개인,87000,2025-11-11,2017,교북동,경희궁자이(4단지),37.2635,126,7
3,,개인,중개거래,서울 종로구,N,,11110,개인,57000,2025-11-13,1981,당주동,롯데미도파광화문빌딩,65.82,145,9
4,,개인,중개거래,서울 종로구,N,,11110,개인,12250,2025-11-13,2013,숭인동,종로중흥S클래스,17.811,202-3,9
5,,개인,중개거래,서울 종로구,N,,11110,개인,12600,2025-11-13,2013,숭인동,종로중흥S클래스,19.466,202-3,8
6,,개인,중개거래,서울 종로구,N,,11110,개인,109500,2025-11-15,2004,숭인동,롯데캐슬천지인,84.95,76,8
7,,개인,중개거래,"서울 강서구, 서울 서대문구",N,,11110,개인,130000,2025-11-18,2015,무악동,인왕산2차아이파크,84.068,88,12
8,,개인,중개거래,서울 종로구,N,,11110,개인,66000,2025-11-18,1993,창신동,창신쌍용2,79.87,703,3
9,,개인,중개거래,서울 종로구,N,,11110,개인,151470,2025-11-19,2000,무악동,현대,114.9,82,14
10,,개인,중개거래,서울 성북구,N,,11110,개인,65000,2025-11-20,1993,창신동,창신쌍용2,64.66,703,8
11,,개인,중개거래,서울 종로구,N,,11110,개인,11000,2025-11-20,2013,숭인동,종로동광모닝스카이,15.855,1421-1,11
12,104,개인,직거래,,N,25.11.28,11110,개인,151000,2025-11-21,2008,사직동,광화문스페이스본(101동~105동),158.99,9,3
13,,개인,중개거래,서울 종로구,N,,11110,개인,113990,2025-11-24,2000,무악동,현대,60,82,6
14,,개인,중개거래,서울 종로구,N,,11110,개인,105000,2025-11-26,1999,창신동,두산,84.9,232,7
15,,개인,중개거래,서울 종로구,N,,11110,개인,55000,2025-11-27,1981,당주동,롯데미도파광화문빌딩,65.79,145,7
16,,개인,직거래,,N,,11110,개인,39400,2025-11-28,2005,수송동,로얄팰리스스위트,39.67,85,6
17,,개인,중개거래,서울 종로구,N,,11110,개인,81000,2025-11-29,1999,창신동,두산,59.95,232,1
18,,개인,중개거래,서울 종로구,N,,11110,개인,88000,2025-11-29,2017,교북동,경희궁자이(4단지),33.982,126,6
