,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 강북구,N,,11305,개인,83700,2025-12-01,2019,미아동,꿈의숲해링턴플레이스,59.36,1369,5
1,,개인,중개거래,서울 강북구,N,,11305,개인,83750,2025-12-01,2019,미아동,꿈의숲해링턴플레이스,59.36,1369,4
2,,개인,중개거래,서울 강북구,N,,11305,개인,46700,2025-12-03,1997,번동,현대(148-494),84.9,148-494,5
3,,개인,중개거래,"서울 강북구, 서울 성북구",N,,11305,개인,70000,2025-12-03,2003,미아동,삼각산아이원,84.705,1357,22
4,,개인,중개거래,서울 강북구,N,,11305,개인,69800,2025-12-03,2004,미아동,에스케이북한산시티,84.76,1353,19
5,,개인,직거래,,N,,11305,개인,89000,2025-12-04,2019,미아동,꿈의숲해링턴플레이스,84.67,1369,3
6,,개인,중개거래,서울 강북구,N,,11305,개인,59000,2025-12-04,1998,번동,삼성,84.96,470-1,18
7,,개인,중개거래,서울 강북구,N,,11305,개인,61500,2025-12-05,2004,미아동,에스케이북한산시티,59.98,1353,4
8,,개인,중개거래,서울 강북구,N,,11305,개인,56000,2025-12-05,2004,미아동,벽산라이브파크,59.67,1354,17
9,,개인,중개거래,서울 강북구,N,,11305,개인,56000,2025-12-05,2003,번동,해모로아파트,84.93,139,7
10,,개인,중개거래,서울 강북구,N,,11305,개인,74500,2025-12-05,2011,미아동,두산위브트레지움,59.82,811,3
11,,개인,중개거래,서울 강북구,N,,11305,개인,71000,2025-12-05,2003,미아동,삼각산아이원,84.705,1357,2
12,,개인,중개거래,서울 강북구,N,,11305,개인,55300,2025-12-05,1992,번동,번동한양아파트,84.67,133-1,4
13,,개인,중개거래,서울 강북구,N,,11305,개인,72500,2025-12-06,2003,미아동,삼각산아이원,84.705,1357,14
14,,개인,중개거래,서울 강북구,N,,11305,개인,74700,2025-12-06,2011,미아동,두산위브트레지움,59.54,811,6
15,,개인,중개거래,서울 강북구,N,,11305,개인,84000,2025-12-06,2010,미아동,래미안트리베라1단지,59.6,813,16
16,,개인,중개거래,서울 강북구,N,,11305,개인,83900,2025-12-06,2011,미아동,두산위브트레지움,84.99,811,15
17,,개인,중개거래,서울 강북구,N,,11305,개인,65000,2025-12-06,2004,미아동,벽산라이브파크,84.89,1354,13
18,,개인,중개거래,서울 강북구,N,,11305,개인,69800,2025-12-06,2004,미아동,벽산라이브파크,114.68,1354,8
19,,개인,중개거래,서울 강북구,N,,11305,개인,79500,2025-12-06,2010,미아동,삼성래미안트리베라2단지,59.38,812,13
20,,개인,중개거래,서울 강북구,N,,11305,개인,52000,2025-12-06,1992,수유동,극동,84.99,553-61,12
21,,개인,중개거래,서울 강북구,N,,11305,개인,61500,2025-12-08,2004,미아동,에스케이북한산시티,59.98,1353,10
22,,개인,중개거래,서울 강북구,N,,11305,개인,55300,2025-12-08,2004,미아동,벽산라이브파크,59.67,1354,15
23,,개인,중개거래,서울 강북구,N,,11305,개인,79100,2025-12-08,2004,미아동,에스케이북한산시티,114.85,1353,3
24,,개인,중개거래,서울 강북구,N,,11305,개인,49000,2025-12-09,1993,수유동,수유벽산1차,63.78,205,11
25,,개인,중개거래,서울 강북구,N,,11305,개인,78000,2025-12-09,2017,미아동,꿈의숲롯데캐슬,59.99,4,1
26,,개인,중개거래,서울 강북구,N,,11305,개인,79300,2025-12-10,2010,미아동,래미안트리베라1단지,59.6,813,8
27,,개인,중개거래,서울 강북구,N,,11305,개인,92000,2025-12-10,2010,미아동,래미안트리베라1단지,84.97,813,6
28,,개인,중개거래,서울 강북구,N,,11305,개인,86000,2025-12-11,2003,미아동,경남아너스빌(1356-0),114.922,1356,18
29,,개인,중개거래,서울 강북구,N,,11305,개인,95000,2025-12-13,2006,미아동,미아동부센트레빌,84.93,474,13
30,,개인,중개거래,서울 강북구,N,,11305,개인,92000,2025-12-16,2010,미아동,래미안트리베라1단지,84.97,813,17
31,,개인,중개거래,서울 강북구,N,,11305,개인,57500,2025-12-16,2004,미아동,벽산라이브파크,60,1354,3
