,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 금천구,N,25.12.15,11530,개인,51000,2025-12-01,1998,가리봉동,효성,84.87,139,17
1,,개인,중개거래,서울 구로구,N,,11530,개인,81000,2025-12-01,2006,개봉동,개봉동현대아이파크,59.99,489,13
2,,개인,중개거래,서울 구로구,N,,11530,개인,82000,2025-12-01,2014,개봉동,개봉푸르지오,71.86,492,18
3,,개인,중개거래,서울 동작구,N,,11530,개인,55000,2025-12-01,1992,구로동,구로현대,84.57,1256,10
4,,개인,중개거래,서울 구로구,N,,11530,개인,55800,2025-12-01,1987,구로동,중앙하이츠,59.99,685-124,4
5,,개인,중개거래,서울 구로구,N,25.12.02,11530,개인,10000,2025-12-02,2012,구로동,비즈트위트레인보우,15.17,44-5,6
6,,개인,중개거래,서울 구로구,N,,11530,개인,104000,2025-12-02,2001,신도림동,대림3,84.51,691,2
7,,개인,중개거래,서울 구로구,N,,11530,개인,102500,2025-12-02,1999,신도림동,대림1,59.93,642,17
8,,개인,중개거래,서울 구로구,N,,11530,개인,82900,2025-12-02,1999,구로동,신도림롯데아파트,59.68,1263,3
9,,개인,중개거래,서울 구로구,N,,11530,개인,55700,2025-12-02,2005,오류동,우림필유,59.95,348,15
10,,개인,중개거래,서울 구로구,N,,11530,개인,72500,2025-12-02,1999,개봉동,한마을,59.57,476,19
11,,개인,중개거래,서울 구로구,N,,11530,개인,44500,2025-12-02,1999,개봉동,대상,59.93,477,13
12,,개인,중개거래,서울 구로구,N,,11530,개인,64500,2025-12-03,2009,오류동,서해그랑블,84.71,351,7
13,,개인,중개거래,서울 구로구,N,,11530,개인,67000,2025-12-03,1989,고척동,서울가든,84.99,141-1,6
14,,개인,중개거래,서울 구로구,N,,11530,개인,44500,2025-12-03,1996,고척동,우성꿈동산,65.16,321,1
15,,개인,중개거래,서울 구로구,N,,11530,개인,83000,2025-12-03,2011,고척동,고척월드메르디앙,84.93,343,14
16,,개인,중개거래,서울 구로구,N,,11530,개인,38900,2025-12-03,2004,개봉동,화신,59.85,486,5
17,,개인,중개거래,서울 구로구,N,,11530,개인,130000,2025-12-03,2001,신도림동,대림2,84.95,642,6
18,,개인,중개거래,서울 구로구,N,,11530,개인,60000,2025-12-03,1987,고척동,"우성,현대아파트",68.7,76-55,11
19,,개인,중개거래,서울 구로구,N,,11530,개인,74000,2025-12-03,2006,구로동,구로에스케이뷰,84.945,567-4,8
20,,개인,중개거래,서울 구로구,N,,11530,개인,85500,2025-12-03,2019,항동,한양수자인에듀힐즈,84.9544,241,13
21,,개인,중개거래,서울 구로구,N,,11530,개인,65000,2025-12-03,2000,개봉동,한진,84.96,478,10
22,,개인,중개거래,"서울 구로구, 서울 서초구",N,,11530,개인,112000,2025-12-03,2000,신도림동,동아2,59.595,644,4
23,,개인,중개거래,서울 구로구,N,,11530,개인,62200,2025-12-03,1996,구로동,새솔금호,84.89,108-2,23
24,,개인,중개거래,서울 구로구,N,,11530,개인,147500,2025-12-04,1999,신도림동,동아1,169.199,643,13
25,,개인,중개거래,서울 구로구,N,,11530,개인,95500,2025-12-04,2003,고척동,벽산,84.878,334,12
26,,개인,중개거래,서울 구로구,N,,11530,개인,71000,2025-12-04,2011,천왕동,천왕이펜하우스5단지,84.98,277,15
27,,개인,중개거래,"경기 용인시 수지구, 서울 구로구",N,,11530,개인,92500,2025-12-04,1992,신도림동,우성1,73.18,312-17,4
28,,개인,중개거래,"경기 시흥시, 서울 구로구",N,,11530,개인,50000,2025-12-04,2003,구로동,미래타워,78.23,1272,7
29,,개인,중개거래,서울 구로구,N,,11530,개인,39300,2025-12-04,1995,오류동,라인,59.52,334,2
30,,개인,중개거래,서울 구로구,N,,11530,개인,39700,2025-12-05,2018,개봉동,한양아이클래스구로,47.74,493,11
31,,개인,중개거래,서울 구로구,N,,11530,개인,83000,2025-12-05,1994,신도림동,우성5,59.91,638,11
32,,개인,중개거래,서울 구로구,N,,11530,개인,45000,2025-12-05,2001,고척동,삼익(2단지),59.82,331,4
33,,개인,중개거래,"경기 부천시 소사구, 서울 구로구",N,,11530,개인,64400,2025-12-05,1987,구로동,중앙하이츠,79.97,685-124,1
34,,개인,중개거래,서울 구로구,N,,11530,개인,109500,2025-12-05,2001,신도림동,대림2,59.88,642,4
35,,개인,중개거래,서울 구로구,N,,11530,개인,109000,2025-12-05,1993,신도림동,우성3,84.75,637,10
36,,개인,중개거래,서울 구로구,N,,11530,개인,120000,2025-12-05,2000,구로동,신도림태영타운,84.87,1267,27
37,,개인,중개거래,서울 구로구,N,,11530,개인,142000,2025-12-05,2000,신도림동,동아2,84.908,644,17
38,,개인,중개거래,서울 구로구,N,,11530,개인,60000,2025-12-06,1998,오류동,동부골든,105.21,338,6
39,,개인,중개거래,서울 구로구,N,,11530,개인,77000,2025-12-06,1999,개봉동,한마을,59.57,476,9
40,,개인,중개거래,서울 구로구,N,,11530,개인,54300,2025-12-06,2002,오류동,한신플러스타운,59.91,341,19
41,,개인,중개거래,서울 구로구,N,,11530,개인,50500,2025-12-06,2006,구로동,구로두산위브,36.88,1278,7
42,,개인,중개거래,서울 구로구,N,,11530,개인,93000,2025-12-06,2003,고척동,벽산,84.878,334,8
43,,개인,중개거래,서울 구로구,N,,11530,개인,90000,2025-12-06,2014,개봉동,개봉푸르지오,84.94,492,22
44,,개인,중개거래,서울 구로구,N,,11530,개인,109000,2025-12-07,2001,신도림동,대림2,59.88,642,6
45,,개인,중개거래,서울 구로구,N,,11530,개인,120400,2025-12-07,2000,신도림동,동아3,60,645,12
46,,개인,중개거래,서울 구로구,N,,11530,개인,63000,2025-12-08,2000,개봉동,한진,84.96,478,7
47,,개인,중개거래,서울 구로구,N,,11530,개인,99000,2025-12-08,1999,개봉동,한마을,123.46,476,9
