,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 노원구,N,,11350,개인,123000,2025-12-01,1993,중계동,청구(366),115.47,366,1
1,,개인,중개거래,서울 노원구,N,,11350,개인,50000,2025-12-01,1992,중계동,주공5,44.94,359-1,11
2,,개인,중개거래,서울 노원구,N,,11350,개인,139000,2025-12-01,1993,중계동,대림벽산(363),141.45,363,6
3,,개인,중개거래,서울 강북구,N,,11350,개인,32000,2025-12-01,1989,상계동,상계주공14(고층),45.55,626,4
4,,개인,중개거래,서울 노원구,N,,11350,개인,62000,2025-12-01,1999,상계동,상계현대3차,84.96,1063,6
5,,개인,중개거래,서울 노원구,N,,11350,개인,98000,2025-12-01,2016,상계동,중계센트럴파크,84.75,1322,14
6,,개인,중개거래,서울 노원구,N,,11350,개인,53500,2025-12-01,1998,중계동,중앙하이츠,59.46,161-1,5
7,,개인,중개거래,서울 노원구,N,,11350,개인,65000,2025-12-01,1995,공릉동,삼익포레스트아파트,84.6,737,7
8,,개인,중개거래,서울 노원구,N,,11350,개인,54000,2025-12-01,1989,중계동,롯데(505),54.48,505,14
9,,개인,중개거래,서울 노원구,N,,11350,개인,48500,2025-12-01,1994,공릉동,시영3차(라이프)아파트,49.5,715,15
10,,개인,중개거래,서울 노원구,N,,11350,개인,74500,2025-12-01,1989,중계동,경남,74.2,505,15
11,,개인,중개거래,서울 노원구,N,,11350,개인,78000,2025-12-01,1996,중계동,염광,84.5,445,4
12,,개인,중개거래,서울 노원구,N,,11350,개인,34600,2025-12-01,1998,상계동,은빛1단지,39.69,1255,3
13,,개인,중개거래,서울 노원구,N,,11350,개인,110000,2025-12-02,2020,월계동,월계센트럴아이파크,84.99,951,12
14,,개인,중개거래,서울 노원구,N,,11350,개인,64500,2025-12-02,1999,중계동,양지마을(대림)2,59.4,588,4
15,,개인,중개거래,"서울 노원구, 서울 도봉구",N,,11350,개인,59000,2025-12-02,1993,상계동,상계1차현대아파트,83.92,1055,10
16,,개인,중개거래,서울 노원구,N,,11350,개인,51500,2025-12-02,1989,중계동,경남,50.97,505,4
17,,개인,중개거래,서울 노원구,N,,11350,개인,51000,2025-12-02,1994,공릉동,삼익4단지아파트,49.5,714,13
18,,개인,중개거래,서울 노원구,N,,11350,개인,85000,2025-12-02,2006,월계동,롯데캐슬루나,84.9852,947,12
19,,개인,중개거래,서울 노원구,N,,11350,개인,105000,2025-12-02,2022,공릉동,태릉해링턴플레이스,74.96,758,18
20,,개인,중개거래,서울 노원구,N,,11350,개인,71000,2025-12-02,2021,상계동,노원센트럴푸르지오,48.373,1355,6
21,,개인,중개거래,"서울 노원구, 서울 도봉구",N,,11350,개인,132000,2025-12-02,1993,중계동,청구(366),115.47,366,4
22,,개인,중개거래,서울 노원구,N,,11350,개인,59400,2025-12-02,1988,상계동,상계주공9(고층),58.01,670,8
23,,개인,중개거래,서울 노원구,N,,11350,개인,81500,2025-12-02,1986,월계동,미륭,51.48,13,12
24,106,개인,중개거래,서울 노원구,N,25.12.11,11350,개인,85000,2025-12-02,2001,공릉동,풍림아파트A,84.99,725,7
25,,개인,중개거래,서울 노원구,N,,11350,개인,71500,2025-12-03,2009,상계동,수락리버시티3단지,84.81,1312,13
26,,개인,중개거래,서울 노원구,N,,11350,개인,92500,2025-12-03,2008,중계동,중앙하이츠아쿠아,84.4675,514,7
27,,개인,중개거래,서울 노원구,N,,11350,개인,86000,2025-12-03,1997,하계동,하계1청구,84.6,251,6
28,,개인,중개거래,서울 노원구,N,,11350,개인,63500,2025-12-03,1988,상계동,상계주공7(고층),49.94,691,8
29,,개인,중개거래,"서울 노원구, 서울 중랑구",N,,11350,개인,65000,2025-12-03,1999,공릉동,태강아파트(아이파크),59.34,81,3
30,,개인,중개거래,"서울 노원구, 서울 도봉구",N,,11350,개인,57000,2025-12-03,1998,상계동,상계2차중앙하이츠,59.82,1282,3
31,,개인,중개거래,서울 노원구,N,,11350,개인,84700,2025-12-03,2002,월계동,한진한화그랑빌,59.94,18,8
32,,개인,중개거래,서울 노원구,N,,11350,개인,55500,2025-12-03,1993,상계동,현대2차,82.68,1078,15
33,,개인,중개거래,서울 노원구,N,,11350,개인,131000,2025-12-03,1993,중계동,대림벽산(363),114.39,363,3
34,,개인,중개거래,서울 노원구,N,,11350,개인,54000,2025-12-03,1998,중계동,신일,84.94,589,19
35,,개인,중개거래,서울 노원구,N,,11350,개인,53000,2025-12-03,1999,공릉동,태강아파트(아이파크),49.6,81,10
36,,개인,중개거래,서울 노원구,N,,11350,개인,73000,2025-12-03,1995,중계동,주공10,58.14,360-16,9
37,,개인,중개거래,서울 노원구,N,,11350,개인,35000,2025-12-04,1994,공릉동,시영2단지(라이프)아파트,39.6,707,11
38,,개인,중개거래,서울 노원구,N,,11350,개인,40000,2025-12-04,2001,상계동,청암2단지,49.77,1276,2
39,,개인,중개거래,서울 노원구,N,,11350,개인,70000,2025-12-04,2000,월계동,한일2,84.846,927,7
40,,개인,중개거래,서울 노원구,N,,11350,개인,57500,2025-12-04,1998,상계동,상계2차중앙하이츠,59.82,1282,24
41,,개인,중개거래,서울 노원구,N,,11350,개인,49000,2025-12-04,1988,상계동,상계주공9(고층),49.94,670,11
42,,개인,중개거래,서울 노원구,N,,11350,개인,55300,2025-12-04,1990,중계동,중계그린1단지,49.5,502-1,11
43,,개인,중개거래,서울 노원구,N,,11350,개인,44500,2025-12-04,1994,상계동,두산,51.66,1110,10
44,,개인,중개거래,"서울 강동구, 서울 노원구",N,,11350,개인,57500,2025-12-05,1993,상계동,상계1차현대아파트,83.92,1055,9
45,,개인,중개거래,서울 노원구,N,,11350,개인,67500,2025-12-05,1992,중계동,주공5,58.46,359-1,1
46,,개인,중개거래,서울 노원구,N,,11350,개인,86000,2025-12-05,2005,중계동,한화꿈에그린,84.902,598,5
47,,개인,중개거래,서울 노원구,N,,11350,개인,51500,2025-12-05,1988,상계동,상계주공7(고층),45.9,691,10
48,,개인,중개거래,서울 노원구,N,,11350,개인,78000,2025-12-05,1986,월계동,미성,50.14,13,14
49,,개인,중개거래,서울 노원구,N,,11350,개인,58500,2025-12-05,1998,상계동,상계2차중앙하이츠,59.82,1282,16
50,,개인,중개거래,서울 노원구,N,,11350,개인,65500,2025-12-05,1999,공릉동,태강아파트(아이파크),59.38,81,6
