,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 동대문구,N,,11230,개인,82000,2025-12-01,2000,이문동,쌍용,59.99,64,7
1,,개인,중개거래,서울 동대문구,N,,11230,개인,39000,2025-12-01,2016,용두동,동대문푸르지오시티(도시형생활주택),30.11,104-3,2
2,114,개인,중개거래,서울 동대문구,N,25.12.10,11230,개인,155500,2025-12-01,2022,용두동,래미안엘리니티,84.92,796,5
3,,개인,중개거래,서울 동대문구,N,,11230,개인,110000,2025-12-01,2002,답십리동,답십리대우,114.94,111,21
4,,개인,중개거래,서울 동대문구,N,,11230,개인,30000,2025-12-01,2008,장안동,리치,50.32,385-2,6
5,,개인,중개거래,서울 동대문구,N,,11230,개인,59500,2025-12-01,1997,답십리동,우성그린,59.36,989-1,13
6,도시형생활주택,개인,직거래,,N,25.12.16,11230,개인,15000,2025-12-01,2015,답십리동,청계푸르지오시티,18.92,497-23,16
7,,개인,중개거래,서울 동대문구,N,,11230,개인,176000,2025-12-01,2014,전농동,래미안크레시티,121.95,690,12
8,,개인,중개거래,서울 동대문구,N,,11230,개인,129500,2025-12-01,2019,답십리동,답십리파크자이,59.91,1014,12
9,,개인,중개거래,서울 동대문구,N,,11230,개인,150000,2025-12-01,1978,청량리동,미주,137.42,235-1,15
10,,개인,중개거래,서울 동작구,N,,11230,개인,156000,2025-12-03,2021,용두동,이편한세상청계센트럴포레,74.98,795,15
11,,개인,중개거래,서울 동대문구,N,,11230,개인,92500,2025-12-03,2003,이문동,대림e-편한세상,59.958,225,9
12,,개인,중개거래,서울 동대문구,N,,11230,개인,74500,2025-12-03,2000,이문동,현대,59.92,54,16
13,,개인,중개거래,서울 동대문구,N,,11230,개인,120000,2025-12-03,2010,답십리동,청계한신휴플러스,59.74,1002,8
14,,개인,중개거래,서울 동대문구,N,,11230,개인,74400,2025-12-03,2005,장안동,신일해피트리2차(567),79.51,567,10
15,,개인,중개거래,서울 동대문구,N,,11230,개인,187000,2025-12-03,2014,전농동,래미안크레시티,121.95,690,7
16,,개인,중개거래,서울 동대문구,N,,11230,개인,86200,2025-12-03,2003,제기동,안암골벽산,84.98,153,6
17,,개인,중개거래,서울 동대문구,N,,11230,개인,179000,2025-12-03,2023,용두동,청량리역한양수자인그라시엘,84.97,798,52
18,,개인,중개거래,서울 동대문구,N,,11230,개인,97500,2025-12-03,2001,휘경동,주공1,114.73,57,10
19,,개인,중개거래,서울 동대문구,N,,11230,개인,60000,2025-12-03,1989,답십리동,동서울한양,76.41,41,1
20,,개인,중개거래,서울 동대문구,N,,11230,개인,116500,2025-12-04,2003,장안동,장안현대홈타운(336),112.78,336,25
21,,개인,중개거래,서울 성동구,N,,11230,개인,166500,2025-12-04,2021,용두동,이편한세상청계센트럴포레,84.93,795,4
22,,개인,중개거래,"서울 강남구, 서울 동대문구",N,,11230,개인,176500,2025-12-04,2014,답십리동,래미안위브,121.64,1003,18
23,,개인,중개거래,서울 동대문구,N,,11230,개인,52500,2025-12-04,2003,장안동,새한그린빌(306-10),95.64,306-10,5
24,,개인,중개거래,서울 동대문구,N,,11230,개인,72700,2025-12-04,1996,장안동,한신아파트,84.9,555-1,15
25,,개인,중개거래,서울 동대문구,N,,11230,개인,84500,2025-12-04,2005,장안동,현대홈타운2차,84.97,569,7
26,,개인,중개거래,서울 동대문구,N,,11230,개인,107000,2025-12-04,2007,장안동,래미안장안2차,81.05,329-3,12
27,,개인,중개거래,"서울 동대문구, 서울 중구",N,,11230,개인,145000,2025-12-04,2018,전농동,동대문롯데캐슬노블레스,59.98,695,6
28,,개인,중개거래,서울 동대문구,N,,11230,개인,57800,2025-12-04,1985,휘경동,서울가든,85.92,49-5,7
29,,개인,중개거래,"경기 용인시 처인구, 서울 동대문구",N,,11230,개인,116000,2025-12-04,2007,장안동,래미안장안2차,112.92,329-3,2
30,,개인,중개거래,서울 동대문구,N,,11230,개인,165000,2025-12-04,2014,전농동,래미안크레시티,84.96,690,18
31,,개인,중개거래,서울 동대문구,N,,11230,개인,92000,2025-12-04,2003,이문동,대림e-편한세상,84.972,225,1
32,,개인,중개거래,서울 동대문구,N,,11230,개인,66500,2025-12-04,2021,제기동,건영스타밸리,62.15,757-12,3
33,,개인,중개거래,서울 동대문구,N,,11230,개인,79700,2025-12-05,2000,답십리동,청솔2차우성,82.49,80-2,11
34,,개인,중개거래,서울 동대문구,N,,11230,개인,70000,2025-12-05,1992,답십리동,동답한신,96.4,42,14
35,1,개인,직거래,,N,25.12.05,11230,개인,11000,2025-12-05,2016,답십리동,현대썬앤빌청계,14.21,530-15,12
36,,개인,중개거래,서울 동대문구,N,,11230,개인,95500,2025-12-05,2011,회기동,회기힐스테이트,84.99,351,5
37,,개인,중개거래,서울 동대문구,N,,11230,개인,147800,2025-12-05,2014,답십리동,래미안위브,84.99,1003,1
38,,개인,중개거래,서울 동대문구,N,,11230,개인,70300,2025-12-05,2001,휘경동,주공2,59.79,57,8
39,,개인,중개거래,서울 동대문구,N,,11230,개인,110000,2025-12-05,2015,용두동,용두롯데캐슬리치,59.9858,794,10
40,,개인,중개거래,서울 동대문구,N,,11230,개인,150000,2025-12-06,2015,용두동,용두롯데캐슬리치,114.7715,794,2
41,,개인,중개거래,서울 동대문구,N,,11230,개인,185000,2025-12-06,2023,전농동,청량리역롯데캐슬 SKY-L65,84.971,620-47,56
42,,개인,중개거래,서울 동대문구,N,,11230,개인,145000,2025-12-06,2019,답십리동,답십리파크자이,84.83,1014,4
43,,개인,중개거래,"서울 강남구, 서울 동대문구",N,,11230,개인,151500,2025-12-06,2014,답십리동,래미안위브,59.99,1003,8
44,,개인,중개거래,서울 동대문구,N,,11230,개인,77000,2025-12-06,2007,이문동,이문2차푸르지오,84.79,427,8
45,,개인,중개거래,서울 동대문구,N,,11230,개인,86000,2025-12-06,2006,장안동,장한평월드메르디앙,84.55,573,9
46,,개인,중개거래,서울 동대문구,N,,11230,개인,74500,2025-12-06,1997,청량리동,한신,59.97,60,13
47,,개인,중개거래,"서울 강동구, 서울 동대문구",N,,11230,개인,89000,2025-12-07,2010,답십리동,한신휴플러스그린파크,59.92,1001,2
48,,개인,중개거래,"서울 광진구, 서울 동대문구",N,,11230,개인,93500,2025-12-08,2001,휘경동,주공1,114.73,57,2
