,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,201,개인,중개거래,서울 동작구,N,25.12.08,11590,개인,82000,2025-12-01,1998,사당동,경남아너스빌2차,59.9,1135,12
1,,개인,중개거래,서울 동작구,N,,11590,개인,133000,2025-12-01,2004,본동,한신휴플러스,84.84,487,8
2,,개인,중개거래,서울 동작구,N,,11590,개인,142000,2025-12-02,1998,사당동,신동아5,114.68,1137,9
3,,개인,중개거래,서울 동작구,N,,11590,법인,135000,2025-12-02,2004,사당동,사당롯데캐슬2차,84.614,1149,13
4,,개인,중개거래,서울 동작구,N,,11590,개인,148000,2025-12-03,2004,본동,삼성래미안,84.2261,492,17
5,,개인,중개거래,"서울 관악구, 서울 동작구",N,,11590,개인,125000,2025-12-03,1995,신대방동,우성2차,149.49,565-21,13
6,,개인,중개거래,서울 동작구,N,,11590,개인,134000,2025-12-03,1993,사당동,극동(105),51.57,105,12
7,,개인,중개거래,서울 동작구,N,,11590,개인,129700,2025-12-04,2003,동작동,금강KCC,84.95,331,2
8,,개인,중개거래,서울 동작구,N,,11590,개인,98000,2025-12-04,1999,사당동,사당자이,60,1139,10
9,,개인,중개거래,서울 동작구,N,,11590,개인,151500,2025-12-04,2001,노량진동,신동아리버파크,84.88,325,27
10,,개인,중개거래,서울 동작구,N,,11590,개인,87500,2025-12-04,2009,사당동,대성유니드,66.11,1155,2
11,,개인,중개거래,서울 동작구,N,,11590,개인,102500,2025-12-05,1987,사당동,제일,60.03,240-15,9
12,,개인,중개거래,서울 동작구,N,,11590,개인,140000,2025-12-05,1993,사당동,극동(105),84.32,105,6
13,,개인,중개거래,서울 동작구,N,,11590,개인,72000,2025-12-05,1997,상도동,건영,32.8,414,4
14,,개인,중개거래,서울 동작구,N,,11590,개인,219000,2025-12-05,2021,사당동,이수푸르지오더프레티움,84.9243,1161,4
15,,개인,중개거래,서울 동작구,N,,11590,개인,88800,2025-12-06,2001,노량진동,삼익,84.68,330,6
16,,개인,중개거래,서울 동작구,N,,11590,개인,62000,2025-12-06,1995,신대방동,신대방,59.6,705,5
17,,개인,중개거래,서울 동작구,N,,11590,개인,178000,2025-12-06,2012,상도동,힐스테이트 상도 센트럴파크,84.7835,531,4
18,,개인,중개거래,서울 성북구,N,,11590,개인,125000,2025-12-06,2004,상도동,상도동래미안1차,59.828,450,15
19,,개인,중개거래,"서울 동작구, 서울 서초구",N,,11590,개인,179300,2025-12-06,2012,상도동,힐스테이트 상도 센트럴파크,84.7835,531,2
20,,개인,중개거래,서울 동작구,N,,11590,개인,145000,2025-12-08,2001,노량진동,신동아리버파크,84.88,325,6
21,,개인,중개거래,"서울 관악구, 서울 영등포구",N,,11590,개인,92700,2025-12-09,2006,신대방동,동작상떼빌,84.98,719,6
22,,개인,중개거래,서울 동작구,N,,11590,개인,104500,2025-12-09,1987,사당동,제일,60.03,240-15,3
23,,개인,중개거래,서울 동작구,N,,11590,개인,185000,2025-12-10,2018,상도동,e편한세상상도노빌리티,59.7827,903,24
24,,개인,중개거래,서울 동작구,N,,11590,개인,175000,2025-12-10,1993,사당동,사당우성3,108.08,105,6
25,,개인,중개거래,서울 동작구,N,,11590,개인,208000,2025-12-11,2018,상도동,e편한세상상도노빌리티,84.8746,903,21
26,,개인,중개거래,서울 동작구,N,,11590,개인,163000,2025-12-12,1988,신대방동,우성1차,126.16,565,9
27,,개인,중개거래,서울 동작구,N,,11590,개인,104500,2025-12-12,2003,신대방동,롯데낙천대,55.4561,713,11
28,,개인,중개거래,서울 양천구,N,,11590,개인,118000,2025-12-13,2003,사당동,롯데캐슬,155.6,1132,7
29,,개인,중개거래,서울 동작구,N,,11590,개인,73000,2025-12-14,1993,본동,신동아,46.75,481,9
30,,개인,중개거래,서울 동작구,N,,11590,개인,142000,2025-12-15,2004,상도동,아이파크,84.96,416,7
31,,개인,중개거래,"서울 동작구, 서울 은평구",N,,11590,개인,83500,2025-12-16,1998,사당동,경남아너스빌2차,59.9,1135,9
32,,개인,중개거래,서울 동작구,N,,11590,개인,101000,2025-12-19,2003,신대방동,롯데낙천대,55.4561,713,4
33,,개인,중개거래,서울 동작구,N,,11590,개인,96000,2025-12-20,1997,신대방동,벽산,84.9,709,10
34,,개인,직거래,,N,,11590,개인,77000,2025-12-22,1993,본동,신동아,84.46,481,7
