,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 마포구,N,,11440,개인,105000,2025-12-01,2000,중동,현대,114.98,40-12,4
1,,개인,중개거래,서울 마포구,N,,11440,개인,60000,2025-12-01,2004,도화동,한화오벨리스크,39.91,555,13
2,,개인,중개거래,"서울 강서구, 서울 마포구",N,,11440,개인,116500,2025-12-03,2003,상암동,상암월드컵파크2단지,59.92,1637,16
3,,개인,중개거래,서울 마포구,N,,11440,개인,184000,2025-12-03,2004,공덕동,공덕3삼성래미안,59.97,457,6
4,,개인,중개거래,서울 마포구,N,,11440,개인,106000,2025-12-03,2003,상암동,상암월드컵파크2단지,59.92,1637,1
5,,개인,중개거래,서울 마포구,N,,11440,개인,162000,2025-12-03,2005,상암동,상암월드컵파크6단지,104.32,1689,13
6,,개인,중개거래,"서울 마포구, 서울 서초구",N,,11440,개인,130000,2025-12-04,2009,성산동,월드컵아이파크(667),117.95,667,2
7,,개인,중개거래,서울 마포구,N,,11440,개인,241000,2025-12-05,2022,염리동,마포자이더센트리지(102동~112동),84.866,533,4
8,,개인,중개거래,서울 마포구,N,,11440,개인,64600,2025-12-05,2011,성산동,성산힐아파트,81.27,81-106,5
9,,개인,중개거래,서울 마포구,N,,11440,개인,235000,2025-12-05,2022,염리동,마포자이더센트리지(102동~112동),84.995,533,10
10,,개인,중개거래,서울 용산구,N,,11440,개인,120000,2025-12-06,1998,아현동,서서울삼성,84.89,692,13
11,,개인,중개거래,서울 마포구,N,,11440,개인,277500,2025-12-06,2019,신수동,신촌숲아이파크,111.103,462,6
12,,개인,중개거래,서울 마포구,N,,11440,개인,121000,2025-12-08,2006,중동,울트라월드컵(참누리),84.9406,398,3
13,,개인,중개거래,서울 마포구,N,,11440,개인,200000,2025-12-08,2015,합정동,마포한강푸르지오,137.04,472,13
14,,개인,중개거래,서울 마포구,N,,11440,개인,155000,2025-12-08,2001,염리동,염리삼성래미안,59.52,520,5
15,,개인,중개거래,서울 마포구,N,,11440,개인,75000,2025-12-09,2010,상암동,상암월드컵파크9단지,84.89,1752,5
16,,개인,중개거래,서울 마포구,N,,11440,개인,202000,2025-12-10,2001,염리동,염리삼성래미안,114.48,520,9
17,,개인,중개거래,서울 마포구,N,,11440,개인,56000,2025-12-10,2004,도화동,한화오벨리스크,36.49,555,12
18,,개인,중개거래,서울 마포구,N,,11440,개인,149900,2025-12-10,1989,공덕동,공덕현대,84.79,370-9,9
19,,개인,중개거래,서울 마포구,N,,11440,개인,58000,2025-12-11,2023,아현동,마포푸르지오더센트럴,31.59,275-2,3
20,,개인,중개거래,서울 마포구,N,,11440,개인,129500,2025-12-11,2006,중동,울트라월드컵(참누리),84.9572,398,14
21,,개인,중개거래,서울 마포구,N,,11440,개인,26500,2025-12-12,2004,노고산동,신촌포스빌,29.03,1-3,9
22,,개인,중개거래,서울 마포구,N,,11440,개인,75000,2025-12-13,1999,성산동,성산동성,60,597,8
23,,개인,중개거래,서울 마포구,N,,11440,개인,116000,2025-12-16,2003,상암동,상암월드컵파크2단지,59.92,1637,17
24,9,개인,중개거래,서울 마포구,N,25.12.17,11440,개인,155000,2025-12-17,1986,성산동,성산시영(유원),59.43,446,7
