,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 서대문구,N,,11410,개인,78000,2025-12-01,2022,홍제동,제니스뷰아파트,84.96,196-26,4
1,,개인,중개거래,서울 서대문구,N,,11410,개인,107000,2025-12-01,2023,홍은동,힐스테이트홍은포레스트,72.79,470,12
2,,개인,중개거래,서울 서대문구,N,,11410,개인,149900,2025-12-01,2024,홍제동,홍제역해링턴플레이스,84.95,474,4
3,,개인,중개거래,서울 서대문구,N,,11410,개인,84200,2025-12-01,2000,홍제동,홍제원현대(459-0),59.93,459,17
4,,개인,중개거래,서울 서대문구,N,,11410,개인,144000,2025-12-01,2015,남가좌동,DMC파크뷰자이2단지,84.909,385,19
5,,개인,중개거래,서울 서대문구,N,,11410,개인,90000,2025-12-01,2001,홍제동,청구3차,84.96,462,8
6,,개인,중개거래,서울 서대문구,N,,11410,개인,113000,2025-12-01,2006,천연동,천연뜨란채,84.95,145,7
7,,개인,중개거래,서울 서대문구,N,,11410,개인,88700,2025-12-01,1996,북가좌동,북가좌삼호,84.57,449,14
8,,개인,중개거래,서울 서대문구,N,,11410,개인,84000,2025-12-01,1987,북가좌동,DMC한양,84.33,431,12
9,,개인,중개거래,서울 서대문구,N,,11410,개인,94000,2025-12-02,2006,천연동,천연뜨란채,57.78,145,15
10,,개인,중개거래,서울 서대문구,N,,11410,개인,57500,2025-12-02,2006,천연동,천연뜨란채,30.17,145,8
11,,개인,중개거래,서울 서대문구,N,,11410,개인,108000,2025-12-02,2002,연희동,대우푸르지오,84.706,739,12
12,,개인,중개거래,서울 서대문구,N,,11410,개인,55000,2025-12-02,1989,홍은동,서강2차(2동),154.2,186-25,4
13,,개인,중개거래,서울 서대문구,N,,11410,개인,76700,2025-12-02,2020,홍은동,북한산두산위브,59.84,467,3
14,,개인,중개거래,서울 서대문구,N,,11410,개인,150000,2025-12-02,2015,남가좌동,DMC파크뷰자이1단지,84.971,385,20
15,,개인,중개거래,서울 서대문구,N,,11410,개인,74000,2025-12-03,2017,홍제동,제니스,60.34,131-2,8
16,,개인,중개거래,서울 서대문구,N,,11410,개인,124000,2025-12-03,2009,남가좌동,DMC센트레빌,114.85,381,12
17,,개인,중개거래,서울 서대문구,N,,11410,개인,99000,2025-12-03,2000,홍제동,홍제원현대(459-0),84.9,459,17
18,,개인,중개거래,서울 서대문구,N,,11410,개인,45300,2025-12-03,2017,남가좌동,디엠씨엘가,41.23,387,3
19,,개인,중개거래,서울 서대문구,N,,11410,개인,110000,2025-12-03,2009,남가좌동,DMC센트레빌,59.95,381,6
20,,개인,중개거래,"서울 서대문구, 서울 은평구",N,,11410,개인,102500,2025-12-03,2023,홍은동,힐스테이트홍은포레스트,72.79,470,3
21,,개인,중개거래,서울 서대문구,N,,11410,개인,52000,2025-12-04,2018,북가좌동,대경아르체,48.03,488,8
22,,개인,중개거래,서울 서대문구,N,,11410,개인,134500,2025-12-04,1998,현저동,독립문극동(200-0),84.87,200,21
23,,개인,중개거래,서울 서대문구,N,,11410,개인,128000,2025-12-04,2020,홍제동,홍제센트럴IPARK,84.9728,473,2
24,,개인,중개거래,서울 서대문구,N,,11410,개인,110000,2025-12-04,1998,현저동,독립문극동(200-0),59.58,200,3
25,,개인,중개거래,서울 서대문구,N,,11410,개인,95000,2025-12-04,2006,천연동,천연뜨란채,55.82,145,3
26,103,개인,직거래,,N,25.12.08,11410,개인,55400,2025-12-05,2023,홍은동,힐스테이트홍은포레스트,59.84,470,2
27,,개인,중개거래,서울 서대문구,N,,11410,개인,68000,2025-12-05,2000,현저동,독립문파크빌,59.4,1019,6
28,,개인,중개거래,서울 서대문구,N,,11410,개인,136000,2025-12-05,1998,현저동,독립문극동(200-0),102.45,200,14
29,,개인,중개거래,서울 서대문구,N,,11410,개인,95000,2025-12-05,2006,천연동,천연뜨란채,57.78,145,4
30,,개인,중개거래,서울 서대문구,N,,11410,개인,100900,2025-12-05,1992,홍제동,홍제현대,106.18,331,9
31,,개인,중개거래,서울 서대문구,N,,11410,개인,155000,2025-12-05,2015,남가좌동,DMC파크뷰자이1단지,84.971,385,30
32,,개인,중개거래,서울 서대문구,N,,11410,개인,81000,2025-12-05,2000,홍제동,홍제원현대(459-0),59.93,459,17
33,,개인,중개거래,서울 서대문구,N,,11410,개인,113000,2025-12-05,2000,홍제동,홍제원현대(459-0),114.72,459,12
34,,개인,직거래,,N,,11410,개인,71900,2025-12-06,2013,홍은동,반석블레스,84.92,440-1,5
35,,개인,중개거래,서울 서대문구,N,,11410,개인,110000,2025-12-06,1992,홍제동,홍제현대,119.32,331,10
36,,개인,중개거래,서울 서대문구,N,,11410,개인,109000,2025-12-06,2020,북아현동,힐스테이트신촌,37.969,1017,11
37,,개인,중개거래,서울 서대문구,N,,11410,개인,81000,2025-12-06,2000,홍제동,홍제원현대(459-0),59.93,459,2
38,,개인,중개거래,서울 서대문구,N,,11410,개인,55000,2025-12-06,1985,홍은동,홍은미성,83.61,186-1,2
39,,개인,중개거래,"서울 서대문구, 서울 은평구",N,,11410,개인,135000,2025-12-06,2018,남가좌동,DMC센트럴아이파크,84.98,388,18
40,,개인,중개거래,서울 서대문구,N,,11410,개인,92500,2025-12-06,1992,홍제동,홍제현대,75.15,331,13
41,,개인,중개거래,서울 서대문구,N,,11410,개인,110000,2025-12-07,2023,홍은동,e편한세상홍제가든플라츠,59.991,469,23
42,,개인,중개거래,서울 서대문구,N,,11410,개인,149800,2025-12-08,2015,남가좌동,DMC파크뷰자이2단지,84.968,385,8
43,,개인,중개거래,서울 서대문구,N,,11410,개인,136000,2025-12-08,2020,남가좌동,래미안루센티아,84.84,390,5
44,,개인,중개거래,서울 서대문구,N,,11410,개인,72000,2025-12-08,2015,홍제동,제일아파트,80.11,470,3
45,,개인,중개거래,"서울 서대문구, 서울 송파구",N,,11410,개인,148000,2025-12-08,2024,홍제동,홍제역해링턴플레이스,84.95,474,3
46,,개인,중개거래,서울 서대문구,N,,11410,개인,81500,2025-12-08,1988,홍은동,"현대(1,2차)",84.77,202-5,8
47,,개인,중개거래,서울 서대문구,N,,11410,개인,79000,2025-12-08,1999,남가좌동,남가좌동현대,59.4,376,11
48,,개인,중개거래,서울 서대문구,N,,11410,개인,133000,2025-12-08,1998,현저동,독립문극동(200-0),84.87,200,21
49,,개인,중개거래,서울 서대문구,N,,11410,개인,61500,2025-12-09,1997,홍은동,홍은동벽산,58.64,455,11
50,,개인,중개거래,서울 서대문구,N,,11410,개인,89500,2025-12-10,1997,홍제동,청구2차,84.81,453-1,15
51,,개인,중개거래,서울 서대문구,N,,11410,개인,83500,2025-12-10,2000,홍제동,홍제원현대(459-0),59.93,459,5
52,,개인,중개거래,서울 서대문구,N,,11410,개인,113000,2025-12-10,2005,남가좌동,래미안남가좌2차,59.788,379,7
53,,개인,중개거래,서울 서대문구,N,,11410,개인,175000,2025-12-10,2015,남가좌동,DMC파크뷰자이1단지,120.492,385,19
54,,개인,중개거래,서울 서대문구,N,,11410,개인,49000,2025-12-10,1985,홍은동,홍은미성,83.61,186-1,7
55,,개인,중개거래,서울 서대문구,N,,11410,개인,44500,2025-12-10,2006,홍은동,장성미모아,81.99,274-60,2
56,,개인,중개거래,서울 서대문구,N,,11410,개인,60700,2025-12-10,1997,홍은동,홍은동벽산,58.64,455,15
57,,개인,중개거래,"서울 동대문구, 서울 서대문구",N,,11410,개인,76000,2025-12-11,1996,북가좌동,북가좌삼호,75.75,449,1
58,,개인,중개거래,서울 서대문구,N,,11410,개인,60000,2025-12-11,1997,홍은동,두산,59.96,456,13
