,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 서초구,N,,11650,개인,420000,2025-12-01,1988,서초동,삼풍아파트,130.73,1685,1
1,,개인,중개거래,서울 서초구,N,,11650,개인,111000,2025-12-01,2005,서초동,강남태영데시앙루브,84.2,1303-35,11
2,,개인,중개거래,서울 서초구,Y,,11650,개인,127000,2025-12-01,2013,우면동,호반써밋서초파크뷰(토지임대부아파트),59.93,789,21
3,,개인,중개거래,서울 서초구,N,,11650,개인,432000,2025-12-02,1988,서초동,삼풍아파트,130.73,1685,5
4,,개인,중개거래,서울 서초구,N,,11650,개인,47000,2025-12-02,2019,서초동,서초노블레스아파트,29.47,1362-10,4
5,,개인,중개거래,"서울 강남구, 서울 서초구",N,,11650,개인,155700,2025-12-02,1994,우면동,코오롱,52.47,70,2
6,,개인,중개거래,서울 서초구,N,,11650,개인,370000,2025-12-02,2003,서초동,현대슈퍼빌,205.67,1446-11,12
7,,개인,중개거래,서울 서초구,N,,11650,개인,290000,2025-12-02,2004,방배동,방배2차e-편한세상,163.36,881-26,8
8,,개인,중개거래,서울 강남구,N,,11650,개인,170000,2025-12-03,2002,서초동,현대이에스에이아파트,163.95,1338,3
9,103,개인,중개거래,서울 서초구,N,25.12.10,11650,개인,245000,2025-12-03,2010,서초동,서초교대e편한세상,59.9,1686-9,9
10,,개인,중개거래,서울 서초구,N,,11650,개인,165000,2025-12-04,2006,서초동,극동스타클래스2,81.065,1615-10,2
11,,개인,중개거래,서울 서초구,N,,11650,개인,147000,2025-12-04,1998,방배동,삼호한숲,59.98,1030-1,6
12,,개인,중개거래,서울 서초구,N,,11650,개인,258000,2025-12-04,2005,서초동,서초5차e편한세상,158.24,1467-62,2
13,방배디오슈페리움Ⅰ,개인,직거래,,N,25.12.15,11650,개인,138000,2025-12-05,2006,방배동,방배디오슈페리움Ⅰ,125.79,3001-2,14
14,,개인,중개거래,"서울 강남구, 서울 서초구",N,,11650,개인,197000,2025-12-05,2005,서초동,서초지웰,84.74,1458-6,14
15,,개인,중개거래,서울 서초구,N,,11650,개인,203000,2025-12-05,2003,서초동,서초극동스타클래스,110.72,1616-10,2
16,,개인,중개거래,서울 서초구,N,,11650,개인,770000,2025-12-05,2009,반포동,래미안퍼스티지,168.65,18-1,28
17,,개인,중개거래,서울 서초구,N,,11650,개인,285000,2025-12-05,2009,서초동,서초아트자이,165.5725,1583-10,14
18,,개인,중개거래,서울 서초구,N,,11650,개인,158000,2025-12-08,2020,방배동,서리풀프라젠아파트,78.69,3281,4
19,,개인,중개거래,서울 서초구,N,,11650,개인,150000,2025-12-08,1995,우면동,동고,77.14,59,2
20,,개인,직거래,,N,,11650,개인,33500,2025-12-09,2003,서초동,대림서초리시온,45.72,1671-5,5
21,,개인,중개거래,서울 서초구,N,,11650,개인,64500,2025-12-09,2002,서초동,서초동삼성쉐르빌2,52.83,1330,15
22,,개인,중개거래,서울 서초구,N,,11650,개인,179000,2025-12-11,2015,내곡동,서초포레스타2단지,84.87,384,9
23,101,개인,중개거래,서울 서초구,N,25.12.15,11650,개인,260000,2025-12-12,2007,방배동,베로니스5차,178.71,1-39,1
24,,개인,중개거래,서울 서초구,N,,11650,개인,155500,2025-12-12,2002,서초동,현대이에스에이아파트,116.04,1338,3
25,,개인,중개거래,서울 서초구,N,,11650,법인,74000,2025-12-13,2022,양재동,강남월드메르디앙프레스티지,37.424,11-11,9
26,,개인,중개거래,서울 서초구,N,,11650,개인,61000,2025-12-13,2001,잠원동,대우아이빌,27.07,42-13,5
27,,개인,중개거래,서울 서초구,N,,11650,개인,163000,2025-12-13,2005,서초동,서초트라팰리스,81.76,1344-13,16
28,,개인,중개거래,서울 서초구,N,,11650,개인,195000,2025-12-13,1994,반포동,엠브이아파트,59.82,46,18
29,,개인,중개거래,서울 서초구,N,,11650,개인,234000,2025-12-15,2014,신원동,힐스테이트서초젠트리스,114.9,557,6
30,,개인,중개거래,서울 서초구,N,,11650,개인,430000,2025-12-17,2021,서초동,서초그랑자이,100.31,1757,27
