,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 성동구,N,,11200,개인,68000,2025-12-01,1975,홍익동,홍익한신,75.24,119-1,5
1,,개인,중개거래,서울 성동구,N,,11200,개인,160000,2025-12-02,2017,하왕십리동,왕십리자이,59.99,1071,13
2,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,12
3,101,공공기관,직거래,,N,25.12.09,11200,법인,31750,2025-12-03,2025,마장동,라봄성동,18.7962,836,11
4,101,공공기관,직거래,,N,25.12.09,11200,법인,30650,2025-12-03,2025,마장동,라봄성동,18.1338,836,11
5,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,11
6,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,11
7,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,11
8,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,11
9,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,11
10,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,11
11,101,공공기관,직거래,,N,25.12.09,11200,법인,31750,2025-12-03,2025,마장동,라봄성동,18.7962,836,10
12,101,공공기관,직거래,,N,25.12.09,11200,법인,30650,2025-12-03,2025,마장동,라봄성동,18.1338,836,10
13,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,10
14,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,10
15,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,10
16,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,10
17,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,10
18,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,10
19,101,공공기관,직거래,,N,25.12.09,11200,법인,31750,2025-12-03,2025,마장동,라봄성동,18.7962,836,9
20,101,공공기관,직거래,,N,25.12.09,11200,법인,31750,2025-12-03,2025,마장동,라봄성동,18.7962,836,9
21,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,9
22,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,9
23,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,9
24,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,9
25,101,공공기관,직거래,,N,25.12.09,11200,법인,33050,2025-12-03,2025,마장동,라봄성동,18.7962,836,9
