,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 성북구,N,,11290,개인,113000,2025-12-01,2021,장위동,래미안포레카운티,84.98,322,8
1,,개인,중개거래,서울 성북구,N,,11290,개인,85000,2025-12-01,1998,석관동,두산,84.9,10,22
2,,개인,중개거래,서울 성북구,N,,11290,개인,81000,2025-12-01,1999,정릉동,길음뉴타운경남아너스빌,84.88,1015,13
3,,개인,중개거래,서울 성북구,N,,11290,개인,78000,2025-12-01,2003,하월곡동,월곡두산위브,59.855,222,7
4,,개인,중개거래,서울 성북구,N,,11290,개인,79000,2025-12-01,2004,돈암동,이수브라운스톤돈암,59.99,636,15
5,,개인,중개거래,서울 성북구,N,,11290,개인,120000,2025-12-01,2007,하월곡동,월곡래미안루나밸리,114.93,226,6
6,,개인,중개거래,"서울 강남구, 서울 성북구",N,,11290,개인,125000,2025-12-02,2017,보문동6가,보문파크뷰자이,84.96,458,3
7,,개인,중개거래,서울 성북구,N,,11290,개인,103000,2025-12-02,2005,길음동,길음뉴타운2단지푸르지오,114.73,1280,17
8,,개인,중개거래,서울 성북구,N,,11290,개인,104600,2025-12-02,2009,석관동,석관래미안,114.97,407,17
9,,개인,중개거래,서울 성북구,N,,11290,개인,60700,2025-12-02,2000,종암동,극동,59.67,128,1
10,,개인,중개거래,서울 성북구,N,,11290,개인,111500,2025-12-02,2017,보문동6가,보문파크뷰자이,59.81,458,14
11,,개인,중개거래,서울 성북구,N,,11290,개인,108000,2025-12-02,2009,삼선동2가,삼선현대힐스테이트,114.86,420,8
12,,개인,중개거래,서울 성북구,N,,11290,개인,74900,2025-12-03,1999,정릉동,정릉스카이쌍용아파트,84.19,1014,17
13,,개인,중개거래,서울 성북구,N,,11290,개인,60000,2025-12-03,1999,정릉동,정릉스카이쌍용아파트,59.9,1014,11
14,,개인,중개거래,서울 성북구,N,,11290,개인,53000,2025-12-03,2005,정릉동,정릉풍림아이원,59.88,239,3
15,,개인,중개거래,서울 성북구,N,,11290,개인,90000,2025-12-03,2009,정릉동,정릉2차e-편한세상,84.09,1035,14
16,,개인,중개거래,서울 성북구,N,,11290,개인,100000,2025-12-03,2019,길음동,롯데캐슬골든힐스,84.93,1287-1,19
17,,개인,중개거래,서울 성북구,N,,11290,개인,98500,2025-12-03,2007,하월곡동,월곡래미안루나밸리,84.88,226,4
18,,개인,중개거래,"서울 종로구, 인천 서구",N,,11290,개인,67300,2025-12-03,1994,보문동6가,아남,84.9,36-2,7
19,,개인,중개거래,서울 성북구,N,,11290,개인,69000,2025-12-03,1998,돈암동,한신,68.13,609-1,4
20,,개인,중개거래,서울 성북구,N,,11290,개인,97000,2025-12-03,2005,종암동,아이파크종암동2차,84.73,131,11
21,,개인,중개거래,서울 성북구,N,,11290,개인,77700,2025-12-04,2005,정릉동,정릉푸르지오,84.89,406,19
22,,개인,중개거래,서울 성북구,N,,11290,개인,78000,2025-12-04,2004,동소문동7가,한신플러스C,59.91,23,18
23,,개인,중개거래,서울 성북구,N,,11290,개인,88500,2025-12-04,1999,돈암동,돈암동삼성,114.66,15-1,10
24,,개인,중개거래,"서울 노원구, 서울 성북구",N,,11290,개인,128000,2025-12-04,2017,보문동6가,보문파크뷰자이,84.99,458,9
25,,개인,중개거래,서울 성북구,N,,11290,개인,48000,2025-12-04,1994,상월곡동,우남푸르미아,59.64,55-56,17
26,,개인,중개거래,서울 성북구,N,,11290,개인,73000,2025-12-04,1999,돈암동,돈암동 풍림아파트 101~105동,114.41,632,7
27,,개인,중개거래,경기 성남시 분당구,N,,11290,개인,55000,2025-12-04,2003,상월곡동,동아에코빌,59.95,101,12
28,,개인,중개거래,서울 성북구,N,,11290,개인,83500,2025-12-04,2008,삼선동2가,삼선푸르지오,59.95,425,9
29,,개인,중개거래,서울 성북구,N,,11290,개인,90000,2025-12-04,2013,돈암동,돈암동해피트리,126.88,642,1
30,,개인,중개거래,서울 성북구,N,,11290,개인,103000,2025-12-04,2011,종암동,래미안라센트,59.98,134,10
31,,개인,중개거래,서울 성북구,N,,11290,개인,117800,2025-12-05,2006,길음동,길음뉴타운5단지(래미안),84.96,1282,11
