,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 송파구,N,,11710,개인,139000,2025-12-01,1986,가락동,우성,43.79,96-1,10
1,,개인,중개거래,서울 송파구,N,,11710,개인,245000,2025-12-01,1983,잠실동,우성4차,115.83,320,14
2,,개인,중개거래,서울 송파구,N,,11710,개인,273500,2025-12-01,1983,잠실동,우성4차,115.83,320,14
3,,개인,중개거래,서울 송파구,N,,11710,법인,79500,2025-12-01,2021,가락동,테라펠리체송파,44.0351,166-6,5
4,,개인,중개거래,서울 송파구,N,,11710,개인,385000,2025-12-01,2006,잠실동,레이크팰리스,135.82,44,7
5,,개인,중개거래,"경기 성남시 분당구, 서울 송파구",N,,11710,개인,101500,2025-12-01,1997,거여동,거여1단지,49.8,290,6
6,,개인,중개거래,"경기 성남시 분당구, 서울 송파구",N,,11710,개인,140500,2025-12-01,2013,장지동,위례24단지(꿈에그린),51.77,901,1
7,,개인,중개거래,서울 송파구,N,,11710,개인,305000,2025-12-02,2005,잠실동,갤러리아팰리스,151.189,40,19
8,,개인,중개거래,서울 송파구,N,,11710,개인,112000,2025-12-02,2019,오금동,송파두산위브,59.9823,135,3
9,,개인,중개거래,"서울 강남구, 서울 강동구",N,,11710,개인,330000,2025-12-02,2005,신천동,롯데캐슬골드,166.7,7-18,27
10,,개인,중개거래,서울 송파구,N,,11710,개인,148000,2025-12-02,1991,가락동,현대(6차),84.8,55,6
11,,개인,중개거래,서울 송파구,N,,11710,개인,140000,2025-12-02,1998,풍납동,씨티극동1,114.63,509,5
12,,개인,중개거래,서울 송파구,N,,11710,개인,432500,2025-12-03,1978,잠실동,주공아파트 5단지,82.61,27,13
13,,개인,중개거래,서울 송파구,N,,11710,개인,215000,2025-12-03,2007,석촌동,미켈란호수가,129.45,158-5,25
14,,개인,중개거래,서울 송파구,N,,11710,개인,397700,2025-12-03,1978,잠실동,주공아파트 5단지,76.5,27,13
15,,개인,중개거래,서울 송파구,N,,11710,개인,90000,2025-12-03,1989,문정동,문정시영,39.69,145,8
16,,개인,중개거래,서울 송파구,N,,11710,개인,215000,2025-12-04,2003,송파동,여흥레이크빌,167.73,31,18
17,,개인,중개거래,서울 송파구,N,,11710,개인,175000,2025-12-04,2013,장지동,위례24단지(꿈에그린),84.93,901,11
18,,개인,중개거래,서울 송파구,N,,11710,개인,184000,2025-12-04,2016,문정동,파크하비오,84.9648,618,2
19,,개인,중개거래,"경기 성남시 분당구, 서울 송파구",N,,11710,개인,89900,2025-12-04,2001,방이동,인택스빌,76.56,222,7
20,,개인,중개거래,서울 송파구,N,,11710,개인,133000,2025-12-04,1995,풍납동,동아한가람1,84.38,506,6
21,,개인,중개거래,"경기 하남시, 서울 송파구",N,,11710,개인,101000,2025-12-05,1995,풍납동,동아한가람1,59.98,506,3
22,,개인,중개거래,"경기 하남시, 서울 송파구",N,,11710,개인,99000,2025-12-05,2004,마천동,천마그랑밸리,84.95,68-5,4
23,522,개인,중개거래,서울 서초구,N,25.12.16,11710,개인,349700,2025-12-05,1978,잠실동,주공아파트 5단지,76.5,27,8
24,,개인,중개거래,서울 송파구,N,,11710,개인,210000,2025-12-05,1991,방이동,코오롱아파트,84.95,212-8,12
25,,개인,중개거래,서울 송파구,N,,11710,개인,335000,2025-12-05,2008,잠실동,잠실엘스,84.8,19,7
26,,개인,중개거래,서울 송파구,N,,11710,개인,16500,2025-12-05,2004,가락동,두산위브,25.05,98,10
27,509,개인,중개거래,서울 송파구,N,25.12.17,11710,개인,387700,2025-12-05,1978,잠실동,주공아파트 5단지,76.5,27,11
28,,개인,중개거래,서울 송파구,N,,11710,개인,210000,2025-12-05,1991,방이동,코오롱아파트,84.95,212-8,12
29,,개인,중개거래,서울 송파구,N,,11710,개인,168000,2025-12-05,2000,석촌동,잠실한솔,84.94,285,5
30,,개인,중개거래,서울 송파구,N,,11710,개인,77000,2025-12-06,1999,풍납동,대동1,59.96,172,9
31,,개인,중개거래,서울 송파구,N,,11710,개인,120000,2025-12-06,1995,풍납동,동아한가람1,84.38,506,1
32,,개인,중개거래,서울 송파구,N,,11710,개인,146000,2025-12-06,2001,송파동,SK,83.8,170,13
33,,개인,중개거래,서울 송파구,N,,11710,개인,77000,2025-12-06,1995,문정동,현대2,59.94,58,7
34,,개인,중개거래,서울 송파구,N,,11710,법인,79500,2025-12-06,2021,가락동,테라펠리체송파,44.0351,166-6,5
35,,개인,중개거래,서울 송파구,N,,11710,개인,148500,2025-12-06,1997,거여동,거여2단지효성아파트,101.95,291,12
36,,개인,중개거래,서울 송파구,N,,11710,개인,132000,2025-12-06,2001,송파동,SK,83.82,170,1
37,,개인,중개거래,서울 송파구,N,,11710,개인,74500,2025-12-06,1999,풍납동,현대리버빌1지구,43.2,260,10
38,,개인,중개거래,서울 송파구,N,,11710,개인,89000,2025-12-06,1989,문정동,문정시영,39.69,145,11
39,,개인,중개거래,서울 송파구,N,,11710,개인,30000,2025-12-06,2020,잠실동,앙시레이크타워,18.5251,305,7
40,,개인,중개거래,서울 송파구,N,,11710,개인,178000,2025-12-07,1999,가락동,가락쌍용(2차),84.42,21-6,22
41,,개인,중개거래,서울 송파구,N,,11710,개인,566000,2025-12-08,1986,잠실동,아시아선수촌아파트,151.008,86,7
42,,개인,중개거래,서울 송파구,N,,11710,개인,149000,2025-12-08,1995,풍납동,한강극동,84.76,508,4
43,,개인,중개거래,서울 송파구,N,,11710,개인,80000,2025-12-08,2002,가락동,아키죤아파트1동,75.29,101-3,4
44,,개인,중개거래,서울 송파구,N,,11710,개인,59800,2025-12-08,1989,문정동,문정시영,25.65,145,9
45,,개인,중개거래,서울 송파구,N,,11710,개인,218000,2025-12-08,1986,가락동,우성,109.25,96-1,14
46,515,개인,중개거래,"서울 강남구, 서울 송파구",N,25.12.15,11710,개인,417500,2025-12-09,1978,잠실동,주공아파트 5단지,81.75,27,7
47,,개인,중개거래,서울 송파구,N,,11710,개인,67000,2025-12-09,1999,풍납동,현대리버빌1지구,43.2,260,3
48,,개인,중개거래,서울 송파구,N,,11710,개인,284500,2025-12-09,2008,신천동,파크리오,84.9,17,27
49,,개인,중개거래,서울 송파구,N,,11710,개인,176000,2025-12-10,2007,장지동,송파파인타운7단지,84.9,844,9
50,,개인,중개거래,서울 송파구,N,,11710,개인,60000,2025-12-10,1989,문정동,문정시영,25.65,145,13
51,,개인,중개거래,서울 송파구,N,,11710,개인,160000,2025-12-10,2004,방이동,인택파크랜드,126.69,185,10
52,,개인,중개거래,서울 송파구,N,,11710,개인,98000,2025-12-10,1993,풍납동,신동아파밀리에,84.63,220-2,10
53,,개인,중개거래,서울 송파구,N,,11710,개인,287500,2025-12-10,1988,방이동,올림픽선수기자촌2단지,83.06,89,24
54,,개인,직거래,,N,,11710,개인,165500,2025-12-11,1988,방이동,올림픽선수기자촌2단지,62.19,89,1
55,,개인,직거래,,N,,11710,개인,344000,2025-12-11,1978,잠실동,주공아파트 5단지,76.5,27,10
56,,개인,중개거래,서울 송파구,N,,11710,개인,162000,2025-12-11,2013,장지동,송파더센트레,59.85,879,17
57,,개인,중개거래,서울 송파구,N,,11710,개인,129000,2025-12-11,1992,거여동,현대1차,84.91,362,5
58,,개인,중개거래,서울 송파구,N,,11710,개인,87800,2025-12-11,1989,문정동,문정시영,39.69,145,3
59,,개인,중개거래,서울 송파구,N,,11710,개인,164000,2025-12-11,1996,문정동,건영1,84.39,72-3,6
60,,개인,중개거래,"서울 강동구, 서울 송파구",N,,11710,개인,258000,2025-12-11,2008,신천동,파크리오,59.95,17,6
61,,개인,중개거래,서울 송파구,N,,11710,개인,402700,2025-12-11,1978,잠실동,주공아파트 5단지,76.5,27,10
62,,개인,중개거래,서울 송파구,N,,11710,개인,369000,2025-12-11,2018,가락동,헬리오시티,130.06,913,24
63,,개인,중개거래,서울 송파구,N,,11710,개인,295000,2025-12-12,2008,잠실동,잠실엘스,59.96,19,23
64,,개인,중개거래,서울 송파구,N,,11710,개인,134000,2025-12-12,2005,송파동,레이크해모로,84.51,58-4,4
65,,개인,중개거래,서울 송파구,N,,11710,개인,376000,2025-12-12,1981,잠실동,우성아파트,131.08,101-1,5
66,,개인,중개거래,서울 송파구,N,,11710,개인,150000,2025-12-12,2005,송파동,레이크해모로,84.51,58-4,6
67,,개인,중개거래,서울 송파구,N,,11710,개인,176000,2025-12-12,2008,잠실동,리센츠,27.68,22,12
68,,개인,중개거래,서울 송파구,N,,11710,개인,175000,2025-12-12,2005,오금동,쌍용스위닷홈(201동),143.82,30-2,6
69,,개인,중개거래,서울 송파구,N,,11710,개인,330000,2025-12-12,1984,오금동,현대(2-4차),170.32,43,10
70,,개인,중개거래,서울 송파구,N,,11710,개인,98000,2025-12-13,1997,거여동,거여4단지,49.8,293,4
71,,개인,중개거래,서울 송파구,N,,11710,개인,185000,2025-12-13,2015,장지동,위례신도시송파푸르지오,112.1156,878,12
72,,개인,중개거래,서울 송파구,N,,11710,개인,140000,2025-12-13,2002,문정동,문정대우푸르지오3차,84.96,117,7
73,,개인,중개거래,"서울 강동구, 서울 송파구",N,,11710,개인,149500,2025-12-13,2007,장지동,송파파인타운10단지,59.96,856,2
74,,개인,중개거래,서울 송파구,N,,11710,개인,65000,2025-12-13,1997,오금동,현대백조,31,11,4
75,,개인,중개거래,서울 송파구,N,,11710,개인,120000,2025-12-13,2011,마천동,송파파크데일1단지,84.99,582,6
76,,개인,중개거래,서울 송파구,N,,11710,개인,187500,2025-12-15,1991,방이동,코오롱아파트,84.95,212-8,13
77,,개인,중개거래,서울 송파구,N,,11710,개인,111000,2025-12-15,1997,거여동,거여4단지,59.73,293,11
78,,개인,중개거래,서울 송파구,N,,11710,개인,99700,2025-12-15,2002,마천동,마천금호어울림1차아파트,84.95,575,5
79,,개인,중개거래,"경기 남양주시, 서울 송파구",N,,11710,개인,140000,2025-12-15,1994,풍납동,쌍용,84.85,401-1,4
80,,개인,중개거래,서울 송파구,N,,11710,개인,185500,2025-12-16,1983,송파동,한양아파트,64.26,119,3
81,,개인,중개거래,서울 송파구,N,,11710,개인,86000,2025-12-16,1999,거여동,삼호아파트,84.96,136,2
82,,개인,중개거래,서울 송파구,N,,11710,개인,164000,2025-12-16,2018,오금동,송파레미니스2단지,84.82,617,14
83,,개인,중개거래,서울 송파구,N,,11710,개인,417500,2025-12-16,1978,잠실동,주공아파트 5단지,82.51,27,4
84,,개인,중개거래,서울 송파구,N,,11710,개인,157000,2025-12-16,1997,오금동,현대백조,78.59,11,19
85,,개인,중개거래,서울 송파구,N,,11710,개인,70500,2025-12-16,1999,풍납동,현대리버빌1지구,43.2,260,14
86,,개인,중개거래,서울 송파구,N,,11710,개인,335000,2025-12-17,2008,잠실동,잠실엘스,84.97,19,10
87,,개인,중개거래,서울 송파구,N,,11710,개인,130000,2025-12-19,1994,가락동,프라임레지던스,183,196-3,7
88,,개인,중개거래,서울 송파구,N,,11710,개인,349000,2025-12-19,2008,잠실동,리센츠,84.99,22,23
89,,개인,중개거래,서울 송파구,N,,11710,개인,150000,2025-12-19,2013,장지동,위례24단지(꿈에그린),54.12,901,13
90,521,개인,중개거래,서울 송파구,N,25.12.19,11710,개인,387700,2025-12-19,1978,잠실동,주공아파트 5단지,76.5,27,2
91,,개인,중개거래,서울 송파구,N,,11710,개인,422500,2025-12-19,1978,잠실동,주공아파트 5단지,82.61,27,5
92,,개인,중개거래,서울 송파구,N,,11710,개인,108000,2025-12-19,2005,가락동,가락현대투웰브(101동),105.02,198-9,3
