,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 양천구,N,,11470,개인,52000,2025-12-01,2001,신정동,푸른마을2,49.16,1281,9
1,,개인,중개거래,"서울 강서구, 서울 양천구",N,,11470,개인,52700,2025-12-01,2004,신월동,샤인팰리스,84.55,13-3,4
2,,개인,중개거래,서울 양천구,N,,11470,개인,60000,2025-12-01,2001,신정동,푸른마을2,59.99,1281,11
3,,개인,중개거래,서울 양천구,N,,11470,개인,270000,2025-12-01,1986,목동,목동신시가지2,95.22,902,2
4,,개인,중개거래,서울 양천구,N,,11470,개인,56500,2025-12-01,2001,신정동,푸른마을2,59.99,1281,1
5,,개인,중개거래,"서울 강서구, 서울 양천구",N,25.12.05,11470,개인,25500,2025-12-02,2017,신월동,라온미브아파트,42.56,138-2,3
6,,개인,중개거래,서울 양천구,N,,11470,개인,84800,2025-12-02,2000,목동,성원2,79.21,709-2,7
7,,개인,중개거래,서울 양천구,N,,11470,개인,109000,2025-12-02,2020,신월동,목동센트럴아이파크위브1단지,59.68,1075,7
8,,개인,중개거래,서울 양천구,N,,11470,개인,148000,2025-12-02,2020,신월동,목동센트럴아이파크위브4단지,101.47,1078,18
9,,개인,중개거래,서울 양천구,N,,11470,개인,66700,2025-12-02,2005,신월동,삼정그린뷰,84.14,1041,5
10,,개인,중개거래,서울 양천구,N,,11470,개인,30000,2025-12-02,2000,신월동,길성,53.86,538-6,7
11,,개인,중개거래,서울 양천구,N,,11470,개인,69000,2025-12-02,1985,신월동,신안약수,84.56,591-1,2
12,,개인,중개거래,서울 양천구,N,,11470,개인,124500,2025-12-02,1995,신정동,현대,84.84,1252,4
13,,개인,중개거래,서울 양천구,N,,11470,개인,199000,2025-12-02,1988,신정동,목동신시가지12,71.64,326,4
14,1114,개인,중개거래,서울 양천구,N,25.12.12,11470,개인,186000,2025-12-03,1988,신정동,목동신시가지11,75.68,325,4
15,,개인,중개거래,"서울 양천구, 서울 영등포구",N,,11470,개인,29400,2025-12-03,1987,신월동,길훈,42.57,341-1,4
16,,개인,중개거래,서울 양천구,N,,11470,개인,126000,2025-12-03,1995,신정동,현대,84.84,1252,18
17,,개인,중개거래,서울 양천구,N,,11470,개인,184000,2025-12-03,1987,신정동,목동신시가지8,54.94,314,9
18,,개인,중개거래,서울 양천구,N,,11470,개인,74000,2025-12-04,2002,신정동,푸른마을4,84.99,1285,1
19,,개인,중개거래,서울 양천구,N,,11470,개인,159000,2025-12-04,1988,신정동,목동신시가지11,51.48,325,8
20,,개인,중개거래,서울 양천구,N,,11470,개인,90000,2025-12-04,2021,신정동,중앙하이츠목동펠리시티,65.92,988-5,13
21,,개인,중개거래,서울 양천구,N,,11470,개인,148000,2025-12-04,2004,신정동,경남아너스빌,84.88,1307,10
22,,개인,중개거래,서울 양천구,N,,11470,개인,120000,2025-12-04,1992,신정동,쌍용,84.65,334,7
23,,개인,중개거래,서울 양천구,N,,11470,개인,110000,2025-12-04,2020,신월동,목동센트럴아이파크위브2단지,59.88,1076,6
24,,개인,중개거래,서울 양천구,N,,11470,개인,156500,2025-12-04,1988,신정동,목동신시가지11,51.48,325,9
25,,개인,중개거래,서울 양천구,N,,11470,개인,181000,2025-12-04,1987,신정동,목동신시가지8,54.94,314,13
26,,개인,중개거래,"경기 광명시, 서울 양천구",N,,11470,개인,306000,2025-12-04,1985,목동,목동신시가지1,116.29,901,2
27,,개인,중개거래,"경기 이천시, 서울 강서구",N,,11470,개인,63500,2025-12-05,2011,신정동,이펜하우스4단지,59.93,1317,10
28,,개인,중개거래,"서울 강서구, 서울 양천구",N,,11470,개인,72500,2025-12-05,2008,신월동,수명산롯데캐슬,84.96,1036,6
29,213,개인,중개거래,서울 양천구,N,25.12.15,11470,개인,275000,2025-12-05,1986,목동,목동신시가지2,95.4,902,2
30,,개인,중개거래,서울 양천구,N,,11470,개인,110000,2025-12-05,2002,목동,스카이빌아파트,84.59,772-11,9
31,,개인,중개거래,"경기 하남시, 서울 양천구",N,,11470,개인,121800,2025-12-06,2020,신월동,목동센트럴아이파크위브2단지,84.97,1076,17
32,,개인,중개거래,서울 양천구,N,,11470,개인,121200,2025-12-06,2020,신월동,목동센트럴아이파크위브1단지,84.97,1075,19
33,,개인,중개거래,서울 양천구,N,,11470,개인,170000,2025-12-06,1988,신정동,목동신시가지12,53.46,326,12
34,,개인,중개거래,서울 양천구,N,,11470,개인,175000,2025-12-06,1985,목동,목동신시가지1,47.52,901,14
35,,개인,중개거래,"서울 강서구, 서울 양천구",N,,11470,개인,150500,2025-12-06,1988,신정동,목동신시가지11,51.48,325,1
36,,개인,중개거래,서울 양천구,N,,11470,개인,315000,2025-12-06,1987,신정동,목동신시가지13,151.76,327,15
37,,개인,중개거래,서울 양천구,N,,11470,개인,117000,2025-12-07,2020,신월동,목동센트럴아이파크위브1단지,84.98,1075,2
38,,개인,중개거래,서울 양천구,N,,11470,개인,54800,2025-12-08,2000,신정동,학마을1단지,49.99,1293,6
39,,개인,중개거래,서울 양천구,N,,11470,개인,38500,2025-12-08,1987,신정동,수정,47.16,733-31,5
40,,개인,중개거래,서울 양천구,N,,11470,개인,122000,2025-12-09,2003,목동,월드메르디앙2,84.3,948,13
