,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 영등포구,N,,11560,개인,153800,2025-12-01,1999,영등포동8가,삼환,84.87,76-1,17
1,,개인,중개거래,"서울 동작구, 서울 영등포구",N,,11560,개인,110000,2025-12-01,1991,신길동,우성4,84.95,102-8,2
2,,개인,중개거래,서울 영등포구,N,,11560,개인,65500,2025-12-01,1981,대림동,무림,56.2,993-8,5
3,,개인,중개거래,서울 영등포구,N,,11560,개인,109500,2025-12-01,2001,신길동,삼성래미안,114.87,4934,5
4,,개인,중개거래,서울 영등포구,N,,11560,개인,101100,2025-12-02,1997,대림동,현대3차,59.83,608-1,10
5,,개인,중개거래,서울 관악구,N,,11560,개인,76000,2025-12-02,1991,문래동5가,현대3차,84.55,21,9
6,레전드힐스,개인,중개거래,서울 영등포구,N,25.12.09,11560,개인,10000,2025-12-02,2013,신길동,신길레전드힐스,13.74,261-22,7
7,,개인,중개거래,"서울 동작구, 서울 영등포구",N,,11560,개인,125000,2025-12-02,1983,신길동,우창,66.82,4501,11
8,,개인,중개거래,서울 영등포구,N,,11560,개인,109000,2025-12-02,1998,대림동,코오롱,134.91,607-1,4
9,,개인,중개거래,서울 영등포구,N,,11560,개인,73700,2025-12-02,1990,양평동2가,양평벽산블루밍,51.24,23,3
10,,개인,중개거래,서울 영등포구,N,,11560,개인,175000,2025-12-02,2003,문래동3가,문래힐스테이트,137.82,94,3
11,,개인,중개거래,서울 영등포구,N,,11560,개인,149500,2025-12-03,2000,당산동4가,당산현대5차,59.75,30-1,6
12,,개인,중개거래,서울 영등포구,N,,11560,개인,92900,2025-12-03,2000,도림동,동아에코빌,84.99,165-1,7
13,,개인,중개거래,서울 영등포구,N,,11560,개인,189000,2025-12-03,2020,신길동,힐스테이트클래시안,84.86,4969,20
14,,개인,중개거래,서울 영등포구,N,,11560,개인,123000,2025-12-04,1983,신길동,우창,66.82,4501,12
15,,개인,중개거래,서울 영등포구,N,,11560,개인,94500,2025-12-04,2000,양평동3가,삼천리,59.95,24,5
16,,개인,중개거래,서울 영등포구,N,,11560,개인,98000,2025-12-04,1991,신길동,우성4,75.36,102-8,15
17,,개인,중개거래,서울 영등포구,N,,11560,개인,106000,2025-12-04,2001,신길동,삼성래미안,114.87,4934,5
18,,개인,중개거래,서울 영등포구,N,,11560,개인,184000,2025-12-04,2002,당산동,강변래미안,108.15,376,13
19,,개인,중개거래,서울 영등포구,N,,11560,개인,80000,2025-12-04,1991,문래동5가,현대3차,84.44,21,12
20,,개인,중개거래,서울 영등포구,N,,11560,개인,135000,2025-12-04,2020,대림동,e편한세상영등포아델포레,59.968,1127,14
21,,개인,중개거래,서울 영등포구,N,,11560,개인,73000,2025-12-04,1997,문래동6가,현대6차,50.55,55-1,12
22,,개인,중개거래,서울 영등포구,N,,11560,개인,125000,2025-12-05,2004,영등포동,두산위브,114.08,649,10
23,비,개인,직거래,,N,25.12.12,11560,개인,160000,2025-12-05,1977,여의도동,진주,94.31,54,7
24,,개인,중개거래,"서울 강동구, 서울 영등포구",N,,11560,개인,84500,2025-12-06,1986,신길동,우성1,49.64,365,6
25,,개인,중개거래,서울 영등포구,N,,11560,개인,110000,2025-12-06,1996,양평동5가,양평한신,59.94,76,10
26,,개인,중개거래,서울 영등포구,N,,11560,개인,19900,2025-12-06,2020,영등포동1가,여의도더리브스타일,14.8376,94-2,20
27,,개인,중개거래,서울 영등포구,N,,11560,개인,179500,2025-12-07,2022,신길동,신길파크자이,84.99,4967,8
28,,개인,중개거래,서울 영등포구,N,,11560,개인,134500,2025-12-07,2010,당산동3가,쌍용예가클래식,106.56,559,9
29,,개인,중개거래,서울 영등포구,N,,11560,개인,105000,2025-12-08,1983,문래동2가,남성,72.9,35,8
30,,개인,중개거래,"경기 성남시 분당구, 서울 영등포구",N,,11560,개인,218000,2025-12-08,1977,여의도동,진주,48.26,54,4
31,,개인,중개거래,서울 영등포구,N,,11560,개인,60500,2025-12-08,1999,영등포동5가,현대프라자,59.96,49-1,16
32,,개인,중개거래,서울 영등포구,N,,11560,개인,160000,2025-12-08,2022,신길동,신길파크자이,59.97,4967,12
33,,개인,중개거래,서울 영등포구,N,,11560,개인,70500,2025-12-08,2014,당산동3가,당산계룡리슈빌1단지,38.77,564,4
34,,개인,직거래,,N,,11560,개인,98000,2025-12-09,2021,신길동,신길센트럴자이아파트,84.98,4964,25
35,,개인,중개거래,서울 영등포구,N,,11560,개인,159800,2025-12-09,2002,당산동,강변래미안,79.43,376,11
36,,개인,중개거래,서울 영등포구,N,,11560,개인,96000,2025-12-09,1999,신길동,경남,59.96,67-1,5
