,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 중구,N,,11140,개인,22800,2025-12-01,2018,충무로5가,충무로헤센스마트,21.04,90,3
1,신당아르브,개인,중개거래,서울 중구,N,25.12.05,11140,개인,15800,2025-12-01,2014,신당동,신당아르브,18.08,160-5,7
2,,개인,중개거래,서울 중구,N,,11140,개인,107000,2025-12-01,2008,황학동,롯데캐슬,84.97,2545,15
3,,개인,중개거래,서울 중구,N,,11140,개인,107000,2025-12-01,2008,황학동,롯데캐슬,84.97,2545,15
4,1,개인,중개거래,서울 중구,N,25.12.05,11140,개인,24500,2025-12-02,2021,신당동,약수역더시티,19.06,857,4
5,,개인,중개거래,서울 중구,N,,11140,개인,16000,2025-12-02,2014,황학동,DUO302,15.97,819,10
6,,개인,중개거래,서울 중구,N,,11140,개인,69500,2025-12-03,2023,인현동2가,세운푸르지오헤리시티,40.7637,240,18
7,,개인,중개거래,서울 중구,N,,11140,개인,26850,2025-12-03,2018,황학동,동광팰리스,25.9,1572,13
8,,개인,중개거래,서울 중구,N,,11140,개인,129500,2025-12-05,2010,황학동,황학아크로타워,109.146,2523,12
9,,개인,중개거래,서울 중구,N,,11140,개인,120000,2025-12-05,1999,신당동,약수하이츠,57.63,842,2
10,,개인,중개거래,"서울 강남구, 서울 중구",N,,11140,개인,124600,2025-12-05,2008,황학동,롯데캐슬,114.9,2545,9
11,,개인,중개거래,서울 중구,N,,11140,개인,182000,2025-12-06,2011,신당동,청구e편한세상,84.95,852,10
12,,개인,중개거래,서울 중구,N,,11140,개인,142000,2025-12-06,2002,신당동,남산타운,59.94,844,4
13,,개인,중개거래,서울 중구,N,,11140,개인,170000,2025-12-08,2001,중림동,삼성사이버빌리지,84.93,200,2
14,,개인,중개거래,서울 중구,N,,11140,개인,55000,2025-12-09,1982,묵정동,충무,54.18,11-2,3
15,,개인,중개거래,서울 중구,N,,11140,개인,130000,2025-12-10,1999,신당동,삼성,59.97,843,13
16,,개인,중개거래,서울 중구,N,,11140,개인,30000,2025-12-13,2017,황학동,골드캐슬Ⅲ,32.75,1743,8
17,,개인,중개거래,서울 중구,N,,11140,개인,45900,2025-12-13,2023,입정동,힐스테이트세운센트럴1단지,25.0654,277,24
18,,개인,중개거래,서울 중구,N,,11140,개인,131000,2025-12-13,1999,신당동,약수하이츠,57.63,842,17
19,,개인,직거래,,N,25.12.19,11140,개인,20000,2025-12-16,2016,흥인동,동대문솔하임,19.6,8,14
20,,개인,중개거래,서울 서초구,N,,11140,개인,42000,2025-12-18,2023,인현동2가,세운푸르지오헤리시티,29.4564,240,18
