,aptDong,buyerGbn,dealingGbn,estateAgentSggNm,landLeaseholdGbn,rgstDate,sggCd,slerGbn,거래금액,거래일,건축년도,법정동,아파트,전용면적,지번,층
0,,개인,중개거래,서울 중랑구,N,,11260,개인,73000,2025-12-01,1996,상봉동,"엘지,쌍용아파트",84.67,484,9
1,,개인,중개거래,"서울 광진구, 서울 중랑구",N,,11260,개인,129000,2025-12-01,2020,면목동,사가정센트럴아이파크,84.87,1545,14
2,,개인,중개거래,서울 중랑구,N,,11260,개인,73500,2025-12-01,2022,망우동,중랑숲시티프라디움,55.95,620,10
3,,개인,중개거래,서울 중랑구,N,,11260,개인,69000,2025-12-01,1992,면목동,용마금호타운,84.9,494,13
4,,개인,중개거래,서울 중랑구,N,,11260,개인,118000,2025-12-02,2020,면목동,사가정센트럴아이파크,84.87,1545,21
5,,개인,중개거래,서울 중랑구,N,,11260,개인,67000,2025-12-03,2007,면목동,마젤란21,59.923,1531,9
6,,개인,중개거래,서울 중랑구,N,,11260,개인,92500,2025-12-03,2019,면목동,한양수자인사가정파크,74.9394,1543,1
7,,개인,중개거래,서울 중랑구,N,,11260,개인,71500,2025-12-04,1995,면목동,두산3,84.77,1511,11
8,,개인,중개거래,서울 중랑구,N,,11260,개인,128500,2025-12-04,2020,면목동,사가정센트럴아이파크,84.956,1545,8
9,,개인,중개거래,"경기 남양주시, 서울 중랑구",N,,11260,개인,85500,2025-12-04,2021,망우동,신내역힐데스하임참좋은아파트,84.8456,598,22
10,,개인,중개거래,"서울 동대문구, 서울 중랑구",N,,11260,개인,125500,2025-12-04,2020,면목동,사가정센트럴아이파크,84.87,1545,17
11,,개인,중개거래,서울 중랑구,N,,11260,개인,98500,2025-12-04,2010,묵동,묵동자이(2단지),101.9,170-1,27
12,,개인,중개거래,"서울 동작구, 서울 중랑구",N,,11260,개인,74900,2025-12-04,2006,면목동,용마산금호어울림,84.699,1525,12
13,,개인,중개거래,서울 중랑구,N,,11260,개인,29500,2025-12-04,1987,면목동,면목한신,35.3,193-1,1
14,,개인,중개거래,서울 중랑구,N,,11260,개인,75000,2025-12-05,1993,신내동,동성1,125.48,397,10
15,,개인,중개거래,서울 중랑구,N,,11260,개인,62000,2025-12-05,1996,상봉동,"엘지,쌍용아파트",68.12,484,3
16,,개인,중개거래,서울 중랑구,N,,11260,개인,49900,2025-12-05,1997,신내동,동성3,59.4,618,12
17,,개인,중개거래,서울 중랑구,N,,11260,개인,69000,2025-12-05,2000,면목동,두산5,59.72,1522-1,10
18,,개인,중개거래,서울 중랑구,N,,11260,개인,37500,2025-12-05,1987,면목동,면목한신,44.5,193-1,2
19,,개인,중개거래,서울 중랑구,N,,11260,개인,128000,2025-12-05,2020,면목동,사가정센트럴아이파크,84.87,1545,15
20,,개인,중개거래,서울 중랑구,N,,11260,개인,120000,2025-12-06,2013,상봉동,프레미어스엠코,107.12,500,14
21,,개인,중개거래,서울 중랑구,N,,11260,개인,63500,2025-12-06,1994,신내동,성원,84.32,783,6
